"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"L" "01-01-1986" 16 "Texas A&M" 36 "Cotton Bowl" 1 1 1 1986 "Auburn (AL)" "Auburn University"
"W" "01-01-1987" 16 "Southern California" 7 "Florida Citrus Bowl" 1 1 1 1987 "Auburn (AL)" "Auburn University"
"T" "01-01-1988" 16 "Syracuse (NY)" 16 "Sugar Bowl" 1 1 1 1988 "Auburn (AL)" "Auburn University"
"L" "01-02-1989" 7 "Florida St." 13 "Sugar Bowl" 1 1 2 1989 "Auburn (AL)" "Auburn University"
"W" "01-01-1990" 31 "Ohio St." 14 "Hall of Fame Bowl" 1 1 1 1990 "Auburn (AL)" "Auburn University"
"W" "12-29-1990" 27 "Indiana" 23 "Peach Bowl" 1 12 29 1990 "Auburn (AL)" "Auburn University"
"L" "01-01-1996" 14 "Penn St." 43 "Outback Bowl" 1 1 1 1996 "Auburn (AL)" "Auburn University"
"W" "12-31-1996" 32 "Army (NY)" 29 "Independence Bowl" 1 12 31 1996 "Auburn (AL)" "Auburn University"
"W" "01-02-1998" 21 "Clemson (SC)" 17 "Peach Bowl" 1 1 2 1998 "Auburn (AL)" "Auburn University"
"L" "01-01-2001" 28 "Michigan" 31 "Florida Citrus Bowl" 1 1 1 2001 "Auburn (AL)" "Auburn University"
"L" "12-31-2001" 10 "North Carolina" 16 "Peach Bowl" 1 12 31 2001 "Auburn (AL)" "Auburn University"
"W" "01-01-2003" 13 "Penn St." 9 "Capital One Bowl" 1 1 1 2003 "Auburn (AL)" "Auburn University"
"W" "12-31-2003" 28 "Wisconsin" 14 "Music City Bowl" 1 12 31 2003 "Auburn (AL)" "Auburn University"
"W" "01-03-2005" 16 "Virginia Tech" 13 "Sugar Bowl" 1 1 3 2005 "Auburn (AL)" "Auburn University"
"L" "01-02-2006" 10 "Wisconsin" 24 "Capital One Bowl" 1 1 2 2006 "Auburn (AL)" "Auburn University"
