"Years" "conference" "offName" "school" "Division" "offName"
1935 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" NA NA
1936 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" NA NA
1937 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1938 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1939 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1940 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1941 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1942 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1943 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1944 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1945 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1946 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1947 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1948 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1949 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1950 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1951 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1952 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1953 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1954 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1955 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1956 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1957 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1958 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1959 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1960 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1961 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1962 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1963 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1964 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1965 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1966 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1967 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1968 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1969 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1970 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1971 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1972 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA University Division (Major College)" "University of Nebraska - Lincoln"
1973 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I" "University of Nebraska - Lincoln"
1974 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I" "University of Nebraska - Lincoln"
1975 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I" "University of Nebraska - Lincoln"
1976 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I" "University of Nebraska - Lincoln"
1977 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I" "University of Nebraska - Lincoln"
1978 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1979 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1980 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1981 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1982 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1983 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1984 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1985 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1986 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1987 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1988 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1989 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1990 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1991 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1992 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1993 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1994 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1995 "Big Eight Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1996 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1997 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1998 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1999 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2000 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2001 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2002 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2003 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2004 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2005 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2006 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2007 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2008 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2009 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2010 "Big 12 Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2011 "Big Ten Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
2012 "Big Ten Conference" "University of Nebraska - Lincoln" "Nebraska" "NCAA Division I-A" "University of Nebraska - Lincoln"
1896 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1897 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1898 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1899 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1900 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1901 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1902 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1903 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1904 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1905 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1906 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1907 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1908 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1909 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1910 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1911 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1912 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1913 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1914 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1915 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1916 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1917 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1918 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1919 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1920 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1921 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1922 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1923 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1924 "Independent" "University of Nevada: Reno" "Nevada" NA NA
1925 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1926 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1927 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1928 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1929 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1930 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1931 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1932 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1933 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1934 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1935 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1936 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" NA NA
1937 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1938 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1939 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1940 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1941 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1942 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1943 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1944 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1945 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1946 "Independent" "University of Nevada: Reno" "Nevada" "NCAA University Division (Major College)" "University of Nevada: Reno"
1947 "Independent" "University of Nevada: Reno" "Nevada" "NCAA University Division (Major College)" "University of Nevada: Reno"
1948 "Independent" "University of Nevada: Reno" "Nevada" "NCAA University Division (Major College)" "University of Nevada: Reno"
1949 "Independent" "University of Nevada: Reno" "Nevada" "NCAA University Division (Major College)" "University of Nevada: Reno"
1950 "Independent" "University of Nevada: Reno" "Nevada" "NCAA University Division (Major College)" "University of Nevada: Reno"
1951 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1952 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1953 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1954 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1955 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1956 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1957 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1958 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1959 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1960 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1961 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1962 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1963 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1964 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1965 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1966 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1967 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1968 "Northern California Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1969 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1970 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1971 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1972 "Independent" "University of Nevada: Reno" "Nevada" "NCAA College Division (Small College)" "University of Nevada: Reno"
1973 "Division II Independent" "University of Nevada: Reno" "Nevada" "NCAA Division II" "University of Nevada: Reno"
1974 "Division II Independent" "University of Nevada: Reno" "Nevada" "NCAA Division II" "University of Nevada: Reno"
1975 "Division II Independent" "University of Nevada: Reno" "Nevada" "NCAA Division II" "University of Nevada: Reno"
1976 "Division II Independent" "University of Nevada: Reno" "Nevada" "NCAA Division II" "University of Nevada: Reno"
1977 "Division II Independent" "University of Nevada: Reno" "Nevada" "NCAA Division II" "University of Nevada: Reno"
1978 "Division I-AA Independent" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1979 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1980 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1981 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1982 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1983 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1984 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1985 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1986 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1987 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1988 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1989 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1990 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1991 "Big Sky Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-AA" "University of Nevada: Reno"
1992 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1993 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1994 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1995 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1996 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1997 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1998 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1999 "Big West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2000 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2001 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2002 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2003 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2004 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2005 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2006 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2007 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2008 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2009 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2010 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2011 "Western Athletic Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
2012 "Mountain West Conference" "University of Nevada: Reno" "Nevada" "NCAA Division I-A" "University of Nevada: Reno"
1968 "Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA College Division (Small College)" "University of Nevada: Las Vegas"
1969 "Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA College Division (Small College)" "University of Nevada: Las Vegas"
1970 "Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA College Division (Small College)" "University of Nevada: Las Vegas"
1971 "Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA College Division (Small College)" "University of Nevada: Las Vegas"
1972 "Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA College Division (Small College)" "University of Nevada: Las Vegas"
1973 "Division II Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division II" "University of Nevada: Las Vegas"
1974 "Division II Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division II" "University of Nevada: Las Vegas"
1975 "Division II Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division II" "University of Nevada: Las Vegas"
1976 "Division II Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division II" "University of Nevada: Las Vegas"
1977 "Division II Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division II" "University of Nevada: Las Vegas"
1978 "Division I-A Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1979 "Division I-A Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1980 "Division I-A Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1981 "Division I-A Independent" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1982 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1983 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1984 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1985 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1986 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1987 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1988 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1989 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1990 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1991 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1992 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1993 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1994 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1995 "Big West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1996 "Western Athletic Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1997 "Western Athletic Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1998 "Western Athletic Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1999 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2000 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2001 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2002 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2003 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2004 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2005 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2006 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2007 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2008 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2009 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2010 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2011 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
2012 "Mountain West Conference" "University of Nevada: Las Vegas" "Nevada-Las Vegas" "NCAA Division I-A" "University of Nevada: Las Vegas"
1892 "Independent" "University of New Mexico" "New Mexico" NA NA
1893 "Independent" "University of New Mexico" "New Mexico" NA NA
1894 "Independent" "University of New Mexico" "New Mexico" NA NA
1895 "Independent" "University of New Mexico" "New Mexico" NA NA
1896 "Independent" "University of New Mexico" "New Mexico" NA NA
1897 "Independent" "University of New Mexico" "New Mexico" NA NA
1898 "Independent" "University of New Mexico" "New Mexico" NA NA
1899 "Independent" "University of New Mexico" "New Mexico" NA NA
1900 "Independent" "University of New Mexico" "New Mexico" NA NA
1901 "Independent" "University of New Mexico" "New Mexico" NA NA
1902 "Independent" "University of New Mexico" "New Mexico" NA NA
1903 "Independent" "University of New Mexico" "New Mexico" NA NA
1904 "Independent" "University of New Mexico" "New Mexico" NA NA
1905 "Independent" "University of New Mexico" "New Mexico" NA NA
1906 "Independent" "University of New Mexico" "New Mexico" NA NA
1907 "Independent" "University of New Mexico" "New Mexico" NA NA
