"Years" "conference" "offName" "school" "Division" "offName"
1970 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1971 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1972 "Independent" "University of Akron" "Akron (OH)" "NCAA College Division (Small College)" "University of Akron"
1973 "Division II Independent" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1974 "Division II Independent" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1975 "Division II Independent" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1976 "Division II Independent" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1977 "Division II Independent" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1978 "Mid-Continent Conference" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1979 "Mid-Continent Conference" "University of Akron" "Akron (OH)" "NCAA Division II" "University of Akron"
1980 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1981 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1982 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1983 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1984 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1985 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1986 "Ohio Valley Conference" "University of Akron" "Akron (OH)" "NCAA Division I-AA" "University of Akron"
1987 "Division I-A Independent" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1988 "Division I-A Independent" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1989 "Division I-A Independent" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1990 "Division I-A Independent" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1991 "Division I-A Independent" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1992 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1993 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1994 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1995 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1996 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1997 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1998 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1999 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2000 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2001 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2002 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2003 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2004 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2005 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2006 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2007 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2008 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2009 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2010 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2011 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
2012 "Mid-American Conference" "University of Akron" "Akron (OH)" "NCAA Division I-A" "University of Akron"
1892 "Independent" "The University of Alabama" "Alabama" NA NA
1893 "Independent" "The University of Alabama" "Alabama" NA NA
1894 "Independent" "The University of Alabama" "Alabama" NA NA
1895 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1896 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1897 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1898 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1899 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1900 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1901 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1902 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1903 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1904 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1905 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1906 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1907 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1908 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1909 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1910 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1911 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1912 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1913 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1914 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1915 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1916 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1917 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1918 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1919 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1920 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1921 "Southern Intercollegiate Athletic Association" "The University of Alabama" "Alabama" NA NA
1922 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1923 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1924 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1925 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1926 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1927 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1928 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1929 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1930 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1931 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1932 "Southern Conference" "The University of Alabama" "Alabama" NA NA
1933 "Southeastern Conference" "The University of Alabama" "Alabama" NA NA
1934 "Southeastern Conference" "The University of Alabama" "Alabama" NA NA
1935 "Southeastern Conference" "The University of Alabama" "Alabama" NA NA
1936 "Southeastern Conference" "The University of Alabama" "Alabama" NA NA
1937 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1938 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1939 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1940 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1941 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1942 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1943 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1944 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1945 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1946 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1947 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1948 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1949 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1950 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1951 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1952 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1953 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1954 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1955 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1956 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1957 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1958 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1959 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1960 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
1961 "Southeastern Conference" "The University of Alabama" "Alabama" "NCAA University Division (Major College)" "The University of Alabama"
