"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1995" "9-3-0" "23" "20" NA NA NA "Texas Tech"
"2004" "8-4-0" "18" "17" NA NA NA "Texas Tech"
"2005" "9-3-0" "20" "19" NA NA NA "Texas Tech"
"2007" "9-4-0" "22" "23" NA NA NA "Texas Tech"
"2008" "11-2-0" "12" "12" NA NA NA "Texas Tech"
"2009" "9-4-0" "21" "23" NA NA NA "Texas Tech"
"1970" "12-0-0" "12" "17" NA NA NA "Toledo (OH)"
"1971" "12-0-0" "14" "13" NA NA NA "Toledo (OH)"
"1995" "11-0-1" "24" "24" NA NA NA "Toledo (OH)"
"2001" "10-2-0" "23" "22" NA NA NA "Toledo (OH)"
"1938" "7-2-1" "19" "" NA NA NA "Tulane (LA)"
"1939" "8-1-1" "5" "" NA NA NA "Tulane (LA)"
"1948" "9-1-0" "13" "" NA NA NA "Tulane (LA)"
"1950" "6-2-1" "20" "" NA NA NA "Tulane (LA)"
"1970" "8-4-0" "17" "" NA NA NA "Tulane (LA)"
"1973" "9-3-0" "20" "15" NA NA NA "Tulane (LA)"
"1998" "12-0-0" "7" "7" NA NA NA "Tulane (LA)"
"1942" "10-1-0" "4" "" NA NA NA "Tulsa (OK)"
"1943" "6-1-1" "15" "" NA NA NA "Tulsa (OK)"
"1945" "8-3-0" "17" "" NA NA NA "Tulsa (OK)"
"1946" "9-1-0" "17" "" NA NA NA "Tulsa (OK)"
"1950" "9-1-1" "19" "" NA NA NA "Tulsa (OK)"
"1952" "8-2-1" "12" "" NA NA NA "Tulsa (OK)"
"1964" "9-2-0" "" "18" NA NA NA "Tulsa (OK)"
"1965" "8-3-0" "" "16" NA NA NA "Tulsa (OK)"
"1974" "8-3-0" "" "19" NA NA NA "Tulsa (OK)"
"1991" "10-2-0" "21" "21" NA NA NA "Tulsa (OK)"
"2010" "10-3-0" "24" "" NA NA NA "Tulsa (OK)"
"1939" "6-0-4" "7" "" NA NA NA "UCLA"
"1942" "7-4-0" "13" "" NA NA NA "UCLA"
"1946" "10-1-0" "4" "" NA NA NA "UCLA"
"1951" "5-3-1" "17" "17" NA NA NA "UCLA"
"1952" "8-1-0" "6" "6" NA NA NA "UCLA"
"1953" "8-2-0" "5" "4" NA NA NA "UCLA"
"1954" "9-0-0" "2" "1" NA NA NA "UCLA"
"1955" "9-2-0" "4" "4" NA NA NA "UCLA"
"1957" "8-2-0" "" "18" NA NA NA "UCLA"
"1961" "7-4-0" "16" "" NA NA NA "UCLA"
"1965" "8-2-1" "4" "5" NA NA NA "UCLA"
"1966" "9-1-0" "5" "5" NA NA NA "UCLA"
"1967" "7-2-1" "" "10" NA NA NA "UCLA"
"1969" "8-1-1" "13" "10" NA NA NA "UCLA"
"1972" "8-3-0" "15" "17" NA NA NA "UCLA"
"1973" "9-2-0" "12" "9" NA NA NA "UCLA"
"1975" "9-2-1" "5" "5" NA NA NA "UCLA"
"1976" "9-2-1" "15" "15" NA NA NA "UCLA"
"1978" "8-3-1" "14" "12" NA NA NA "UCLA"
"1980" "9-2-0" "13" "14" NA NA NA "UCLA"
"1982" "10-1-1" "5" "5" NA NA NA "UCLA"
"1983" "7-4-1" "17" "13" NA NA NA "UCLA"
"1984" "9-3-0" "9" "10" NA NA NA "UCLA"
"1985" "9-2-1" "7" "6" NA NA NA "UCLA"
"1986" "8-3-1" "14" "14" NA NA NA "UCLA"
"1987" "10-2-0" "9" "11" NA NA NA "UCLA"
"1988" "10-2-0" "6" "6" NA NA NA "UCLA"
"1991" "9-3-0" "19" "18" NA NA NA "UCLA"
"1993" "8-4-0" "18" "17" NA NA NA "UCLA"
"1997" "10-2-0" "5" "5" NA NA NA "UCLA"
"1998" "10-2-0" "8" "8" NA NA NA "UCLA"
"2005" "10-2-0" "16" "13" NA NA NA "UCLA"
"1964" "9-2-0" "" "14" NA NA NA "Utah"
"1994" "10-2-0" "10" "8" NA NA NA "Utah"
"2003" "10-2-0" "21" "21" NA NA NA "Utah"
"2004" "12-0-0" "4" "5" NA NA NA "Utah"
"2008" "13-0-0" "2" "4" NA NA NA "Utah"
"2009" "10-3-0" "18" "18" NA NA NA "Utah"
"2010" "10-3-0" "" "23" NA NA NA "Utah"
"1961" "9-1-1" "10" "10" NA NA NA "Utah St."
"1972" "8-3-0" "" "19" NA NA NA "Utah St."
"1948" "8-2-1" "12" "" NA NA NA "Vanderbilt (TN)"
"1951" "8-1-0" "13" "" NA NA NA "Virginia"
"1984" "8-2-2" "20" "17" NA NA NA "Virginia"
"1989" "10-3-0" "18" "15" NA NA NA "Virginia"
"1990" "8-4-0" "23" "15" NA NA NA "Virginia"
"1994" "9-3-0" "15" "13" NA NA NA "Virginia"
"1995" "9-4-0" "16" "17" NA NA NA "Virginia"
"1998" "9-3-0" "18" "18" NA NA NA "Virginia"
"2002" "9-5-0" "22" "25" NA NA NA "Virginia"
"2004" "8-4-0" "23" "23" NA NA NA "Virginia"
"1954" "8-0-1" "16" "" NA NA NA "Virginia Tech"
"1966" "8-2-1" "" "20" NA NA NA "Virginia Tech"
"1986" "10-1-1" "20" "" NA NA NA "Virginia Tech"
"1990" "6-5-0" "" "25" NA NA NA "Virginia Tech"
"1993" "9-3-0" "22" "20" NA NA NA "Virginia Tech"
"1994" "8-4-0" "" "24" NA NA NA "Virginia Tech"
"1995" "10-2-0" "10" "9" NA NA NA "Virginia Tech"
"1996" "10-2-0" "13" "12" NA NA NA "Virginia Tech"
"1998" "9-3-0" "23" "19" NA NA NA "Virginia Tech"
"1999" "11-1-0" "2" "3" NA NA NA "Virginia Tech"
"2000" "11-1-0" "6" "6" NA NA NA "Virginia Tech"
"2001" "8-4-0" "18" "18" NA NA NA "Virginia Tech"
"2002" "10-4-0" "18" "14" NA NA NA "Virginia Tech"
"2004" "10-3-0" "10" "10" NA NA NA "Virginia Tech"
"2005" "11-2-0" "7" "7" NA NA NA "Virginia Tech"
"2006" "10-3-0" "19" "18" NA NA NA "Virginia Tech"
"2007" "11-3-0" "9" "9" NA NA NA "Virginia Tech"
"2008" "10-4-0" "15" "14" NA NA NA "Virginia Tech"
"2009" "10-3-0" "10" "10" NA NA NA "Virginia Tech"
"2010" "11-3-0" "16" "15" NA NA NA "Virginia Tech"
"2011" "11-3-0" "21" "17" NA NA NA "Virginia Tech"
"1945" "5-3-1" "19" "" NA NA NA "Wake Forest (NC)"
"1948" "6-4-0" "20" "" NA NA NA "Wake Forest (NC)"
"1992" "8-4-0" "25" "25" NA NA NA "Wake Forest (NC)"
"2006" "11-3-0" "18" "17" NA NA NA "Wake Forest (NC)"
"1936" "7-2-1" "5" "" NA NA NA "Washington"
"1940" "7-2-0" "10" "" NA NA NA "Washington"
"1943" "4-1-0" "12" "" NA NA NA "Washington"
"1950" "8-2-0" "11" "15" NA NA NA "Washington"
"1959" "10-1-0" "8" "7" NA NA NA "Washington"
"1960" "10-1-0" "6" "5" NA NA NA "Washington"
"1962" "7-1-2" "" "14" NA NA NA "Washington"
"1963" "6-5-0" "" "15" NA NA NA "Washington"
"1971" "8-3-0" "19" "" NA NA NA "Washington"
"1977" "10-2-0" "10" "9" NA NA NA "Washington"
"1979" "10-2-0" "11" "11" NA NA NA "Washington"
"1980" "9-3-0" "16" "17" NA NA NA "Washington"
"1981" "10-2-0" "10" "7" NA NA NA "Washington"
"1982" "10-2-0" "7" "7" NA NA NA "Washington"
"1984" "11-1-0" "2" "2" NA NA NA "Washington"
"1986" "8-3-1" "18" "17" NA NA NA "Washington"
"1989" "8-4-0" "23" "20" NA NA NA "Washington"
"1990" "10-2-0" "5" "5" NA NA NA "Washington"
"1991" "12-0-0" "2" "1" NA NA NA "Washington"
"1992" "9-3-0" "11" "10" NA NA NA "Washington"
"1996" "9-3-0" "16" "15" NA NA NA "Washington"
"1997" "8-4-0" "18" "18" NA NA NA "Washington"
"2000" "11-1-0" "3" "3" NA NA NA "Washington"
"2001" "8-4-0" "19" "19" NA NA NA "Washington"
"1941" "6-4-0" "19" "" NA NA NA "Washington St."
"1942" "6-2-2" "17" "" NA NA NA "Washington St."
"1951" "7-3-0" "18" "14" NA NA NA "Washington St."
"1972" "7-4-0" "19" "17" NA NA NA "Washington St."
"1988" "9-3-0" "16" "16" NA NA NA "Washington St."
"1992" "9-3-0" "15" "17" NA NA NA "Washington St."
"1994" "8-4-0" "21" "19" NA NA NA "Washington St."
"1997" "10-2-0" "9" "9" NA NA NA "Washington St."
"2001" "10-2-0" "10" "11" NA NA NA "Washington St."
"2002" "10-3-0" "10" "10" NA NA NA "Washington St."
"2003" "10-3-0" "9" "9" NA NA NA "Washington St."
"1953" "8-2-0" "10" "13" NA NA NA "West Virginia"
"1954" "8-1-0" "12" "" NA NA NA "West Virginia"
"1955" "8-2-0" "19" "17" NA NA NA "West Virginia"
"1969" "10-1-0" "17" "18" NA NA NA "West Virginia"
"1975" "9-3-0" "20" "17" NA NA NA "West Virginia"
"1981" "9-3-0" "17" "18" NA NA NA "West Virginia"
"1982" "9-3-0" "19" "19" NA NA NA "West Virginia"
"1983" "9-3-0" "16" "16" NA NA NA "West Virginia"
"1984" "8-4-0" "" "18" NA NA NA "West Virginia"
"1988" "11-1-0" "5" "5" NA NA NA "West Virginia"
"1989" "8-3-1" "21" "" NA NA NA "West Virginia"
"1993" "11-1-0" "7" "6" NA NA NA "West Virginia"
"2002" "9-4-0" "25" "20" NA NA NA "West Virginia"
"2005" "11-1-0" "5" "6" NA NA NA "West Virginia"
"2006" "11-2-0" "10" "10" NA NA NA "West Virginia"
"2007" "11-2-0" "6" "6" NA NA NA "West Virginia"
"2008" "9-4-0" "23" "" NA NA NA "West Virginia"
"2009" "9-4-0" "25" "22" NA NA NA "West Virginia"
"2011" "10-3-0" "17" "18" NA NA NA "West Virginia"
"1978" "8-2-0" NA NA "5" "" "" "Western Kentucky"
"1980" "9-1-0" NA NA "5" "" "" "Western Kentucky"
"1987" "7-4-0" NA NA "11" "" "" "Western Kentucky"
"1988" "9-4-0" NA NA "16" "" "" "Western Kentucky"
"1993" "8-3-0" NA NA "" "19" "" "Western Kentucky"
"1997" "10-2-0" NA NA "" "5" "7" "Western Kentucky"
"1998" "7-4-0" NA NA "" "17" "22" "Western Kentucky"
"2000" "11-2-0" NA NA "" "5" "7" "Western Kentucky"
"2001" "8-4-0" NA NA "" "12" "10" "Western Kentucky"
"2002" "12-3-0" NA NA "" "1" "1" "Western Kentucky"
"2003" "9-4-0" NA NA "" "7" "8" "Western Kentucky"
"2004" "9-3-0" NA NA "" "11" "11" "Western Kentucky"
"1982" "7-2-2" NA NA "16" "" "" "Western Michigan"
"1942" "8-1-1" "3" "" NA NA NA "Wisconsin"
"1950" "6-3-0" "" "20" NA NA NA "Wisconsin"
"1951" "7-1-1" "8" "8" NA NA NA "Wisconsin"
"1952" "6-3-1" "11" "10" NA NA NA "Wisconsin"
"1953" "6-2-1" "15" "14" NA NA NA "Wisconsin"
"1954" "7-2-0" "9" "10" NA NA NA "Wisconsin"
"1957" "6-3-0" "19" "14" NA NA NA "Wisconsin"
"1958" "7-1-1" "7" "6" NA NA NA "Wisconsin"
"1959" "7-3-0" "6" "6" NA NA NA "Wisconsin"
"1961" "6-3-0" "" "18" NA NA NA "Wisconsin"
"1962" "8-2-0" "2" "2" NA NA NA "Wisconsin"
"1993" "10-1-1" "6" "5" NA NA NA "Wisconsin"
"1998" "11-1-0" "6" "5" NA NA NA "Wisconsin"
"1999" "10-2-0" "4" "4" NA NA NA "Wisconsin"
"2000" "9-4-0" "23" "24" NA NA NA "Wisconsin"
"2004" "9-3-0" "17" "18" NA NA NA "Wisconsin"
"2005" "10-3-0" "15" "15" NA NA NA "Wisconsin"
"2006" "12-1-0" "7" "5" NA NA NA "Wisconsin"
"2007" "9-4-0" "24" "21" NA NA NA "Wisconsin"
"2009" "10-3-0" "16" "16" NA NA NA "Wisconsin"
"2010" "11-2-0" "7" "8" NA NA NA "Wisconsin"
"2011" "11-3-0" "10" "11" NA NA NA "Wisconsin"
"1950" "10-0-0" "12" "14" NA NA NA "Wyoming"
"1956" "10-0-0" "" "16" NA NA NA "Wyoming"
"1959" "9-1-0" "16" "" NA NA NA "Wyoming"
"1961" "6-1-2" "" "17" NA NA NA "Wyoming"
"1966" "10-1-0" "" "15" NA NA NA "Wyoming"
"1967" "10-1-0" "6" "5" NA NA NA "Wyoming"
"1988" "11-2-0" "" "20" NA NA NA "Wyoming"
"1996" "10-2-0" "22" "22" NA NA NA "Wyoming"
