"Year" "Record" "APRank" "CoachRank" "NCAARank" "SportsNetworkRank" "USA/ESPNRank" "school"
"1955" "7-2-1" "" "16" NA NA NA "Duke (NC)"
"1956" "5-4-1" "" "20" NA NA NA "Duke (NC)"
"1957" "6-3-2" "16" "14" NA NA NA "Duke (NC)"
"1960" "8-3-0" "10" "11" NA NA NA "Duke (NC)"
"1961" "7-3-0" "20" "14" NA NA NA "Duke (NC)"
"1962" "8-2-0" "" "14" NA NA NA "Duke (NC)"
"1983" "8-3-0" "20" "" NA NA NA "East Carolina (NC)"
"1991" "11-1-0" "9" "9" NA NA NA "East Carolina (NC)"
"1995" "9-3-0" "" "23" NA NA NA "East Carolina (NC)"
"1952" "8-3-0" "15" "" NA NA NA "Florida"
"1957" "6-2-1" "17" "" NA NA NA "Florida"
"1958" "6-4-1" "14" "15" NA NA NA "Florida"
"1959" "5-4-1" "19" "19" NA NA NA "Florida"
"1960" "9-2-0" "18" "16" NA NA NA "Florida"
"1965" "7-4-0" "" "12" NA NA NA "Florida"
"1966" "9-2-0" "" "11" NA NA NA "Florida"
"1969" "9-1-1" "14" "17" NA NA NA "Florida"
"1973" "7-5-0" "" "19" NA NA NA "Florida"
"1974" "8-4-0" "15" "12" NA NA NA "Florida"
"1980" "8-4-0" "" "19" NA NA NA "Florida"
"1983" "9-2-1" "6" "6" NA NA NA "Florida"
"1984" "9-1-1" "3" "7" NA NA NA "Florida"
"1985" "9-1-1" "5" "" NA NA NA "Florida"
"1990" "9-2-0" "13" "" NA NA NA "Florida"
"1991" "10-2-0" "7" "8" NA NA NA "Florida"
"1992" "9-4-0" "10" "11" NA NA NA "Florida"
"1993" "11-2-0" "5" "4" NA NA NA "Florida"
"1994" "10-2-1" "7" "7" NA NA NA "Florida"
"1995" "12-1-0" "2" "3" NA NA NA "Florida"
"1996" "12-1-0" "1" "1" NA NA NA "Florida"
"1997" "10-2-0" "4" "6" NA NA NA "Florida"
"1998" "10-2-0" "5" "6" NA NA NA "Florida"
"1999" "9-4-0" "12" "14" NA NA NA "Florida"
"2000" "10-3-0" "10" "11" NA NA NA "Florida"
"2001" "10-2-0" "3" "3" NA NA NA "Florida"
"2002" "8-5-0" "" "24" NA NA NA "Florida"
"2003" "8-5-0" "24" "25" NA NA NA "Florida"
"2004" "7-5-0" "" "25" NA NA NA "Florida"
"2005" "9-3-0" "12" "16" NA NA NA "Florida"
"2006" "13-1-0" "1" "1" NA NA NA "Florida"
"2007" "9-4-0" "13" "16" NA NA NA "Florida"
"2008" "13-1-0" "1" "1" NA NA NA "Florida"
"2009" "13-1-0" "3" "3" NA NA NA "Florida"
"2003" "11-3-0" NA NA "" "4" "4" "Florida Atlantic"
"1964" "9-1-1" "" "11" NA NA NA "Florida St."
"1967" "7-2-2" "" "15" NA NA NA "Florida St."
"1968" "8-3-0" "" "14" NA NA NA "Florida St."
"1971" "8-4-0" "" "19" NA NA NA "Florida St."
"1977" "10-2-0" "14" "11" NA NA NA "Florida St."
"1979" "11-1-0" "6" "8" NA NA NA "Florida St."
"1980" "10-2-0" "5" "5" NA NA NA "Florida St."
"1982" "9-3-0" "13" "10" NA NA NA "Florida St."
"1984" "7-3-2" "17" "19" NA NA NA "Florida St."
"1985" "9-3-0" "15" "13" NA NA NA "Florida St."
"1986" "7-4-1" "" "20" NA NA NA "Florida St."
"1987" "11-1-0" "2" "2" NA NA NA "Florida St."
"1988" "11-1-0" "3" "3" NA NA NA "Florida St."
"1989" "10-2-0" "3" "2" NA NA NA "Florida St."
"1990" "10-2-0" "4" "4" NA NA NA "Florida St."
"1991" "11-2-0" "4" "4" NA NA NA "Florida St."
"1992" "11-1-0" "2" "2" NA NA NA "Florida St."
"1993" "12-1-0" "1" "1" NA NA NA "Florida St."
"1994" "10-1-1" "4" "5" NA NA NA "Florida St."
"1995" "10-2-0" "4" "5" NA NA NA "Florida St."
"1996" "11-1-0" "3" "3" NA NA NA "Florida St."
"1997" "11-1-0" "3" "3" NA NA NA "Florida St."
"1998" "11-2-0" "3" "3" NA NA NA "Florida St."
"1999" "12-0-0" "1" "1" NA NA NA "Florida St."
"2000" "11-2-0" "5" "4" NA NA NA "Florida St."
"2001" "8-4-0" "15" "15" NA NA NA "Florida St."
"2002" "9-5-0" "21" "23" NA NA NA "Florida St."
"2003" "10-3-0" "11" "10" NA NA NA "Florida St."
"2004" "9-3-0" "15" "14" NA NA NA "Florida St."
"2005" "8-5-0" "23" "23" NA NA NA "Florida St."
"2008" "9-4-0" "21" "23" NA NA NA "Florida St."
"2010" "10-4-0" "17" "16" NA NA NA "Florida St."
"2011" "9-4-0" "23" "23" NA NA NA "Florida St."
"1985" "11-0-1" "" "16" NA NA NA "Fresno St. (CA)"
"1992" "9-4-0" "24" "22" NA NA NA "Fresno St. (CA)"
"2004" "9-3-0" "22" "22" NA NA NA "Fresno St. (CA)"
"1941" "9-1-1" "14" "" NA NA NA "Georgia"
"1942" "11-1-0" "2" "" NA NA NA "Georgia"
"1945" "9-2-0" "18" "" NA NA NA "Georgia"
"1946" "11-0-0" "3" "" NA NA NA "Georgia"
"1948" "9-2-0" "8" "" NA NA NA "Georgia"
"1959" "10-1-0" "5" "5" NA NA NA "Georgia"
"1965" "6-4-0" "" "15" NA NA NA "Georgia"
"1966" "10-1-0" "4" "4" NA NA NA "Georgia"
"1967" "7-4-0" "" "18" NA NA NA "Georgia"
"1968" "8-1-2" "8" "4" NA NA NA "Georgia"
"1971" "11-1-0" "7" "8" NA NA NA "Georgia"
"1975" "9-3-0" "19" "19" NA NA NA "Georgia"
"1976" "10-2-0" "10" "10" NA NA NA "Georgia"
"1978" "9-2-1" "16" "15" NA NA NA "Georgia"
"1980" "12-0-0" "1" "1" NA NA NA "Georgia"
"1981" "10-2-0" "6" "5" NA NA NA "Georgia"
"1982" "11-1-0" "4" "4" NA NA NA "Georgia"
"1983" "10-1-1" "4" "4" NA NA NA "Georgia"
"1987" "9-3-0" "13" "14" NA NA NA "Georgia"
"1988" "9-3-0" "15" "15" NA NA NA "Georgia"
"1991" "9-3-0" "17" "19" NA NA NA "Georgia"
"1992" "10-2-0" "8" "8" NA NA NA "Georgia"
"1997" "10-2-0" "10" "10" NA NA NA "Georgia"
"1998" "9-3-0" "14" "14" NA NA NA "Georgia"
"1999" "8-4-0" "16" "16" NA NA NA "Georgia"
"2000" "8-4-0" "20" "17" NA NA NA "Georgia"
"2001" "8-4-0" "22" "25" NA NA NA "Georgia"
"2002" "13-1-0" "3" "3" NA NA NA "Georgia"
"2003" "11-3-0" "7" "6" NA NA NA "Georgia"
"2004" "10-2-0" "7" "6" NA NA NA "Georgia"
"2005" "10-3-0" "10" "10" NA NA NA "Georgia"
"2006" "9-4-0" "23" "" NA NA NA "Georgia"
"2007" "11-2-0" "2" "3" NA NA NA "Georgia"
"2008" "10-3-0" "13" "10" NA NA NA "Georgia"
"2011" "10-4-0" "19" "20" NA NA NA "Georgia"
"1939" "8-2-0" "16" "" NA NA NA "Georgia Tech"
"1942" "9-2-0" "5" "" NA NA NA "Georgia Tech"
"1943" "8-3-0" "13" "" NA NA NA "Georgia Tech"
"1944" "8-3-0" "13" "" NA NA NA "Georgia Tech"
"1946" "9-2-0" "11" "" NA NA NA "Georgia Tech"
"1947" "10-1-0" "10" "" NA NA NA "Georgia Tech"
"1951" "11-0-1" "5" "5" NA NA NA "Georgia Tech"
"1952" "12-0-0" "2" "2" NA NA NA "Georgia Tech"
"1953" "9-2-1" "8" "9" NA NA NA "Georgia Tech"
"1954" "8-3-0" "" "11" NA NA NA "Georgia Tech"
"1955" "9-1-1" "7" "7" NA NA NA "Georgia Tech"
"1956" "10-1-0" "4" "4" NA NA NA "Georgia Tech"
"1961" "7-4-0" "13" "13" NA NA NA "Georgia Tech"
"1962" "7-3-1" "" "11" NA NA NA "Georgia Tech"
"1966" "9-2-0" "8" "8" NA NA NA "Georgia Tech"
"1970" "9-3-0" "13" "17" NA NA NA "Georgia Tech"
"1972" "7-4-1" "20" "" NA NA NA "Georgia Tech"
"1985" "9-2-1" "19" "18" NA NA NA "Georgia Tech"
"1990" "11-0-1" "2" "1" NA NA NA "Georgia Tech"
"1997" "7-5-0" "25" "" NA NA NA "Georgia Tech"
"1998" "10-2-0" "9" "11" NA NA NA "Georgia Tech"
"1999" "8-4-0" "20" "21" NA NA NA "Georgia Tech"
"2000" "9-3-0" "17" "19" NA NA NA "Georgia Tech"
"2001" "8-5-0" "24" "" NA NA NA "Georgia Tech"
"2008" "9-4-0" "22" "22" NA NA NA "Georgia Tech"
"2009" "10-3-0" "13" "13" NA NA NA "Georgia Tech"
"1992" "11-2-0" "20" "20" NA NA NA "Hawaii"
"2006" "11-3-0" "" "24" NA NA NA "Hawaii"
"2007" "12-1-0" "19" "17" NA NA NA "Hawaii"
"1952" "8-2-0" "" "19" NA NA NA "Houston (TX)"
"1966" "8-2-0" "" "17" NA NA NA "Houston (TX)"
"1967" "7-3-0" "" "19" NA NA NA "Houston (TX)"
"1968" "6-2-2" "18" "20" NA NA NA "Houston (TX)"
"1969" "9-2-0" "12" "16" NA NA NA "Houston (TX)"
"1970" "8-3-0" "19" "13" NA NA NA "Houston (TX)"
"1971" "9-3-0" "17" "14" NA NA NA "Houston (TX)"
"1973" "11-1-0" "9" "13" NA NA NA "Houston (TX)"
"1974" "8-3-1" "19" "11" NA NA NA "Houston (TX)"
"1976" "10-2-0" "4" "4" NA NA NA "Houston (TX)"
"1978" "9-3-0" "10" "11" NA NA NA "Houston (TX)"
"1979" "11-1-0" "5" "5" NA NA NA "Houston (TX)"
"1988" "9-3-0" "18" "" NA NA NA "Houston (TX)"
"1989" "9-2-0" "14" "" NA NA NA "Houston (TX)"
"1990" "10-1-0" "10" "" NA NA NA "Houston (TX)"
"2011" "13-1-0" "18" "14" NA NA NA "Houston (TX)"
