"W.L" "Date" "PF" "Opponent" "PA" "Bowl" "Other" "Month" "Day" "Year" "Team" "offName"
"L" "12-03-1955" 21 "Grambling St. (LA)" 28 "Orange Blossom Classic" 1 12 3 1955 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-01-1956" 39 "Tennessee St." 41 "Orange Blossom Classic" 1 12 1 1956 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-14-1957" 27 "Maryland-Eastern Shore" 21 "Orange Blossom Classic" 1 12 14 1957 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-13-1958" 8 "Prairie View A&M (TX)" 26 "Orange Blossom Classic" 1 12 13 1958 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-05-1959" 28 "Prairie View A&M (TX)" 7 "Orange Blossom Classic" 1 12 5 1959 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-10-1960" 40 "Langston (OK)" 26 "Orange Blossom Classic" 1 12 10 1960 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-09-1961" 14 "Jackson St. (MS)" 8 "Orange Blossom Classic" 1 12 9 1961 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-08-1962" 6 "Jackson St. (MS)" 22 "Orange Blossom Classic" 1 12 8 1962 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-14-1963" 30 "Morgan St. (MD)" 7 "Orange Blossom Classic" 1 12 14 1963 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-05-1964" 42 "Grambling St. (LA)" 15 "Orange Blossom Classic" 1 12 5 1964 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-04-1965" 7 "Morgan St. (MD)" 38 "Orange Blossom Classic" 1 12 4 1965 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-03-1966" 43 "Alabama A&M" 26 "Orange Blossom Classic" 1 12 3 1966 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-02-1967" 25 "Grambling St. (LA)" 28 "Orange Blossom Classic" 1 12 2 1967 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-07-1968" 9 "Alcorn St. (MS)" 36 "Orange Blossom Classic" 1 12 7 1968 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-06-1969" 23 "Grambling St. (LA)" 19 "Orange Blossom Classic" 1 12 6 1969 "Florida A&M" "Florida Agricultural and Mechanical University"
"L" "12-12-1970" 7 "Jacksonville St. (AL)" 21 "Orange Blossom Classic" 1 12 12 1970 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-11-1971" 27 "Kentucky St." 9 "Orange Blossom Classic" 1 12 11 1971 "Florida A&M" "Florida Agricultural and Mechanical University"
"W" "12-02-1972" 41 "Maryland-Eastern Shore" 21 "Orange Blossom Classic" 1 12 2 1972 "Florida A&M" "Florida Agricultural and Mechanical University"
