"Team","Year","oW","oL","cW","cL","stand","bowl","coachRank","apRank","sportsNetworkRank"
"Texas Tech",2013,7,4,4,4,NA,"",NA,NA,NA
"West Virginia",2011,10,3,5,2,1,"W Orange†",18,17,NA
"West Virginia",2012,7,6,4,5,5,"L Pinstripe",NA,NA,NA
"West Virginia",2013,4,7,2,6,NA,"",NA,NA,NA
"Toledo",2009,5,7,3,5,4,"",NA,NA,NA
"Toledo",2010,8,5,7,1,2,"L Little Caesars Pizza",NA,NA,NA
"Toledo",2011,8,4,7,1,1,"Military[n 1]",NA,NA,NA
"Illinois",2012,NA,NA,0,8,6,"",NA,NA,NA
"Illinois",2013,1,2,0,6,NA,"",NA,NA,NA
"Indiana",2011,1,11,0,8,6,"",NA,NA,NA
"Indiana",2012,4,8,2,6,5,"",NA,NA,NA
"Indiana",2013,4,6,2,4,NA,"",NA,NA,NA
"Maine",1990,3,8,2,6,NA,"",NA,NA,NA
"Maine",1991,3,8,2,6,NA,"",NA,NA,NA
"Maine",1992,6,5,4,4,NA,"",NA,NA,NA
"Iowa",1999,1,10,0,8,11,"",NA,NA,NA
"Iowa",2000,3,9,3,5,8,"",NA,NA,NA
"Iowa",2001,7,5,4,4,4,"W Alamo",NA,NA,NA
"Iowa",2002,11,2,8,0,1,"L Orange†",8,8,NA
"Iowa",2003,10,3,5,3,4,"W Outback",8,8,NA
"Iowa",2004,10,2,7,1,1,"W Capital One",8,8,NA
"Iowa",2005,7,5,5,3,3,"L Outback",NA,NA,NA
"Iowa",2006,6,7,2,6,8,"L Alamo",NA,NA,NA
"Iowa",2007,6,6,4,4,5,"",NA,NA,NA
"Iowa",2008,9,4,5,3,4,"W Outback",20,20,NA
"Iowa",2009,11,2,6,2,2,"W Orange†",7,7,NA
"Iowa",2010,8,5,4,4,4,"W Insight",NA,NA,NA
"Iowa",2011,7,6,4,4,4,"L Insight",NA,NA,NA
"Iowa",2012,4,8,2,6,5,"",NA,NA,NA
"Iowa",2013,6,4,3,3,NA,"",NA,NA,NA
