"Years" "Conference" "offName" "school" "Division" "school"
1945 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1946 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1947 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1948 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1949 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1950 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1951 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1952 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1953 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1954 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1955 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1956 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1957 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "N/A" "Alabama St."
1958 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1959 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1960 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1961 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1962 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1963 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1964 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1965 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1966 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1967 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1968 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1969 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1970 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1971 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1972 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA College Division (Small College)" "Alabama St."
1973 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1974 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1975 "Southern Intercollegiate Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1976 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1977 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1978 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1979 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1980 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1981 "Division II Independent" "Alabama State University" "Alabama St." "NCAA Division II" "Alabama St."
1982 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1983 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1984 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1985 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1986 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1987 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1988 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1989 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1990 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1991 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1992 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1993 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1994 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1995 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1996 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
1997 "Southwestern Athletic Conference" "Alabama State University" "Alabama St." "NCAA Division I-AA" "Alabama St."
