"Years" "Conference" "offName" "school" "Division" "school"
1972 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA College Division (Small College)" "Alcorn St. (MS)"
1972 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1973 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1973 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division II" "Alcorn St. (MS)"
1974 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1974 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division II" "Alcorn St. (MS)"
1975 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1975 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division II" "Alcorn St. (MS)"
1976 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1976 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division II" "Alcorn St. (MS)"
1977 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1977 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I" "Alcorn St. (MS)"
1978 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1978 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1979 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1979 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1980 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1980 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1981 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1981 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1982 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1982 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1983 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NAIA Division I" "Alcorn St. (MS)"
1983 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1984 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1985 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1986 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1987 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1988 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1989 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1990 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1991 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1992 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1993 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1994 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1995 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1996 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1997 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1998 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1999 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2000 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2001 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2002 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2003 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2004 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2005 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2006 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2007 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2008 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2009 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2010 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2011 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
2012 "Southwestern Athletic Conference" "Alcorn State University" "Alcorn St. (MS)" "NCAA Division I-AA" "Alcorn St. (MS)"
1928 "Independent" "Appalachian State University" "Appalachian St. (NC)" NA NA
1929 "Independent" "Appalachian State University" "Appalachian St. (NC)" NA NA
1930 "Independent" "Appalachian State University" "Appalachian St. (NC)" NA NA
1931 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1932 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1933 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1934 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1935 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1936 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" NA NA
1937 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1938 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1939 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1940 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1941 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1942 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1943 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1944 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1945 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1946 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1947 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1948 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1949 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1950 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1951 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1952 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1953 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1954 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1955 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1956 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1957 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1958 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1959 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1960 "North State Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1937 "Smoky Mountain Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1938 "Smoky Mountain Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1939 "Smoky Mountain Conference" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1940 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1941 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1942 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1943 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1944 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1945 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1946 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1947 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1948 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1949 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1950 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1951 "Independent" "Appalachian State University" "Appalachian St. (NC)" "No Classification" "Appalachian St. (NC)"
1952 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1953 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1954 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1955 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1956 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1957 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1958 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1959 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1960 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1961 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1962 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1963 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1964 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1965 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1966 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1967 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1968 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1969 "Carolinas Conference" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1970 "Independent" "Appalachian State University" "Appalachian St. (NC)" "NAIA" "Appalachian St. (NC)"
1971 "Southern Conference" "Appalachian State University" "Appalachian St. (NC)" "NCAA College Division (Small College)" "Appalachian St. (NC)"
1972 "Southern Conference" "Appalachian State University" "Appalachian St. (NC)" "NCAA College Division (Small College)" "Appalachian St. (NC)"
