"Rank1" "espnNames" "conference" "signed" "espn150" "five" "four" "three" "off" "def" "specTeams" "athletes" "year" "espn300" "Score"
18 "Appalachian State" "NCAA Division I-AA" 15 0 1 1 1 3 9 1 2 2008 NA 12
18 "Harvard" "NCAA Division I-AA" 15 0 2 2 16 7 6 2 0 2011 NA 66
18 "Jacksonville State" "NCAA Division I-AA" 19 0 2 2 2 12 5 1 1 2010 NA 24
18 "Yale" "NCAA Division I-AA" 10 0 2 2 19 8 2 0 0 2012 NA 75
18 "Alabama State" "SWAC" 1 0 2 2 2 1 0 0 0 2009 NA 24
18 "Indiana State" "NCAA Division I-AA" 7 0 2 2 2 4 3 0 0 2013 0 24
19 "Arizona" "Pac-12" 26 0 2 11 23 11 8 0 4 2013 1 123
19 "Baylor" "Big 12" 28 0 1 1 1 16 12 0 0 2006 NA 12
19 "Duke" "ACC" 27 0 2 2 2 10 13 0 4 2009 NA 24
19 "Florida" "SEC" 27 17 2 2 2 8 15 0 4 2010 NA 24
19 "LSU" "SEC" 27 7 1 1 1 14 11 2 0 2007 NA 12
19 "Mississippi State" "SEC" 27 1 1 1 1 9 14 1 3 2008 NA 12
19 "Mississippi State" "SEC" 28 1 2 10 15 10 12 1 5 2012 NA 95
19 "Troy" "Sun Belt" 29 0 2 2 16 15 12 1 1 2011 NA 66
19 "Delaware" "NCAA Division I-AA" 15 0 2 2 2 8 6 0 1 2011 NA 24
19 "Elon" "NCAA Division I-AA" 14 0 1 1 1 8 5 1 0 2008 NA 12
19 "Richmond" "NCAA Division I-AA" 19 0 2 2 2 9 7 0 3 2010 NA 24
19 "Western Carolina" "NCAA Division I-AA" 1 0 2 2 2 0 1 0 0 2009 NA 24
19 "Brown" "NCAA Division I-AA" 10 0 2 2 3 5 2 1 2 2012 NA 27
19 "Albany" "NCAA Division I-AA" 6 0 2 2 3 4 2 0 0 2013 0 27
2 "Auburn" "SEC" 32 7 2 2 2 12 11 2 7 2010 NA 24
2 "Kansas State" "Big 12" 33 0 1 1 1 14 15 1 3 2008 NA 12
2 "Marshall" "Conference USA" 34 0 2 10 9 18 11 0 5 2011 NA 77
2 "Mississippi" "SEC" 37 3 2 2 2 16 16 2 3 2009 NA 24
2 "Oregon State" "Pac-12" 35 0 1 1 1 16 19 0 0 2007 NA 12
