"no","name","pos","ht","wt","class","hometown","year"
15,"Jonathan Borden","LB ","6-1 ",222,"Sr./Jr. ","East Moline, Ill.  (United Township) ",2002
60,"Grant Bowman***","DL ","6-1 ",290,"Sr./Jr. ","Columbus, Ohio  (St. Francis De Sales) ",2002
34,"Philip Brabbs**","PK ","6-2 ",200,"Sr./Jr. ","Midland, Mich.  (H.H. Dow) ",2002
41,"Tim Bracken*","RB ","5-10 ",207,"Jr./So. ","White Castle, La.  (Saint John) ",2002
45,"Phillip Brackins**","TE ","6-4 ",231,"Sr./Jr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",2002
6,"Alijah Bradley","RB ","5-6 ",152,"Fr./Fr. ","Richmond, Calif.  (DeLaSalle Catholic) ",2002
15,"Steve Breaston","WR ","6-1 ",169,"Fr./Fr. ","North Braddock, Pa.  (Woodland Hills) ",2002
7,"Spencer Brinton*","QB ","6-5 ",224,"Sr./Jr. ","Hemet, Calif.  (Temecula Valley) ",2002
9,"Tyrece Butler***","WR ","6-3 ",206,"Sr./Jr. ","Indianapolis, Ind.  (Decatur Central) ",2002
26,"Mike Carl","QB ","6-0 ",195,"Fr./Fr. ","Troy, Mich.  (Athens) ",2002
91,"Emmanuel Casseus**","LB ","6-2 ",244,"Jr./Jr. ","Montreal, Quebec  (Vieux Montreal) ",2002
55,"Andy Christopfel**","OL ","6-3 ",295,"Jr./So. ","Cincinnati, Ohio  (Elder) ",2002
31,"Zia Combs**","CB ","6-0 ",182,"Jr./So. ","Lexington, Ky.  (Henry Clay) ",2002
29,"Greg Cooper","DB ","5-11 ",179,"Fr./Fr. ","Flint, Mich.  (Northern) ",2002
81,"Brent Cummings","WR ","5-11 ",193,"Sr./Jr. ","Belding, Mich.  (Belding) ",2002
30,"Markus Curry*","CB ","5-11 ",181,"So./So. ","Detroit, Mich.  (Bishop Gallagher) ",2002
26,"Julius Curry****","SS ","6-1 ",195,"5th/Sr. ","Detroit, Mich.  (Bishop Gallagher) ",2002
73,"Joe Denay**","OL ","6-8 ",303,"5th/Sr. ","Bay City, Mich.  (John Glenn) ",2002
43,"Carl Diggs***","ILB ","6-1 ",247,"Sr./Jr. ","Warren, Ohio  (Warren G. Harding) ",2002
24,"Charles Drake****","SS ","6-2 ",201,"Sr./Sr. ","Los Angeles, Calif.  (Westchester) ",2002
89,"Deitan Dubuc***","TE ","6-4 ",248,"5th/Sr. ","Fabreville, Quebec  (Vieux Montreal) ",2002
32,"Kevin Dudley**","FB ","6-1 ",232,"Jr./So. ","Brookville, Ind.  (Franklin County) ",2002
73,"Kyle Ealey","OL ","6-7 ",277,"Sr./Fr. ","Broadview, Ill.  (Saint Joseph) ",2002
80,"Braylon Edwards*","WR ","6-3 ",206,"So./So. ","Detroit, Mich.  (Bishop Gallagher) ",2002
39,"Adam Finley**","P/PK ","6-4 ",206,"Jr./So. ","Greenwood, Ind.  (Center Grove) ",2002
86,"Jim Fisher*","TE ","6-5 ",249,"Jr./So. ","Huron, Ohio  (Huron) ",2002
64,"Jeff Gaston","OL ","6-5 ",287,"Jr./So. ","Ridgewood, N.J.  (Bergen Catholic) ",2002
18,"Jermaine Gonzales**","WR ","6-2 ",210,"Jr./So. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2002
12,"Matt Gutierrez","QB ","6-4 ",212,"Fr./Fr. ","Concord, Calif.  (DeLaSalle) ",2002
44,"David Harris","LB ","6-2 ",226,"Fr./Fr. ","Grand Rapids, Mich.  (Ottawa Hills) ",2002
96,"Larry Harrison","DL ","6-3 ",321,"Fr./Fr. ","Detroit, Mich.  (Martin Luther King) ",2002
65,"Leo Henige Jr.","OL ","6-4 ",318,"So./Fr. ","Chesaning, Mich.  (Chesaning) ",2002
90,"Norman Heuer***","DL ","6-5 ",288,"Sr./Jr. ","Peoria, Ariz.  (Cactus) ",2002
6,"Victor Hobson**** (c)","OLB ","6-1 ",243,"5th/Sr. ","Mt. Laurel, N.J.  (St. Joseph's Prep) ",2002
4,"Darnell Hood","RB ","5-11 ",188,"Fr./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",2002
3,"Marlin Jackson**","CB ","6-1 ",189,"So./So. ","Sharon, Pa.  (Sharon) ",2002
83,"Bennie Joppru**** (c)","TE ","6-5 ",249,"5th/Sr. ","Wayzata, Minn.  (Minnetonka) ",2002
2,"Cato June***","FS ","6-1 ",217,"5th/Sr. ","Washington, D.C.  (Anacostia) ",2002
18,"Mike Kaselitz","QB ","6-4 ",214,"Sr. ","Grosse Pointe City, Mich.  (South) ",2002
95,"Alain Kashama***","DL ","6-5 ",259,"Jr./Jr. ","Montreal, Quebec  (Vieux Montreal) ",2002
13,"Jeff Kastl","QB ","6-3 ",208,"Fr./Fr. ","Clinton Township, Mich.  (Chippewa Valley) ",2002
37,"Zach Kaufman***","ILB ","6-1 ",234,"Jr./Jr. ","Claremont, Calif.  (Claremont) ",2002
28,"Matt Kernen","DB ","6-0 ",184,"Jr./So. ","Holly, Mich.  (Holly) ",2002
22,"Ross Kesler","WR ","6-2 ",200,"Jr./So. ","Warsaw, Ind.  (Warsaw) ",2002
66,"Andrew King","LS ","6-1 ",245,"So./Fr. ","Eden Prairie, Minn.  (Eden Prairie) ",2002
51,"Mike Kolodziej","TE ","6-7 ",300,"Fr./Fr. ","Joliet, Ill.  (Joliet Catholic Academy) ",2002
36,"Brian Lafer","WR ","5-11 ",190,"Jr./So. ","Farmington Hill, Mich.  (North Farmington) ",2002
97,"Shawn Lazarus****","DL ","6-4 ",288,"5th/Sr. ","Canal Fulton, Ohio  (Northwest) ",2002
67,"Matt Lentz*","OL ","6-6 ",301,"So./Fr. ","Ortonville, Mich.  (Brandon) ",2002
34,"Joe Leoni","LB ","5-11 ",210,"Fr./Fr. ","Grand Blanc, Mich.  (Flint Powers) ",2002
21,"Jeremy LeSueur***","CB ","6-1 ",199,"Sr./Jr. ","Holly Springs, Miss.  (Holly Springs) ",2002
95,"Mike Mandich","TE ","6-3 ",241,"So./Fr. ","Miami Lakes, Fla.  (Dade Christian) ",2002
52,"Ross Mann","LS ","6-1 ",220,"Jr./So. ","Pikeville, Ky.  (Lexington Catholic) ",2002
58,"Roy Manning**","OLB ","6-2 ",238,"Jr./So. ","Saginaw, Mich.  (Saginaw) ",2002
88,"Tim Massaquoi*","TE ","6-4 ",231,"So./Fr. ","Allentown, Pa.  (Parkland) ",2002
94,"Pat Massey*","DL ","6-8 ",260,"So./Fr. ","Brecksville, Ohio  (Saint Ignatius) ",2002
96,"Chris Matsos","WR ","6-0 ",206,"So./Fr. ","New Boston, Mich.  (Huron) ",2002
36,"Scott McClintock*","LB ","6-2 ",243,"So./Fr. ","Belle Vernon, Pa.  (Belle Vernon) ",2002
14,"Andy Mignery**","P/TE ","6-3 ",250,"Sr./Jr. ","Hamilton, Ohio  (Hamilton) ",2002
31,"Craig Moore","PK ","5-10 ",177,"Fr./Fr. ","San Diego, Calif.  (The Bishop's School) ",2002
62,"Courtney Morgan**","OL ","6-3 ",298,"Sr./Jr. ","Los Angeles, Calif.  (Westchester) ",2002
49,"Kirk Moundros***","FB ","6-2 ",234,"5th/Sr. ","Farmington Hills, Mich.  (North Farmington) ",2002
84,"Kevin Murphy","TE ","6-5 ",240,"Fr./Fr. ","Grand Rapids, Mich.  (Forest Hills Central) ",2002
38,"Blake Nasif**","CB ","6-0 ",194,"5th/Sr. ","Lansing, Mich.  (Grand Ledge) ",2002
16,"John Navarre***","QB ","6-6 ",228,"Sr./Jr. ","Cudahy, Wis.  (Cudahy) ",2002
10,"Troy Nienberg*","PK ","6-2 ",171,"Jr./So. ","Glandorf, Ohio  (Ottawa Glandorf) ",2002
93,"Alex Ofili*","DL ","6-3 ",262,"So./Fr. ","Ypsilanti, Mich.  (Ypsilanti) ",2002
40,"Obi Oluigbo","LB ","6-0 ",224,"Fr./Fr. ","Laurel, Md.  (Episcopal) ",2002
53,"Shantee Orr***","DL ","6-1 ",255,"Sr./Jr. ","Detroit, Mich.  (Denby) ",2002
77,"Tony Pape***","OL ","6-6 ",305,"Sr./Jr. ","Clarendon Hills, Ill.  (Hinsdale South) ",2002
57,"Dave Pearson***","OL ","6-3 ",291,"Sr./Jr. ","Brighton, Mich.  (Brighton) ",2002
97,"Luke Perl","PK ","6-0 ",206,"Jr./So. ","Grand Rapids, Mich.  (Forest Hills Northern) ",2002
23,"Chris Perry***","RB ","6-1 ",220,"Jr./Jr. ","Advance, N.C.  (Fork Union Military Academy, Va.) ",2002
76,"Dave Petruziello****","OL ","6-4 ",297,"5th/Sr. ","Mentor, Ohio  (Lake Catholic) ",2002
55,"Jeremy Read","LB ","6-1 ",227,"Jr./So. ","San Diego, Calif.  (Rancho Bernardo) ",2002
56,"Lawrence Reid*","LB ","6-1 ",219,"So./Fr. ","Pickerington, Ohio  (Pickerington) ",2002
20,"Pierre Rembert","RB ","6-1 ",203,"Fr./Fr. ","Milwaukee, Wis.  (Cudahy) ",2002
72,"Rueben Riley Jr.","OL ","6-3 ",318,"Fr./Fr. ","Grand Rapids, Mich.  (Creston) ",2002
92,"Dan Rumishek****","DL ","6-4 ",273,"5th/Sr. ","Addison, Ill.  (Addison Trail) ",2002
3,"Ross Ryan","P ","6-0 ",203,"Fr./Fr. ","Franklin, Mich.  (Brother Rice) ",2002
44,"Sean Sanderson*","FB ","6-3 ",289,"So./Fr. ","Knoxville, Tenn.  (Farragut) ",2002
66,"Paul Sarantos","LB ","6-4 ",252,"Fr./Fr. ","Portage, Mich.  (Northern) ",2002
59,"Joey Sarantos*","LB ","6-3 ",217,"So./Fr. ","Portage, Mich.  (Northern) ",2002
69,"David Schoonover","OL ","6-3 ",274,"So./Fr. ","DeWitt, Mich.  (DeWitt) ",2002
50,"Joe Sgroi****","LS ","5-11 ",214,"5th/Sr. ","Plymouth, Mich.  (Catholic Central) ",2002
22,"Jon Shaw***","FS ","6-0 ",202,"Sr./Jr. ","Coral Springs, Fla.  (St. Thomas Aquinas) ",2002
25,"Ernest Shazor*","DB ","6-4 ",218,"So./Fr. ","Detroit, Mich.  (Martin Luther King) ",2002
70,"Dan Simelis","OL ","6-7 ",283,"So./Fr. ","Corapolis, Pa.  (Montour) ",2002
74,"Demeterius Solomon***","OL ","6-6 ",297,"Sr./Jr. ","Flint, Mich.  (Northern) ",2002
2,"Mark Spencer","P ","5-11 ",211,"Fr./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2002
85,"Dave Spytek","TE ","6-7 ",250,"So./Fr. ","Pewaukee, Wis.  (Catholic Memorial) ",2002
42,"John Spytek**","OLB ","6-4 ",240,"Sr./Jr. ","Pewaukee, Wis.  (Catholic Memorial) ",2002
99,"Andy Stejskal","WR ","6-4 ",198,"Jr./So. ","Ann Arbor, Mich.  (Pioneer) ",2002
79,"Adam Stenavich*","OL ","6-5 ",302,"So./Fr. ","Marshfield, Wis.  (Marshfield) ",2002
13,"Larry Stevens***","DL ","6-3 ",261,"Jr./Jr. ","Tacoma, Wash.  (Woodrow Wilson) ",2002
28,"Jacob Stewart*","DB ","6-0 ",204,"Fr./Fr. ","Ypsilanti, Mich.  (Ypsilanti) ",2002
94,"Matt Studenski","TE ","6-4 ",190,"So./Fr. ","Troy, Mich.  (Brother Rice) ",2002
17,"Carl Tabb","WR ","6-2 ",171,"Fr./Fr. ","Ann Arbor, Mich.  (Huron) ",2002
35,"Brian Thompson","FB ","6-2 ",212,"Fr./Fr. ","Saginaw, Mich.  (Nouvel Catholic) ",2002
5,"David Underwood**","RB ","6-0 ",220,"So./So. ","Madisonville, Texas  (Madisonville) ",2002
46,"Nick Upchurch","WR ","5-7 ",180,"Sr./Jr. ","Clarkston, Mich.  (Clarkston) ",2002
50,"Jeremy Van Alstyne","LB ","6-4 ",235,"Fr./Fr. ","Greenwood, Ind.  (Center Grove) ",2002
78,"Gabe Watson*","DL ","6-4 ",358,"Fr./Fr. ","Novi, Mich.  (Southfield) ",2002
52,"Kolby Wells","LB ","6-2 ",229,"Jr./So. ","Summer Field, Fla.  (Belleview) ",2002
8,"Matt Wilde","QB ","6-2 ",191,"Fr./Fr. ","Troy, Mich.  (Seaholm) ",2002
12,"Brandon Williams****","CB ","5-11 ",186,"Sr./Sr. ","Omaha, Neb.  (Central) ",2002
68,"John Wood*","DL ","6-4 ",281,"5th/Sr. ","Cincinnati, Ohio  (Milford Academy) ",2002
99,"Pierre Woods*","DL ","6-5 ",238,"So./Fr. ","Cleveland, Ohio  (Glenville) ",2002
33,"Charles Young III","DB ","5-11 ",195,"Jr./So. ","Flint, Mich.  (Hamady) ",2002
71,"Kurt Anderson***","OL ","6-4 ",299,"5th/Sr. ","Glenbrook, Ill.  (South) ",2001
44,"Dave Armstrong*","FB ","6-3 ",258,"Sr./Jr. ","Doylestown, Pa.  (Central Bucks West) ",2001
35,"B.J. Askew***","FB ","6-3 ",228,"Jr./Jr. ","Cincinnati, Ohio  (Colerain) ",2001
75,"David Baas*","OL ","6-5 ",299,"So./Fr. ","Sarasota, Fla.  (Riverview) ",2001
64,"Stephen Baker","LB ","6-1 ",262,"Sr./Jr. ","Valley Stream, N.Y.  (Central) ",2001
10,"Kelly Baraka","RB ","6-0 ",180,"Fr./Fr. ","Portage, Mich.  (Northern) ",2001
63,"Derek Bell","OL ","6-5 ",258,"Fr./Fr. ","Holland, Mich.  (Grand Rapids Catholic Central) ",2001
27,"Calvin Bell**","WR ","6-1 ",192,"So./So. ","Simi Valley, Calif.  (Simi Valley) ",2001
19,"Ronald Bellamy***","WR ","6-0 ",199,"Jr./Jr. ","New Orleans, La.  (Archbishop Shaw) ",2001
61,"Josh Blackman","OLB ","6-5 ",299,"So./Fr. ","Jackson, Mich.  (Jackson) ",2001
60,"Grant Bowman**","DL ","6-1 ",287,"Jr./So. ","Columbus, Ohio  (St. Francis De Sales) ",2001
34,"Philip Brabbs*","K ","6-1 ",195,"Jr./So. ","Midland, Mich.  (H.H. Dow) ",2001
41,"Tim Bracken","RB ","5-10 ",204,"So./Fr. ","White Castle, La.  (Saint John) ",2001
45,"Phillip Brackins**","TE ","6-4 ",230,"Jr./So. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",2001
51,"Eric Brackins**** (c)","ILB ","6-2 ",236,"5th/Sr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",2001
7,"Spencer Brinton","QB ","6-5 ",225,"Jr./So. ","Hemet, Calif.  (Temecula Valley) ",2001
9,"Tyrece Butler**","WR ","6-3 ",206,"Jr./So. ","Indianapolis, Ind.  (Decatur Central) ",2001
91,"Emmanuel Casseus**","LB ","6-2 ",235,"So./So. ","Montreal, Quebec  (Vieux Montreal) ",2001
17,"Sean Cassidy","QB ","6-4 ",207,"So./Fr. ","Columbus, Ohio  (Fork Union) ",2001
55,"Andy Christopfel*","OL ","6-3 ",295,"So./Fr. ","Cincinnati, Ohio  (Elder) ",2001
39,"Evan Coleman****","OLB ","6-0 ",273,"Sr./Sr. ","Houston, Texas  (Elsik) ",2001
31,"Zia Combs*","WR ","5-11 ",181,"So./Fr. ","Lexington, Ky.  (Henry Clay) ",2001
8,"Walter Cross****","RB ","5-11 ",213,"Sr./Sr. ","Fort Washington, Md.  (Oxon Hill) ",2001
,"Brent Cummings"," "," "," "," ","Belding, Mich.  (Belding) ",2001
30,"Markus Curry","CB ","5-11 ",182,"Fr./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",2001
26,"Julius Curry***","SS ","6-0 ",191,"Sr./Jr. ","Detroit, Mich.  (Bishop Gallagher) ",2001
63,"P.J. Cwayna**","ILB ","5-11 ",220,"5th/Sr. ","Grand Rapids, Mich.  (East) ",2001
15,"Travis DeMeester","TE ","6-3 ",240,"Sr./Jr. ","Ludington, Mich.  (Ludington) ",2001
73,"Joe Denay**","OL ","6-8 ",299,"Sr./Jr. ","Bay City, Mich.  (John Glenn) ",2001
43,"Carl Diggs**","LB ","6-1 ",245,"Jr./So. ","Warren, Ohio  (Warren G. Harding) ",2001
24,"Charles Drake***","SS ","6-1 ",204,"Jr./Jr. ","Los Angeles, Calif.  (Westchester) ",2001
89,"Deitan Dubuc**","TE ","6-4 ",250,"Sr./Jr. ","Fabreville, Quebec  (Vieux Montreal) ",2001
38,"Kevin Dudley*","FB ","6-1 ",240,"So./Fr. ","Brookville, Ind.  (Franklin County) ",2001
82,"Kyle Ealey","TE ","6-7 ",253,"Fr./Fr. ","Broadview, Ill.  (Saint Joseph) ",2001
80,"Braylon Edwards","WR ","6-3 ",200,"Fr./Fr. ","Detroit, Mich.  (Bishop Gallagher) ",2001
25,"Hayden Epstein****","P/PK ","6-2 ",212,"Sr./Sr. ","Cardiff, Calif.  (Torrey Pines) ",2001
85,"Adam Finley*","P/PK ","6-4 ",211,"So./Fr. ","Greenwood, Ind.  (Center Grove) ",2001
86,"Jim Fisher","TE ","6-5 ",244,"So./Fr. ","Huron, Ohio  (Huron) ",2001
17,"Larry Foote****","ILB ","6-1 ",237,"Sr./Sr. ","Detroit, Mich.  (Pershing) ",2001
46,"Ken Fremer","P/PK ","6-0 ",178,"Fr./Fr. ","Hinsdale, Ill.  (Hinsdale) ",2001
99,"Jake Frysinger*****","DL ","6-4 ",281,"5th/Sr. ","Grosse Ile, Mich.  (Grosse Ile) ",2001
64,"Jeff Gaston","OL ","6-5 ",290,"So./Fr. ","Ridgewood, N.J.  (Bergen Catholic) ",2001
18,"Jermaine Gonzales*","QB ","6-2 ",209,"So./Fr. ","Pontiac, Mich.  (Orchard Lake St. Mary's) ",2001
78,"Jonathan Goodwin***","OL ","6-4 ",299,"5th/Sr. ","Columbia, S.C.  (Lower-Richland) ",2001
65,"Leo Henige Jr.","OL ","6-4 ",333,"Fr./Fr. ","Chesaning, Mich.  (Chesaning) ",2001
90,"Norman Heuer**","DL ","6-5 ",292,"Jr./So. ","Peoria, Ariz.  (Cactus) ",2001
6,"Victor Hobson***","OLB ","6-1 ",244,"Sr./Jr. ","Mt. Laurel, N.J.  (St. Joseph's Prep) ",2001
3,"Todd Howard****","CB ","5-10 ",187,"Sr./Sr. ","Bolingbrook, Ill.  (Bolingbrook) ",2001
20,"Marlin Jackson*","CB ","6-1 ",182,"Fr./Fr. ","Sharon, Pa.  (Sharon) ",2001
83,"Bennie Joppru***","TE ","6-4 ",243,"Sr./Jr. ","Wayzata, Minn.  (Minnetonka) ",2001
28,"Anthony Jordan****","LB ","6-0 ",215,"5th/Sr. ","Jersey City, N.J.  (St. Peters Prep) ",2001
2,"Cato June**","FS ","6-1 ",224,"Sr./Jr. ","Washington, D.C.  (Anacostia) ",2001
18,"Mike Kaselitz","QB ","6-4 ",214,"Jr. ","Grosse Pointe City, Mich.  (South) ",2001
95,"Alain Kashama**","LB ","6-5 ",260,"So./So. ","Montreal, Quebec  (Vieux Montreal) ",2001
37,"Zach Kaufman**","LB ","6-1 ",230,"So./So. ","Claremont, Calif.  (Claremont) ",2001
22,"Ross Kesler","WR ","6-2 ",194,"So./Fr. ","Warsaw, Ind.  (Warsaw) ",2001
62,"Brodie Killian**","OLB ","6-3 ",230,"5th/Sr. ","Dearborn, Mich.  (Dearborn) ",2001
36,"Brian Lafer","WR ","5-11 ",183,"So./Fr. ","Farmington Hill, Mich.  (North Farmington) ",2001
97,"Shawn Lazarus***","DL ","6-4 ",297,"Jr./Jr. ","Canal Fulton, Ohio  (Northwest) ",2001
67,"Matt Lentz","OL ","6-6 ",305,"Fr./Fr. ","Ortonville, Mich.  (Brandon) ",2001
21,"Jeremy LeSueur**","CB ","6-0 ",200,"Jr./So. ","Holly Springs, Miss.  (Holly Springs) ",2001
95,"Mike Mandich","TE ","6-3 ",234,"Fr./Fr. ","Miami Lakes, Fla.  (Dade Christian) ",2001
52,"Ross Mann","LS ","6-1 ",220,"So./Fr. ","Pikeville, Ky.  (Lexington Catholic) ",2001
58,"Roy Manning*","LB ","6-2 ",230,"So./Fr. ","Saginaw, Mich.  (Saginaw) ",2001
20,"Michael Manning**","DB ","6-2 ",208,"5th/Sr. ","Worcester, Mass.  (St. John's) ",2001
88,"Tim Massaquoi","WR ","6-4 ",220,"Fr./Fr. ","Allentown, Pa.  (Parkland) ",2001
94,"Pat Massey","DL ","6-8 ",240,"Fr./Fr. ","Brecksville, Ohio  (Saint Ignatius) ",2001
72,"Ben Mast***","OL ","6-4 ",297,"5th/Sr. ","Massilon, Ohio  (Washington) ",2001
96,"Chris Matsos","WR ","6-0 ",201,"Fr./Fr. ","New Boston, Mich.  (Huron) ",2001
36,"Scott McClintock","LB ","6-3 ",236,"Fr./Fr. ","Belle Vernon, Pa.  (Belle Vernon) ",2001
14,"Andy Mignery*","QB ","6-3 ",229,"Jr./So. ","Hamilton, Ohio  (Hamilton) ",2001
70,"Jeremy Miller***","LS ","6-0 ",242,"5th/Sr. ","Swanton, Ohio  (St. John's) ",2001
62,"Courtney Morgan*","OL ","6-3 ",298,"Jr./So. ","Los Angeles, Calif.  (Westchester) ",2001
49,"Kirk Moundros**","FB ","6-2 ",230,"Sr./Jr. ","Farmington Hills, Mich.  (North Farmington) ",2001
38,"Blake Nasif**","CB ","6-0 ",191,"Sr./Jr. ","Lansing, Mich.  (Grand Ledge) ",2001
16,"John Navarre**","QB ","6-6 ",236,"Jr./So. ","Cudahy, Wis.  (Cudahy) ",2001
6,"Troy Nienberg","PK ","6-2 ",170,"So./Fr. ","Glandorf, Ohio  (Ottawa Glandorf) ",2001
93,"Alex Ofili","DL ","6-3 ",230,"Fr./Fr. ","Ypsilanti, Mich.  (Ypsilanti) ",2001
53,"Shantee Orr**","LB ","6-1 ",250,"Jr./So. ","Detroit, Mich.  (Denby) ",2001
28,"Scott Panique*","FB ","5-10 ",249,"Sr./Jr. ","Santa Ana, Calif.  (Mater Dei) ",2001
77,"Tony Pape**","OL ","6-6 ",299,"Jr./So. ","Clarendon Hills, Ill.  (Hinsdale South) ",2001
57,"Dave Pearson**","DL ","6-3 ",283,"Jr./So. ","Brighton, Mich.  (Brighton) ",2001
97,"Luke Perl","K ","6-0 ",205,"So./Fr. ","Grand Rapids, Mich.  (Forest Hills Northern) ",2001
23,"Chris Perry**","RB ","6-1 ",235,"So./So. ","Advance, N.C.  (Fork Union Military Academy, Va.) ",2001
76,"Dave Petruziello***","OL ","6-4 ",298,"Sr./Jr. ","Mentor, Ohio  (Lake Catholic) ",2001
55,"Jeremy Read","LB ","6-1 ",226,"So./Jr. ","San Diego, Calif.  (Rancho Bernardo) ",2001
56,"Lawrence Reid","LB ","6-1 ",209,"Fr./Fr. ","Pickerington, Ohio  (Pickerington) ",2001
29,"Aaron Richards*","WR ","5-8 ",175,"5th/Sr. ","Reading, Mich.  (Reading) ",2001
88,"Gary Rose**","DL ","6-4 ",280,"5th/Sr. ","Quinnesec, Mich.  (Kingsford) ",2001
40,"Eric Rosel****","TE ","6-3 ",232,"5th/Sr. ","Liberal, Kan.  (Liberal) ",2001
92,"Dan Rumishek***","DL ","6-2 ",277,"Sr./Jr. ","Addison, Ill.  (Addison Trail) ",2001
34,"Sean Sanderson","FB ","6-2 ",280,"Fr./Fr. ","Knoxville, Tenn.  (Farragut) ",2001
59,"Joey Sarantos","LB ","6-3 ",208,"Fr./Fr. ","Portage, Mich.  (Northern) ",2001
69,"David Schoonover","OL ","6-3 ",252,"Fr./Fr. ","DeWitt, Mich.  (DeWitt) ",2001
81,"Bill Seymour****","TE ","6-4 ",256,"5th/Sr. ","Granger, Ind.  (Penn) ",2001
50,"Joe Sgroi***","LB ","5-11 ",213,"Sr./Jr. ","Plymouth, Mich.  (Catholic Central) ",2001
22,"Jon Shaw**","FS ","6-0 ",199,"Jr./So. ","Coral Springs, Fla.  (St. Thomas Aquinas) ",2001
15,"Ernest Shazor","DB ","6-4 ",215,"Fr./Fr. ","Detroit, Mich.  (Martin Luther King) ",2001
70,"Dan Simelis","OL ","6-6 ",278,"Fr./Fr. ","Corapolis, Pa.  (Montour) ",2001
82,"Rudy Smith*","WR ","6-3 ",219,"5th/Sr. ","Knoxville, Tenn.  (Farragut) ",2001
74,"Demeterius Solomon**","OL ","6-6 ",299,"Jr./So. ","Flint, Mich.  (Northern) ",2001
85,"Dave Spytek","DL ","6-7 ",243,"Fr./Fr. ","Pewaukee, Wis.  (Catholic Memorial) ",2001
42,"John Spytek**","LB ","6-4 ",243,"Jr./So. ","Pewaukee, Wis.  (Catholic Memorial) ",2001
99,"Andy Stejskal","WR ","6-4 ",185,"So./Fr. ","Ann Arbor, Mich.  (Pioneer) ",2001
79,"Adam Stenavich","OL ","6-5 ",294,"Fr./Fr. ","Marshfield, Wis.  (Marshfield) ",2001
13,"Larry Stevens**","LB ","6-3 ",265,"So./So. ","Tacoma, Wash.  (Woodrow Wilson) ",2001
94,"Matt Studenski","TE ","6-4 ",190,"Fr./Fr. ","Troy, Mich.  (Brother Rice) ",2001
84,"Shawn Thompson**** (c)","TE ","6-4 ",252,"5th/Sr. ","Saginaw, Mich.  (Nouvel) ",2001
5,"David Underwood*","RB ","6-0 ",225,"Fr./Fr. ","Madisonville, Texas  (Madisonville) ",2001
46,"Nick Upchurch","WR ","5-7 ",173,"Jr./So. ","Clarkston, Mich.  (Clarkston) ",2001
30,"Tad Van Pelt*","DB ","5-10 ",190,"Sr./Jr. ","Owosso, Mich.  (Corunna) ",2001
4,"Marquise Walker****","WR ","6-3 ",213,"Sr./Sr. ","Syracuse, N.Y.  (Henninger) ",2001
32,"Kolby Wells","LB ","6-2 ",228,"So./Fr. ","Summer Field, Fla.  (Belleview) ",2001
12,"Brandon Williams***","CB ","5-11 ",183,"Jr./Jr. ","Omaha, Neb.  (Central) ",2001
68,"John Wood*","DL ","6-4 ",282,"Sr./Jr. ","Cincinnati, Ohio  (Milford Academy) ",2001
96,"Pierre Woods","DL ","6-5 ",215,"Fr./Fr. ","Cleveland, Ohio  (Glenville) ",2001
33,"Charles Young III","WR ","5-11 ",196,"So./Fr. ","Flint, Mich.  (Hamady) ",2001
71,"Kurt Anderson**","OL ","6-4 ",299,"Sr./Jr. ","Glenbrook, Ill.  (South) ",2000
44,"Dave Armstrong*","FB ","6-3 ",254,"Jr./So. ","Doylestown, Pa.  (Central Bucks West) ",2000
35,"B.J. Askew**","FB ","6-3 ",224,"So./So. ","Cincinnati, Ohio  (Colerain) ",2000
75,"David Baas","OL ","6-5 ",299,"Fr./Fr. ","Sarasota, Fla.  (Riverview) ",2000
79,"Jeff Backus*****","OL ","6-6 ",299,"5th/Sr. ","Norcross, Ga.  (Norcross) ",2000
64,"Stephen Baker","LB ","6-1 ",244,"Jr./So. ","Valley Stream, N.Y.  (Central) ",2000
29,"Ryan Beard*","RB ","5-9 ",209,"So./Fr. ","Houston, Texas  (Cypress-Fairbanks) ",2000
59,"D.J. Belcher","LS ","6-5 ",198,"Fr./Fr. ","Taylor, Mich.  (Truman) ",2000
27,"Calvin Bell*","WR ","6-1 ",190,"Fr./Fr. ","Simi Valley, Calif.  (Simi Valley) ",2000
19,"Ronald Bellamy**","WR ","6-0 ",193,"So./So. ","New Orleans, La.  (Archbishop Shaw) ",2000
60,"Grant Bowman*","DL ","6-1 ",281,"So./Fr. ","Columbus, Ohio  (St. Francis De Sales) ",2000
34,"Philip Brabbs","K ","6-1 ",197,"So./So. ","Midland, Mich.  (H.H. Dow) ",2000
41,"Tim Bracken","WR ","5-10 ",203,"Fr./Fr. ","White Castle, La.  (Saint John) ",2000
45,"Phillip Brackins*","LB ","6-4 ",222,"So./Fr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",2000
51,"Eric Brackins***","ILB ","6-2 ",235,"Sr./Jr. ","Pigeon Forge, Tenn.  (Gatlinburg-Pittman) ",2000
67,"David Brandt****","OL ","6-4 ",297,"5th/Sr. ","Jenison, Mich.  (Jenison) ",2000
