"no","name","pos","ht","wt","class","hometown","year"
77," Taylor Lewan","OL","6-8",294,"RS FR","Scottsdale, Ariz. (Chaparral)",2010
79," Perry Dorrestein","OL","6-7",321,"SR","Plainfield, Ill. (Plainfield Central)",2010
80," Martell Webb","TE","6-4",268,"SR","Pontiac, Mich. (Northern)",2010
81," Steve Watson","DE","6-4",268,"RS JR","Cherry Hills Village, Colo. (Mullen)",2010
81," Baquer Sayed","WR","6-0",199,"FR","Dearborn, Mich. (Fordson)",2010
82," Ricardo Miller","WR","6-4",217,"FR","Orlando, Fla. (Dr. Phillips)",2010
83," Jerald Robinson","WR","6-1",199,"FR","Canton, Ohio (South)",2010
84," D.J. Williamson","WR","6-1",178,"FR","Warren, Ohio (Warren G. Harding)",2010
85," Joe Reynolds","WR","6-1",185,"RS FR","Rochester, Mich. (Rochester Hills)",2010
86," Kevin Koger","TE","6-4",256,"JR","Toledo, Ohio (Whitmer)",2010
88," Brandon Moore","TE","6-5",257,"RS SO","Trotwood, Ohio (Trotwood-Madison)",2010
88," Craig Roh","LB","6-5",251,"SO","Scottsdale, Ariz. (Chaparral)",2010
89," Patrick Collins","WR","6-1",182,"RS SO","Ann Arbor, Mich. (Pioneer)",2010
91," Tom Pomarico","LS","6-4",241,"RS JR","Jackson, Mich. (Lumen Christi)",2010
92," Greg Banks","DT","6-4",285,"SR","Denver, Colo. (Montbello)",2010
93," Kris Pauloski","PK","6-3",204,"RS FR","Indianapolis, Ind. (Pike)",2010
93," Chris Eddins","DE","6-5",264,"FR","Detroit, Mich. (Country Day)",2010
94," Jordan Paskorz","LB","6-3",244,"FR","Gibsonia, Pa. (Hampton)",2010
94," Curt Graman","LS","6-5",194,"RS FR","Cincinnati, Ohio (Elder)",2010
95," Renaldo Sagesse","DT","6-4",289,"SR","Montreal, Quebec (Vieux Montreal)",2010
96," Terry Talbott","DT","6-3",260,"FR","Huber Heights, Ohio (Wayne)",2010
96," Jeremy Ross","PK","5-5",150,"FR","Ann Arbor, Mich. (Pioneer)",2010
97," Scott Schrimscher","PK","5-10",189,"RS JR","Canton, Mich. (Catholic Central)",2010
99," Adam Patterson","DE","6-3",276,"SR","Columbia, S.C. (Richland Northeast)",2010
2," Vincent Smith","RB","5-6",168,"FR","Pahokee, Fla. (Pahokee)",2009
2," J.T. Turner","CB","6-2",187,"FR","Massillon, Ohio (Washington)",2009
3," Stevie Brown","LB","6-0",211,"SR","Columbus, Ind. (Columbus East)",2009
4," Brandon Minor","RB","6-1",218,"SR","Richmond, Va. (Varina)",2009
4," Brandon Smith","LB","6-3",209,"RS FR","New Brunswick, N.J. (New Brunswick)",2009
5," Vladimir Emilien","S","6-1",198,"FR","Lauderhill, Fla. (Plantation)",2009
5," Tate Forcier","QB","6-1",188,"FR","San Diego, Calif. (Scripps Ranch)",2009
6," Je'Ron Stokes","WR","6-0",181,"FR","Philadelphia, Pa. (Northeast)",2009
6," Donovan Warren","CB","6-0",185,"JR","Long Beach, Calif. (Polytechnic)",2009
7," Brandin Hawthorne","LB","6-0",198,"FR","Pahokee, Fla. (Pahokee)",2009
7," Terrence Robinson","SR","5-9",171,"RS FR","Klein, Texas (Oak)",2009
8," Jonas Mouton","LB","6-2",228,"RS JR","Los Angeles, Calif. (Venice)",2009
8," Nick Sheridan","QB","6-1",218,"RS JR","Saline, Mich. (Saline)",2009
9," Martavious Odoms","WR","5-9",172,"SO","Pahokee, Fla. (Pahokee)",2009
10," Jeremy Gallon","SR","5-8",165,"FR","Apopka, Fla. (Apopka)",2009
12," J.T. Floyd","CB","6-0",183,"RS FR","Greenville, S.C. (J.L. Mann)",2009
12," Roy Roundtree","SR","6-0",170,"RS FR","Trotwood, Ohio (Trotwood-Madison)",2009
13," Greg Mathews","WR","6-3",207,"SR","Orlando, Fla. (Edgewater)",2009
14," Teric Jones","CB","5-8",193,"FR","Detroit, Mich. (Cass Technical)",2009
14," Nader Furrha","QB","5-11",175,"FR","Ann Arbor, Mich. (Pioneer)",2009
15," Michael Cox","RB","6-0",208,"RS FR","Dorchester, Mass. (Avon Old Farms)",2009
15," Thomas Gordon","S","5-11",205,"FR","Detroit, Mich. (Cass Technical)",2009
16," Denard Robinson","QB","6-0",185,"FR","Deerfield Beach, Fla. (Deerfield Beach)",2009
17," Tony Anderson","CB","5-11",190,"RS SO","Redondo Beach, Calif. (Redondo Union)",2009
17," David Cone","QB","6-7",222,"RS JR","Statesboro, Ga. (Statesboro)",2009
18," James Rogers","WR","6-1",182,"JR","Madison Heights, Mich. (Lamphere)",2009
19," Kelvin Grady","SR","5-9",168,"RS SO","Grand Rapids, Mich. (East Grand Rapids)",2009
19," Zac Johnson","CB","6-2",199,"RS SO","Morenci, Mich. (Morenci)",2009
20," Jack Kennedy","QB","5-10",190,"RS FR","Walled Lake, Mich. (Walled Lake Central)",2009
20," Michael Shaw","RB","6-0",178,"SO","Trotwood, Ohio (Trotwood-Madison)",2009
21," Junior Hemingway","WR","6-1",220,"RS SO","Conway, S.C. (Conway)",2009
21," Jordan Reilly","S","5-10",185,"RS SO","Taylor, Mich. (Kennedy)",2009
22," Darryl Stonum","WR","6-2",196,"SO","Stafford, Texas (Dulles)",2009
23," Floyd Simmons","S","5-10",185,"RS FR","Detroit, Mich. (Crockett Technical)",2009
23," Carlos Brown","RB","6-0",210,"SR","Franklin, Ga. (Heard County)",2009
24," Kevin Grady","RB","5-9",230,"RS SR","Grand Rapids, Mich. (East Grand Rapids)",2009
25," Kenny Demens","LB","6-1",236,"RS FR","Oak Park, Mich. (Detroit Country Day)",2009
26," Nick Koenigsknecht","SR","5-10",183,"RS JR","Davisburg, Mich. (Orchard Lake St. Mary's)",2009
26," Isaiah Bell","LB","6-1",220,"FR","Youngstown, Ohio (Liberty)",2009
27," Mike Jones","LB","6-2",203,"FR","Orlando, Fla. (Edgewater)",2009
27," Jordan Owens","SR","5-9",170,"FR","Alpharetta, Ga. (Alpharetta)",2009
28," Fitzgerald Toussaint","RB","5-9",185,"FR","Youngstown, Ohio (Liberty)",2009
28," Matthew Cavanaugh","S","5-10",179,"RS FR","Alto, Mich. (Caledonia)",2009
29," Troy Woolfolk","S","6-0",193,"JR","Sugar Land, Texas (Dulles)",2009
30," Doug Rogan","SR","6-1",184,"RS SO","Grass Lake, Mich. (Grass Lake)",2009
30," Chris Berry","P","6-3",208,"RS JR","East Kentwood, Mich. (East Kentwood)",2009
31," Jared Van Slyke","S","6-3",197,"RS SO","St. Louis, Mo. (John Burroughs)",2009
32," Jordan Kovacs","S","5-10",194,"RS FR","Curtice, Ohio (Clay)",2009
32," O'Neil Swanson","RB","5-10",156,"FR","West Bloomfield, Mich. (Detroit Country Day)",2009
34," Brendan Gibbons","PK","6-0",229,"FR","West Palm Beach, Fla. (Cardinal Newman)",2009
35," Karl Tech","S","5-10",194,"RS SO","Grosse Pointe, Mich. (Grosse Pointe North)",2009
36," Johnny Childers","FB","6-2",216,"FR","Muskegon, Mich. (Mona Shores)",2009
36," Rusheed Furrha","LB","6-1",204,"RS SO","Ann Arbor, Mich. (Pioneer)",2009
37," Ricky Reyes","SR","5-11",184,"RS SR","Macomb, Mich. (Dakota)",2009
39," Will Heininger","DE","6-6",261,"RS SO","Ann Arbor, Mich. (Pioneer)",2009
40," Zac Baker","WR","5-9",192,"SR","Grayling, Mich. (Grayling)",2009
40," Mike Williams","S","5-11",188,"RS SO","Santa Yuez, Calif. (St. Bonaventure)",2009
41," Zoltan Mesko","P","6-5",231,"RS SR","Twinsburg, Ohio (Twinsburg)",2009
42," J.B. Fitzgerald","LB","6-3",232,"SO","Princeton Junction, N.J. (West Windsor Plainsboro)",2009
42," Al Backey","CB","5-9",170,"FR","Ypsilanti, Mich. (Ypsilanti)",2009
43,"Bryan Wright","PK","6-1",217,"RS JR","Salem, Ohio (Salem)",2009
44," Mark Moundros","FB","6-1",233,"RS JR","Farmington Hills, Mich. (North Farmington)",2009
45," Obi Ezeh","LB","6-2",243,"RS JR","Grand Rapids, Mich. (Catholic Central)",2009
46," Seth Broekhuizen","K","6-0",184,"FR","Holland, Mich. (Holland Christian)",2009
46," Jon Bills","TE","6-3",224,"RS SO","Farmington Hills, Mich. (North Farmington)",2009
49," Benjamin Sutton","RB","5-11",196,"RS JR","Miller Place, N.Y. (Miller Place)",2009
49," John McColgan","FB","6-1",227,"RS SO","Saginaw, Mich. (Nouvel Catholic)",2009
50," David Molk","OL","6-2",275,"RS SO","Lemont, Ill. (Lemont Township)",2009
50," Ohene Opong-Owusu","OL","6-2",239,"RS SR","West Bloomfield, Mich. (Walled Lake Western)",2009
52," Stephen Schilling","OL","6-5",304,"RS JR","Bellevue, Wash. (Bellevue)",2009
