officialName,shortName,longName,color1,color2,color3,color4,
Wofford College,Wofford,Wofford Terriers,#FFFFFF,#FFD700,#000000,,
University of Wyoming,Wyoming,Wyoming Cowboys,#FFFFFF,#000000,#533B22,,
Yale University,Yale,Yale Bulldogs,#FFFFFF,#040404,#004A81,,
Youngstown State University,Youngstown State,Youngstown State Penguins,#FFFFFF,#231F20,#E51937,,
Alcorn State University,Alcorn State,Alcorn State Braves,#FCF5BA,#FFFFFF,#42094A,,
Austin Peay State University,Austin Peay,Austin Peay Governors,#FFFFFF,#8E0B0B,,,
Campbell University,Campbell,Campbell Fighting Camels,#FFFFFF,#FF8931,#000000,,
Central Connecticut State University,Central Connecticut,Central Connecticut State Blue Devils,#FFFFFF,#1B49A2,,,
Charleston Southern University,Charleston Southern,Charleston Southern Buccaneers,#FFFFFF,#00447C,,,
Davidson College,Davidson,Davidson Wildcats,#FFFFFF,#E51937,#000000,,
Jacksonville University,Jacksonville,Jacksonville Dolphins,#8B8B8B,#000000,#FFFFFF,#008568,
Mississippi Valley State University,Mississippi Valley State,Mississippi Valley State Delta Devils,#FFFFFF,#054105,,,
North Carolina Agricultural and Technical State University,North Carolina A&T,North Carolina A&T Aggies,#FFFF63,#FFFFFF,#0505AA,,
Robert Morris College,Robert Morris,Robert Morris Colonials,#BEB9B4,#FFFFFF,#AF1C2E,#00214D,
Saint Francis University,Saint Francis,St. Francis (PA) Red Flash,#FFFFFF,#1E1719,#F41650,,
University of San Diego,San Diego,San Diego Toreros,#FFFFFF,#00275d,#2f99d4,,
University of Tennessee: Martin,Tennessee-Martin,Tennessee-Martin Skyhawks,#FFFFFF,#000099,#FF6700,,
Valparaiso University,Valparaiso,Valparaiso Crusaders,#FFFFFF,#FFD204,#794500,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
