Jackson State,#092183,#FFFFFF
Mississippi Valley State,,
Prairie View A&M,,
Southern University,#75B2DD,#081C90
Texas Southern,#ccccff,#ccccff
Centenary,#800000,#FFFFFF
IPFW,#4169E1,#FFFFFF
IUPUI,#990000,#AF906A
North Dakota State,,
Oakland,#000000,#9a803e
Oral Roberts,#CFB53B,#000080
South Dakota State,#0000FF,#FFFF00
Southern Utah,#FF0000,#FFFFFF
UMKC,#CFB53B,#002366
Western Illinois,#5B027A,#FFDB00
Arkansas State,#FF2400,#000000
Arkansas-Little Rock,#800000,#c4c8cb
Denver,#ffffff,#FCA120
Florida Atlantic,#003366,#CE2029
Florida International,#002D62,#C5960C
Louisiana-Lafayette,,
Louisiana-Monroe,#800000,#FFD700
Middle Tennessee,#00407A,#FFFFFF
North Texas,#059033,#FFFFFF
South Alabama,#ff0000,#ffffff
Troy,#C41E3A,#000000
Western Kentucky,#FF2222,#00457c
Gonzaga,#ffffff,#000066
Loyola Marymount,#CC1111,#0055AA
Pepperdine,#0000FF,#FF6200
Portland,#461D7C,#FFFFFF
Saint Marys,,
San Diego,#0031AD,#75B2DD
San Francisco,#006633,#FFCC33
Santa Clara,#AA003D,#F0E8C4
Boise State,#1F60A9,#1F60A9
Fresno State,#9a122c,#0000ff
Hawaii,#800020,#800020
Idaho,#C0C0C0,#CEBE70
Louisiana Tech,#002F8B,#FF0000
Nevada,,
New Mexico State,#800020,#800020
San Jose State,#c79900,#005a8b
Utah State,#003366,#FFFFFF
Brigham Young,,
Virginia Tech,#660000,#ff6600
Virginia,#193980,#193980
Ferris State,#C03,#FFC61E
Dallas Christian,,
Dominican,,
Purdue-Calumet,,
Texas Christian,,
Texas El Paso,,
Bluefield College,,
Virginia-Wise,,
Florida Memorial,,
Wilmington-Delaware,,
Wiley College,,
Anderson-Indiana,,
Mississippi College,,
Bethany-California,,
Hiwassee College,,
Carver Bible College,,
Union College (KY),,
Prairie View,,
Louisiana College,,
LSU Shreveport,,
Haskell,,
La Sierra University,,
Central FL,,
North Alabama,,
Western New Mexico,,
LIU-Brooklyn,,
Los Angeles Tech,,
Marywood,,
Baruch,,
Union College - NY,,
Lyndon State,,
Wilberforce,,
Minot State,,
Victory University,,
Dillard,,
Col. Of New Jersey,,
NYC Tech,,
Huntingdon,,
Panhandle State,,
Greenville,,
Dallas University,,
UC Santa Cruz,,
Morris College,,
Robert Morris-Illinois,,
East Texas Baptist,,
Southern Virginia,,
Montana Western,,
Trinity College,,
Olivet Nazarene,,
Columbia Union,,
Hannibal LeGrange College,,
St. Thomas-Texas,,
