"","No","WL","Date","PF","Opponent","PA","Bowl","Team","offName"
"1795","2","L","01-01-1940","0","Southern California","14","Rose Bowl","Tennessee","University of Tennessee: Knoxville"
"1796","3","L","01-01-1941","13","Boston College (MA)","19","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1797","4","W","01-01-1943","14","Tulsa (OK)","7","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1798","5","L","01-01-1945","0","Southern California","25","Rose Bowl","Tennessee","University of Tennessee: Knoxville"
"1799","6","L","01-01-1947","0","Rice (TX)","8","Orange Bowl","Tennessee","University of Tennessee: Knoxville"
"1800","7","W","01-01-1951","20","Texas","14","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1801","8","L","01-01-1952","13","Maryland","28","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1802","9","L","01-01-1953","0","Texas","16","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1803","10","L","01-01-1957","7","Baylor (TX)","13","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1804","11","W","12-28-1957","3","Texas A&M","0","Gator Bowl","Tennessee","University of Tennessee: Knoxville"
"1805","12","W","12-18-1965","27","Tulsa (OK)","6","Bluebonnet Bowl","Tennessee","University of Tennessee: Knoxville"
"1806","13","W","12-31-1966","18","Syracuse (NY)","12","Gator Bowl","Tennessee","University of Tennessee: Knoxville"
"1807","14","L","01-01-1968","24","Oklahoma","26","Orange Bowl","Tennessee","University of Tennessee: Knoxville"
"1808","15","L","01-01-1969","13","Texas","36","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1809","16","L","12-27-1969","13","Florida","14","Gator Bowl","Tennessee","University of Tennessee: Knoxville"
"1810","17","W","01-01-1971","34","Air Force (CO)","13","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1811","18","W","12-20-1971","14","Arkansas","13","Liberty Bowl","Tennessee","University of Tennessee: Knoxville"
"1812","19","W","12-30-1972","24","Louisiana St.","17","Bluebonnet Bowl","Tennessee","University of Tennessee: Knoxville"
"1813","20","L","12-29-1973","19","Texas Tech","28","Gator Bowl","Tennessee","University of Tennessee: Knoxville"
"1814","21","W","12-16-1974","7","Maryland","3","Liberty Bowl","Tennessee","University of Tennessee: Knoxville"
"1815","22","L","12-31-1979","22","Purdue (IN)","27","Bluebonnet Bowl","Tennessee","University of Tennessee: Knoxville"
"1816","23","W","12-13-1981","28","Wisconsin","21","Garden State Bowl","Tennessee","University of Tennessee: Knoxville"
"1817","24","L","12-31-1982","22","Iowa","28","Peach Bowl","Tennessee","University of Tennessee: Knoxville"
"1818","25","W","12-17-1983","30","Maryland","23","Florida Citrus Bowl","Tennessee","University of Tennessee: Knoxville"
"1819","26","L","12-22-1984","27","Maryland","28","Sun Bowl","Tennessee","University of Tennessee: Knoxville"
"1820","27","W","01-01-1986","35","Miami (FL)","7","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1821","28","W","12-29-1986","21","Minnesota","14","Liberty Bowl","Tennessee","University of Tennessee: Knoxville"
"1822","29","W","01-02-1988","27","Indiana","22","Peach Bowl","Tennessee","University of Tennessee: Knoxville"
"1823","30","W","01-01-1990","31","Arkansas","27","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1824","31","W","01-01-1991","23","Virginia","22","Sugar Bowl","Tennessee","University of Tennessee: Knoxville"
"1825","32","L","01-01-1992","17","Penn St.","42","Fiesta Bowl","Tennessee","University of Tennessee: Knoxville"
"1826","33","W","01-01-1993","38","Boston College (MA)","23","Hall of Fame Bowl","Tennessee","University of Tennessee: Knoxville"
"1827","34","L","01-01-1994","13","Penn St.","31","Florida Citrus Bowl","Tennessee","University of Tennessee: Knoxville"
"1828","35","W","12-30-1994","45","Virginia Tech","23","Gator Bowl","Tennessee","University of Tennessee: Knoxville"
"1829","36","W","01-01-1996","20","Ohio St.","14","Florida Citrus Bowl","Tennessee","University of Tennessee: Knoxville"
"1830","37","W","01-01-1997","48","Northwestern (IL)","28","Florida Citrus Bowl","Tennessee","University of Tennessee: Knoxville"
"1831","38","L","01-02-1998","17","Nebraska","42","Orange Bowl","Tennessee","University of Tennessee: Knoxville"
"1832","39","W","01-04-1999","23","Florida St.","16","Fiesta Bowl","Tennessee","University of Tennessee: Knoxville"
"1833","40","L","01-02-2000","21","Nebraska","31","Fiesta Bowl","Tennessee","University of Tennessee: Knoxville"
"1834","41","L","01-01-2001","21","Kansas St.","35","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1835","42","W","01-01-2002","45","Michigan","17","Florida Citrus Bowl","Tennessee","University of Tennessee: Knoxville"
"1836","43","L","12-31-2002","3","Maryland","30","Peach Bowl","Tennessee","University of Tennessee: Knoxville"
"1837","44","L","01-02-2004","14","Clemson (SC)","27","Peach Bowl","Tennessee","University of Tennessee: Knoxville"
"1838","45","W","01-01-2005","38","Texas A&M","7","Cotton Bowl","Tennessee","University of Tennessee: Knoxville"
"1839","46","L","01-01-2007","10","Penn St.","20","Outback Bowl - Penn St. Vacated Game","Tennessee","University of Tennessee: Knoxville"
"1840","47","W","01-01-2008","21","Wisconsin","17","Outback Bowl","Tennessee","University of Tennessee: Knoxville"
"1841","48","L","12-31-2009","14","Virginia Tech","37","Peach Bowl","Tennessee","University of Tennessee: Knoxville"
"1842","49","L","12-30-2010","27","North Carolina","30","Music City Bowl","Tennessee","University of Tennessee: Knoxville"
"1843","1","W","01-01-1943","14","Georgia Tech","7","Cotton Bowl","Texas","The University of Texas at Austin"
"1844","2","T","01-01-1944","7","Randolph Field (TX)","7","Cotton Bowl","Texas","The University of Texas at Austin"
"1845","3","W","01-01-1946","40","Missouri","27","Cotton Bowl","Texas","The University of Texas at Austin"
"1846","4","W","01-01-1948","27","Alabama","7","Sugar Bowl","Texas","The University of Texas at Austin"
"1847","5","W","01-01-1949","41","Georgia","28","Orange Bowl","Texas","The University of Texas at Austin"
"1848","6","L","01-01-1951","14","Tennessee","20","Cotton Bowl","Texas","The University of Texas at Austin"
"1849","7","W","01-01-1953","16","Tennessee","0","Cotton Bowl","Texas","The University of Texas at Austin"
"1850","8","L","01-01-1958","7","Mississippi","39","Sugar Bowl","Texas","The University of Texas at Austin"
"1851","9","L","01-01-1960","14","Syracuse (NY)","23","Cotton Bowl","Texas","The University of Texas at Austin"
"1852","10","T","12-17-1960","3","Alabama","3","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1853","11","W","01-01-1962","12","Mississippi","7","Cotton Bowl","Texas","The University of Texas at Austin"
"1854","12","L","01-01-1963","0","Louisiana St.","13","Cotton Bowl","Texas","The University of Texas at Austin"
"1855","13","W","01-01-1964","28","Navy (MD)","6","Cotton Bowl","Texas","The University of Texas at Austin"
"1856","14","W","01-01-1965","21","Alabama","17","Orange Bowl","Texas","The University of Texas at Austin"
"1857","15","W","12-17-1966","19","Mississippi","0","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1858","16","W","01-01-1969","36","Tennessee","13","Cotton Bowl","Texas","The University of Texas at Austin"
"1859","17","W","01-01-1970","21","Notre Dame (IN)","17","Cotton Bowl","Texas","The University of Texas at Austin"
"1860","18","L","01-01-1971","11","Notre Dame (IN)","24","Cotton Bowl","Texas","The University of Texas at Austin"
"1861","19","L","01-01-1972","6","Penn St.","30","Cotton Bowl","Texas","The University of Texas at Austin"
"1862","20","W","01-01-1973","17","Alabama","13","Cotton Bowl","Texas","The University of Texas at Austin"
"1863","21","L","01-01-1974","3","Nebraska","19","Cotton Bowl","Texas","The University of Texas at Austin"
"1864","22","L","12-30-1974","3","Auburn (AL)","27","Gator Bowl","Texas","The University of Texas at Austin"
"1865","23","W","12-27-1975","38","Colorado","21","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1866","24","L","01-02-1978","10","Notre Dame (IN)","38","Cotton Bowl","Texas","The University of Texas at Austin"
"1867","25","W","12-23-1978","42","Maryland","0","Sun Bowl","Texas","The University of Texas at Austin"
"1868","26","L","12-22-1979","7","Washington","14","Sun Bowl","Texas","The University of Texas at Austin"
"1869","27","L","12-31-1980","7","North Carolina","16","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1870","28","W","01-01-1982","14","Alabama","12","Cotton Bowl","Texas","The University of Texas at Austin"
"1871","29","L","12-25-1982","10","North Carolina","26","Sun Bowl","Texas","The University of Texas at Austin"
"1872","30","L","01-02-1984","9","Georgia","10","Cotton Bowl","Texas","The University of Texas at Austin"
"1873","31","L","12-26-1984","17","Iowa","55","Freedom Bowl","Texas","The University of Texas at Austin"
"1874","32","L","12-31-1985","16","Air Force (CO)","24","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1875","33","W","12-31-1987","32","Pittsburgh (PA)","27","Bluebonnet Bowl","Texas","The University of Texas at Austin"
"1876","34","L","01-01-1991","3","Miami (FL)","46","Cotton Bowl","Texas","The University of Texas at Austin"
"1877","35","W","12-30-1994","35","North Carolina","31","Sun Bowl","Texas","The University of Texas at Austin"
"1878","36","L","12-31-1995","10","Virginia Tech","28","Sugar Bowl","Texas","The University of Texas at Austin"
"1879","37","L","01-01-1997","15","Penn St.","38","Fiesta Bowl","Texas","The University of Texas at Austin"
"1880","38","W","01-01-1999","38","Mississippi St.","11","Cotton Bowl","Texas","The University of Texas at Austin"
"1881","39","L","01-01-2000","6","Arkansas","27","Cotton Bowl","Texas","The University of Texas at Austin"
"1882","40","L","12-29-2000","30","Oregon","35","Holiday Bowl (1)","Texas","The University of Texas at Austin"
"1883","41","W","12-28-2001","47","Washington","43","Holiday Bowl (1)","Texas","The University of Texas at Austin"
"1884","42","W","01-01-2003","35","Louisiana St.","20","Cotton Bowl","Texas","The University of Texas at Austin"
"1885","43","L","12-30-2003","20","Washington St.","28","Holiday Bowl (1)","Texas","The University of Texas at Austin"
"1886","44","W","01-01-2005","38","Michigan","37","Rose Bowl","Texas","The University of Texas at Austin"
"1887","45","W","01-04-2006","41","Southern California","38","Rose Bowl","Texas","The University of Texas at Austin"
"1888","46","W","12-30-2006","26","Iowa","24","Alamo Bowl","Texas","The University of Texas at Austin"
"1889","47","W","12-27-2007","52","Arizona St.","34","Holiday Bowl (1)","Texas","The University of Texas at Austin"
"1890","48","W","01-05-2009","24","Ohio St.","21","Fiesta Bowl","Texas","The University of Texas at Austin"
"1891","49","L","01-07-2010","21","Alabama","37","BCS Championship Game","Texas","The University of Texas at Austin"
"1892","50","W","12-28-2011","21","California","10","Holiday Bowl","Texas","The University of Texas at Austin"
"1893","51","W","12-29-2012","31","Oregon St.","27","Alamo Bowl","Texas","The University of Texas at Austin"
"1894","52","L","12-30-2013","7","Oregon","30","Alamo Bowl","Texas","The University of Texas at Austin"
"1895","1","W","01-02-1922","22","Centre (KY)","14","Dixie Classic","Texas A&M","Texas A&M University"
"1896","2","W","01-01-1940","14","Tulane (LA)","13","Sugar Bowl","Texas A&M","Texas A&M University"
"1897","3","W","01-01-1941","13","Fordham (NY)","12","Cotton Bowl","Texas A&M","Texas A&M University"
"1898","4","L","01-01-1942","21","Alabama","29","Cotton Bowl","Texas A&M","Texas A&M University"
"1899","5","L","01-01-1944","14","Louisiana St.","19","Orange Bowl","Texas A&M","Texas A&M University"
"1900","6","W","12-09-1950","40","Georgia","20","Presidential Cup Bowl","Texas A&M","Texas A&M University"
"1901","7","L","12-28-1957","0","Tennessee","3","Gator Bowl","Texas A&M","Texas A&M University"
"1902","8","W","01-01-1968","20","Alabama","16","Cotton Bowl","Texas A&M","Texas A&M University"
"1903","9","L","12-22-1975","0","Southern California","20","Liberty Bowl","Texas A&M","Texas A&M University"
"1904","10","W","01-02-1977","37","Florida","14","Sun Bowl","Texas A&M","Texas A&M University"
"1905","11","L","12-31-1977","28","Southern California","47","Bluebonnet Bowl","Texas A&M","Texas A&M University"
"1906","12","W","12-20-1978","28","Iowa St.","12","Hall of Fame Classic","Texas A&M","Texas A&M University"
"1907","13","W","12-12-1981","33","Oklahoma St.","16","Independence Bowl","Texas A&M","Texas A&M University"
"1908","14","W","01-01-1986","36","Auburn (AL)","16","Cotton Bowl","Texas A&M","Texas A&M University"
"1909","15","L","01-01-1987","12","Ohio St.","28","Cotton Bowl","Texas A&M","Texas A&M University"
"1910","16","W","01-01-1988","35","Notre Dame (IN)","10","Cotton Bowl","Texas A&M","Texas A&M University"
"1911","17","L","12-30-1989","28","Pittsburgh (PA)","31","Sun Bowl","Texas A&M","Texas A&M University"
"1912","18","W","12-29-1990","65","Brigham Young (UT)","14","Holiday Bowl (1)","Texas A&M","Texas A&M University"
"1913","19","L","01-01-1992","2","Florida St.","10","Cotton Bowl","Texas A&M","Texas A&M University"
"1914","20","L","01-01-1993","3","Notre Dame (IN)","28","Cotton Bowl","Texas A&M","Texas A&M University"
"1915","21","L","01-01-1994","21","Notre Dame (IN)","24","Cotton Bowl","Texas A&M","Texas A&M University"
"1916","22","W","12-28-1995","22","Michigan","20","Alamo Bowl","Texas A&M","Texas A&M University"
"1917","23","L","01-01-1998","23","UCLA","29","Cotton Bowl","Texas A&M","Texas A&M University"
"1918","24","L","01-01-1999","14","Ohio St.","24","Sugar Bowl","Texas A&M","Texas A&M University"
"1919","25","L","12-28-1999","0","Penn St.","24","Alamo Bowl - Penn St. Vacated Game","Texas A&M","Texas A&M University"
"1920","26","L","12-31-2000","41","Mississippi St.","43","Independence Bowl","Texas A&M","Texas A&M University"
"1921","27","W","12-28-2001","28","Texas Christian","9","Galleryfurniture.com Bowl","Texas A&M","Texas A&M University"
"1922","28","L","01-01-2005","7","Tennessee","38","Cotton Bowl","Texas A&M","Texas A&M University"
"1923","29","L","12-28-2006","10","California","45","Holiday Bowl (1)","Texas A&M","Texas A&M University"
"1924","30","L","12-29-2007","17","Penn St.","24","Alamo Bowl - Penn St. Vacated Game","Texas A&M","Texas A&M University"
"1925","31","L","12-28-2009","20","Georgia","44","Independence Bowl","Texas A&M","Texas A&M University"
"1926","32","L","01-07-2011","24","Louisiana St.","41","Cotton Bowl","Texas A&M","Texas A&M University"
"1927","33","W","12-31-2011","33","Northwestern (IL)","22","Meineke Car Care Bowl of Texas","Texas A&M","Texas A&M University"
"1928","34","W","01-04-2013","41","Oklahoma","13","Cotton Bowl","Texas A&M","Texas A&M University"
"1929","35","W","12-31-2013","52","Duke (NC)","48","Peach Bowl","Texas A&M","Texas A&M University"
"1930","1","L","01-01-1921","7","Centre (KY)","63","Fort Worth Classic","Texas Christian","Texas Christian University"
"1931","2","W","01-01-1936","3","Louisiana St.","2","Sugar Bowl","Texas Christian","Texas Christian University"
"1932","3","W","01-01-1937","16","Marquette (WI)","6","Cotton Bowl","Texas Christian","Texas Christian University"
"1933","4","W","01-02-1939","15","Carnegie Mellon (PA)","7","Sugar Bowl","Texas Christian","Texas Christian University"
"1934","5","L","01-01-1942","26","Georgia","40","Orange Bowl","Texas Christian","Texas Christian University"
"1935","6","L","01-01-1945","0","Oklahoma St.","34","Cotton Bowl","Texas Christian","Texas Christian University"
"1936","7","L","01-01-1948","9","Mississippi","13","Delta Bowl","Texas Christian","Texas Christian University"
"1937","8","L","01-01-1952","7","Kentucky","20","Cotton Bowl","Texas Christian","Texas Christian University"
"1938","9","L","01-02-1956","13","Mississippi","14","Cotton Bowl","Texas Christian","Texas Christian University"
"1939","10","W","01-01-1957","28","Syracuse (NY)","27","Cotton Bowl","Texas Christian","Texas Christian University"
"1940","11","T","01-01-1959","0","Air Force (CO)","0","Cotton Bowl","Texas Christian","Texas Christian University"
"1941","12","L","12-19-1959","7","Clemson (SC)","23","Bluebonnet Bowl","Texas Christian","Texas Christian University"
"1942","13","L","12-31-1965","12","Texas-El Paso","13","Sun Bowl","Texas Christian","Texas Christian University"
"1943","14","L","12-31-1984","14","West Virginia","31","Bluebonnet Bowl","Texas Christian","Texas Christian University"
"1944","15","L","12-28-1994","10","Virginia","20","Independence Bowl","Texas Christian","Texas Christian University"
"1945","16","W","12-31-1998","28","Southern California","19","Sun Bowl","Texas Christian","Texas Christian University"
"1946","17","W","12-22-1999","28","East Carolina (NC)","14","Mobile Alabama Bowl","Texas Christian","Texas Christian University"
"1947","18","L","12-20-2000","21","Southern Mississippi","28","Mobile Alabama Bowl","Texas Christian","Texas Christian University"
"1948","19","L","12-28-2001","9","Texas A&M","28","Galleryfurniture.com Bowl","Texas Christian","Texas Christian University"
"1949","20","W","12-31-2002","17","Colorado St.","3","Liberty Bowl","Texas Christian","Texas Christian University"
"1950","21","L","12-23-2003","31","Boise St. (ID)","34","Fort Worth Bowl","Texas Christian","Texas Christian University"
"1951","22","W","12-31-2005","27","Iowa St.","24","Houston Bowl","Texas Christian","Texas Christian University"
"1952","23","W","12-19-2006","37","Northern Illinois","7","Poinsettia Bowl","Texas Christian","Texas Christian University"
"1953","24","W","12-28-2007","20","Houston (TX)","13","Texas Bowl","Texas Christian","Texas Christian University"
"1954","25","W","12-23-2008","17","Boise St. (ID)","16","Poinsettia Bowl","Texas Christian","Texas Christian University"
"1955","26","L","01-04-2010","10","Boise St. (ID)","17","Fiesta Bowl","Texas Christian","Texas Christian University"
"1956","27","W","01-01-2011","21","Wisconsin","19","Rose Bowl","Texas Christian","Texas Christian University"
"1957","28","W","12-21-2011","31","Louisiana Tech","24","Poinsettia Bowl","Texas Christian","Texas Christian University"
"1958","29","L","12-29-2012","16","Michigan St.","17","Buffalo Wild Wings Bowl","Texas Christian","Texas Christian University"
"1959","1","W","12-12-1981","42","North Dakota St.","13","Palm Bowl - Division II Championship Game","Texas St.","Texas State University"
"1960","2","W","12-11-1982","34","California-Davis","9","Palm Bowl - Division II Championship Game","Texas St.","Texas State University"
"1961","1","L","01-01-1938","6","West Virginia","7","Sun Bowl","Texas Tech","Texas Tech University"
"1962","2","L","01-02-1939","13","Saint Mary's (CA)","20","Cotton Bowl","Texas Tech","Texas Tech University"
"1963","3","L","01-01-1942","0","Tulsa (OK)","6","Sun Bowl","Texas Tech","Texas Tech University"
"1964","4","L","01-01-1948","12","Miami (OH)","13","Sun Bowl","Texas Tech","Texas Tech University"
"1965","5","L","12-31-1949","13","San Jose St. (CA)","20","Raisin Bowl","Texas Tech","Texas Tech University"
"1966","6","W","01-01-1952","25","Pacific (CA)","14","Sun Bowl","Texas Tech","Texas Tech University"
"1967","7","W","01-01-1954","35","Auburn (AL)","13","Gator Bowl","Texas Tech","Texas Tech University"
"1968","8","L","01-02-1956","14","Wyoming","21","Sun Bowl","Texas Tech","Texas Tech University"
"1969","9","L","12-26-1964","0","Georgia","7","Sun Bowl","Texas Tech","Texas Tech University"
"1970","10","L","12-31-1965","21","Georgia Tech","31","Gator Bowl","Texas Tech","Texas Tech University"
"1971","11","L","12-19-1970","9","Georgia Tech","17","Sun Bowl","Texas Tech","Texas Tech University"
"1972","12","L","12-30-1972","28","North Carolina","32","Sun Bowl","Texas Tech","Texas Tech University"
"1973","13","W","12-29-1973","28","Tennessee","19","Gator Bowl","Texas Tech","Texas Tech University"
"1974","14","T","12-28-1974","6","Vanderbilt (TN)","6","Peach Bowl","Texas Tech","Texas Tech University"
"1975","15","L","12-31-1976","24","Nebraska","27","Bluebonnet Bowl","Texas Tech","Texas Tech University"
"1976","16","L","12-23-1977","17","Florida St.","40","Tangerine Bowl","Texas Tech","Texas Tech University"
"1977","17","L","12-20-1986","17","Mississippi","20","Independence Bowl","Texas Tech","Texas Tech University"
"1978","18","W","12-28-1989","49","Duke (NC)","21","All-American Bowl (2)","Texas Tech","Texas Tech University"
"1979","19","L","12-24-1993","10","Oklahoma","41","Sun Bowl","Texas Tech","Texas Tech University"
"1980","20","L","01-02-1995","14","Southern California","55","Cotton Bowl","Texas Tech","Texas Tech University"
"1981","21","W","12-27-1995","55","Air Force (CO)","41","Copper Bowl","Texas Tech","Texas Tech University"
"1982","22","L","12-29-1996","0","Iowa","27","Alamo Bowl","Texas Tech","Texas Tech University"
"1983","23","L","12-31-1998","18","Mississippi","35","Independence Bowl","Texas Tech","Texas Tech University"
"1984","24","L","12-27-2000","27","East Carolina (NC)","40","Galleryfurniture.com Bowl","Texas Tech","Texas Tech University"
"1985","25","L","12-29-2001","16","Iowa","19","Alamo Bowl","Texas Tech","Texas Tech University"
"1986","26","W","12-23-2002","55","Clemson (SC)","15","Tangerine Bowl","Texas Tech","Texas Tech University"
"1987","27","W","12-30-2003","38","Navy (MD)","14","Houston Bowl","Texas Tech","Texas Tech University"
"1988","28","W","12-30-2004","45","California","31","Holiday Bowl (1)","Texas Tech","Texas Tech University"
"1989","29","L","01-02-2006","10","Alabama","13","Cotton Bowl - Alabama Vacated Game","Texas Tech","Texas Tech University"
"1990","30","W","12-29-2006","44","Minnesota","41","Insight Bowl","Texas Tech","Texas Tech University"
"1991","31","W","01-01-2008","31","Virginia","28","Gator Bowl","Texas Tech","Texas Tech University"
"1992","32","L","01-02-2009","34","Mississippi","47","Cotton Bowl","Texas Tech","Texas Tech University"
"1993","33","W","01-02-2010","41","Michigan St.","31","Alamo Bowl","Texas Tech","Texas Tech University"
"1994","34","W","01-01-2011","45","Northwestern (IL)","38","TicketCity Bowl","Texas Tech","Texas Tech University"
"1995","35","W","12-28-2012","34","Minnesota","31","Meineke Car Care Bowl of Texas","Texas Tech","Texas Tech University"
"1996","36","W","12-30-2013","37","Arizona St.","23","Holiday Bowl","Texas Tech","Texas Tech University"
"1997","1","L","01-01-1937","6","Hardin-Simmons (TX)","34","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"1998","2","L","01-01-1949","12","West Virginia","21","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"1999","3","W","01-02-1950","33","Georgetown (DC)","20","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2000","4","W","01-01-1954","37","Southern Mississippi","14","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2001","5","W","01-01-1955","47","Florida St.","20","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2002","6","L","01-01-1957","0","George Washington (DC)","13","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2003","7","W","12-31-1965","13","Texas Christian","12","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2004","8","W","12-30-1967","14","Mississippi","7","Sun Bowl","Texas-El Paso","University of Texas-El Paso"
"2005","9","L","12-23-1988","18","Southern Mississippi","38","Independence Bowl","Texas-El Paso","University of Texas-El Paso"
"2006","10","L","12-28-2000","23","Boise St. (ID)","38","Humanitarian Bowl","Texas-El Paso","University of Texas-El Paso"
"2007","11","L","12-29-2004","28","Colorado","33","Houston Bowl","Texas-El Paso","University of Texas-El Paso"
"2008","12","L","12-21-2005","13","Toledo (OH)","45","GMAC Bowl","Texas-El Paso","University of Texas-El Paso"
"2009","13","L","12-18-2010","24","Brigham Young (UT)","52","New Mexico Bowl","Texas-El Paso","University of Texas-El Paso"
"2010","1","W","12-26-1969","56","Davidson (NC)","33","Tangerine Bowl","Toledo (OH)","University of Toledo"
"2011","2","W","12-28-1970","40","William & Mary (VA)","12","Tangerine Bowl","Toledo (OH)","University of Toledo"
"2012","3","W","12-28-1971","28","Richmond (VA)","3","Tangerine Bowl","Toledo (OH)","University of Toledo"
"2013","4","W","12-19-1981","27","San Jose St. (CA)","25","California Bowl","Toledo (OH)","University of Toledo"
"2014","5","L","12-15-1984","13","Nevada-Las Vegas","30","California Bowl - Nevada-Las Vegas Forfeits? (No Record Change)","Toledo (OH)","University of Toledo"
"2015","6","W","12-14-1995","40","Nevada","37","Las Vegas Bowl","Toledo (OH)","University of Toledo"
"2016","7","W","12-29-2001","23","Cincinnati (OH)","16","Motor City Bowl","Toledo (OH)","University of Toledo"
"2017","8","L","12-26-2002","25","Boston College (MA)","51","Motor City Bowl","Toledo (OH)","University of Toledo"
"2018","9","L","12-27-2004","10","Connecticut","39","Motor City Bowl","Toledo (OH)","University of Toledo"
"2019","10","W","12-21-2005","45","Texas-El Paso","13","GMAC Bowl","Toledo (OH)","University of Toledo"
"2020","11","L","12-26-2010","32","Florida International","34","Little Caesars Pizza Bowl","Toledo (OH)","University of Toledo"
"2021","12","W","12-28-2011","42","Air Force (CO)","41","Military Bowl","Toledo (OH)","University of Toledo"
"2022","13","L","12-15-2012","15","Utah St.","41","Idaho Potato Bowl","Toledo (OH)","University of Toledo"
"2023","1","L","12-30-2004","21","Northern Illinois","34","Silicon Valley Classic","Troy (AL)","Troy University"
"2024","2","W","12-22-2006","41","Rice (TX)","17","New Orleans Bowl","Troy (AL)","Troy University"
"2025","3","L","12-21-2008","27","Southern Mississippi","30","New Orleans Bowl","Troy (AL)","Troy University"
"2026","4","L","01-06-2010","41","Central Michigan","44","GMAC Bowl","Troy (AL)","Troy University"
"2027","5","W","12-18-2010","48","Ohio","21","New Orleans Bowl","Troy (AL)","Troy University"
"2028","1","L","01-01-1932","12","Southern California","21","Rose Bowl","Tulane (LA)","Tulane University"
"2029","2","W","01-01-1935","20","Temple (PA)","14","Sugar Bowl","Tulane (LA)","Tulane University"
"2030","3","L","01-01-1940","13","Texas A&M","14","Sugar Bowl","Tulane (LA)","Tulane University"
"2031","4","W","12-12-1970","17","Colorado","3","Liberty Bowl","Tulane (LA)","Tulane University"
"2032","5","L","12-29-1973","7","Houston (TX)","47","Bluebonnet Bowl","Tulane (LA)","Tulane University"
"2033","6","L","12-22-1979","6","Penn St.","9","Liberty Bowl","Tulane (LA)","Tulane University"
"2034","7","L","12-27-1980","15","Arkansas","34","Hall of Fame Classic","Tulane (LA)","Tulane University"
"2035","8","L","12-19-1987","12","Washington","24","Independence Bowl","Tulane (LA)","Tulane University"
"2036","9","W","12-31-1998","41","Brigham Young (UT)","27","Liberty Bowl","Tulane (LA)","Tulane University"
"2037","10","W","12-25-2002","36","Hawaii","28","Hawaii Bowl","Tulane (LA)","Tulane University"
"2038","11","L","12-21-2013","21","Louisiana-Lafayette","24","New Orleans Bowl","Tulane (LA)","Tulane University"
"2039","1","W","01-01-1942","6","Texas Tech","0","Sun Bowl","Tulsa (OK)","University of Tulsa"
"2040","2","L","01-01-1943","7","Tennessee","14","Sugar Bowl","Tulsa (OK)","University of Tulsa"
"2041","3","L","01-01-1944","18","Georgia Tech","20","Sugar Bowl","Tulsa (OK)","University of Tulsa"
"2042","4","W","01-01-1945","26","Georgia Tech","12","Orange Bowl","Tulsa (OK)","University of Tulsa"
"2043","5","L","01-01-1946","6","Georgia","20","Oil Bowl","Tulsa (OK)","University of Tulsa"
"2044","6","L","01-01-1953","13","Florida","14","Gator Bowl","Tulsa (OK)","University of Tulsa"
"2045","7","W","12-19-1964","14","Mississippi","7","Bluebonnet Bowl","Tulsa (OK)","University of Tulsa"
"2046","8","L","12-18-1965","6","Tennessee","27","Bluebonnet Bowl","Tulsa (OK)","University of Tulsa"
"2047","9","L","12-13-1976","16","McNeese St. (LA)","20","Independence Bowl","Tulsa (OK)","University of Tulsa"
"2048","10","L","12-16-1989","24","Oregon","27","Independence Bowl","Tulsa (OK)","University of Tulsa"
"2049","11","W","12-30-1991","28","San Diego St. (CA)","17","Anaheim Stadium - Freedom Bowl","Tulsa (OK)","University of Tulsa"
"2050","12","L","01-03-2004","10","Georgia Tech","52","Humanitarian Bowl","Tulsa (OK)","University of Tulsa"
"2051","13","W","12-31-2005","31","Fresno St. (CA)","24","Liberty Bowl","Tulsa (OK)","University of Tulsa"
"2052","14","L","12-23-2006","13","Utah","25","Armed Forces Bowl","Tulsa (OK)","University of Tulsa"
"2053","15","W","01-06-2008","63","Bowling Green (OH)","7","GMAC Bowl","Tulsa (OK)","University of Tulsa"
"2054","16","W","01-06-2009","45","Ball St. (IN)","13","GMAC Bowl","Tulsa (OK)","University of Tulsa"
"2055","17","W","12-24-2010","62","Hawaii","35","Hawaii Bowl","Tulsa (OK)","University of Tulsa"
