"Year","Conference","Team"
1897,"Maryland Intercollegiate Football Association","Maryland"
1898,"Independent","Maryland"
1899,"Independent","Maryland"
1900,"Independent","Maryland"
1901,"Independent","Maryland"
1902,"Independent","Maryland"
1903,"Independent","Maryland"
1904,"Independent","Maryland"
1905,"Independent","Maryland"
1906,"Independent","Maryland"
1907,"Independent","Maryland"
1908,"Independent","Maryland"
1909,"Independent","Maryland"
1910,"Independent","Maryland"
1911,"Independent","Maryland"
1912,"Independent","Maryland"
1913,"Independent","Maryland"
1914,"Independent","Maryland"
1915,"Independent","Maryland"
1916,"Independent","Maryland"
1917,"Independent","Maryland"
1918,"South Atlantic Intercollegiate Athletic Association","Maryland"
1919,"South Atlantic Intercollegiate Athletic Association","Maryland"
1920,"South Atlantic Intercollegiate Athletic Association","Maryland"
1921,"South Atlantic Intercollegiate Athletic Association","Maryland"
1922,"Southern Conference","Maryland"
1923,"Southern Conference","Maryland"
1924,"Southern Conference","Maryland"
1925,"Southern Conference","Maryland"
1926,"Southern Conference","Maryland"
1927,"Southern Conference","Maryland"
1928,"Southern Conference","Maryland"
1929,"Southern Conference","Maryland"
1930,"Southern Conference","Maryland"
1931,"Southern Conference","Maryland"
1932,"Southern Conference","Maryland"
1933,"Southern Conference","Maryland"
1934,"Southern Conference","Maryland"
1935,"Southern Conference","Maryland"
1936,"Southern Conference","Maryland"
1937,"Southern Conference","Maryland"
1938,"Southern Conference","Maryland"
1939,"Southern Conference","Maryland"
1940,"Southern Conference","Maryland"
1941,"Southern Conference","Maryland"
1942,"Southern Conference","Maryland"
1943,"Southern Conference","Maryland"
1944,"Southern Conference","Maryland"
1945,"Southern Conference","Maryland"
1946,"Southern Conference","Maryland"
1947,"Southern Conference","Maryland"
1948,"Southern Conference","Maryland"
1949,"Southern Conference","Maryland"
1950,"Southern Conference","Maryland"
1951,"Southern Conference","Maryland"
1952,"Independent","Maryland"
1953,"Atlantic Coast Conference","Maryland"
1954,"Atlantic Coast Conference","Maryland"
1955,"Atlantic Coast Conference","Maryland"
1956,"Atlantic Coast Conference","Maryland"
1957,"Atlantic Coast Conference","Maryland"
1958,"Atlantic Coast Conference","Maryland"
1959,"Atlantic Coast Conference","Maryland"
1960,"Atlantic Coast Conference","Maryland"
1961,"Atlantic Coast Conference","Maryland"
1962,"Atlantic Coast Conference","Maryland"
1963,"Atlantic Coast Conference","Maryland"
1964,"Atlantic Coast Conference","Maryland"
1965,"Atlantic Coast Conference","Maryland"
1966,"Atlantic Coast Conference","Maryland"
1967,"Atlantic Coast Conference","Maryland"
1968,"Atlantic Coast Conference","Maryland"
1969,"Atlantic Coast Conference","Maryland"
1970,"Atlantic Coast Conference","Maryland"
1971,"Atlantic Coast Conference","Maryland"
1972,"Atlantic Coast Conference","Maryland"
1973,"Atlantic Coast Conference","Maryland"
1974,"Atlantic Coast Conference","Maryland"
1975,"Atlantic Coast Conference","Maryland"
1976,"Atlantic Coast Conference","Maryland"
1977,"Atlantic Coast Conference","Maryland"
1978,"Atlantic Coast Conference","Maryland"
1979,"Atlantic Coast Conference","Maryland"
1980,"Atlantic Coast Conference","Maryland"
1981,"Atlantic Coast Conference","Maryland"
1982,"Atlantic Coast Conference","Maryland"
1983,"Atlantic Coast Conference","Maryland"
1984,"Atlantic Coast Conference","Maryland"
1985,"Atlantic Coast Conference","Maryland"
1986,"Atlantic Coast Conference","Maryland"
1987,"Atlantic Coast Conference","Maryland"
1988,"Atlantic Coast Conference","Maryland"
1989,"Atlantic Coast Conference","Maryland"
1990,"Atlantic Coast Conference","Maryland"
1991,"Atlantic Coast Conference","Maryland"
1992,"Atlantic Coast Conference","Maryland"
1993,"Atlantic Coast Conference","Maryland"
1994,"Atlantic Coast Conference","Maryland"
1995,"Atlantic Coast Conference","Maryland"
1996,"Atlantic Coast Conference","Maryland"
1997,"Atlantic Coast Conference","Maryland"
1998,"Atlantic Coast Conference","Maryland"
1999,"Atlantic Coast Conference","Maryland"
2000,"Atlantic Coast Conference","Maryland"
2001,"Atlantic Coast Conference","Maryland"
2002,"Atlantic Coast Conference","Maryland"
2003,"Atlantic Coast Conference","Maryland"
2004,"Atlantic Coast Conference","Maryland"
2005,"Atlantic Coast Conference","Maryland"
2006,"Atlantic Coast Conference","Maryland"
2007,"Atlantic Coast Conference","Maryland"
2008,"Atlantic Coast Conference","Maryland"
2009,"Atlantic Coast Conference","Maryland"
2010,"Atlantic Coast Conference","Maryland"
2011,"Atlantic Coast Conference","Maryland"
2012,"Atlantic Coast Conference","Maryland"
2013,"Atlantic Coast Conference","Maryland"
1879,"Independent","Massachusetts"
1880,"Independent","Massachusetts"
1881,"Independent","Massachusetts"
1882,"Independent","Massachusetts"
1883,"Independent","Massachusetts"
1884,"Independent","Massachusetts"
1885,"Independent","Massachusetts"
1886,"Independent","Massachusetts"
1887,"Independent","Massachusetts"
1888,"Independent","Massachusetts"
1889,"Independent","Massachusetts"
1890,"Independent","Massachusetts"
1891,"Independent","Massachusetts"
1892,"Independent","Massachusetts"
1893,"Independent","Massachusetts"
1894,"Independent","Massachusetts"
1895,"Independent","Massachusetts"
1896,"Independent","Massachusetts"
1897,"Independent","Massachusetts"
1898,"Independent","Massachusetts"
1899,"Independent","Massachusetts"
1900,"Independent","Massachusetts"
1901,"Independent","Massachusetts"
1902,"Independent","Massachusetts"
1903,"Independent","Massachusetts"
1904,"Independent","Massachusetts"
1905,"Independent","Massachusetts"
1906,"Independent","Massachusetts"
1907,"Independent","Massachusetts"
1908,"Independent","Massachusetts"
1909,"Independent","Massachusetts"
1910,"Independent","Massachusetts"
1911,"Independent","Massachusetts"
1912,"Independent","Massachusetts"
1913,"Independent","Massachusetts"
1914,"Independent","Massachusetts"
1915,"Independent","Massachusetts"
1916,"Independent","Massachusetts"
1917,"Independent","Massachusetts"
1918,"Independent","Massachusetts"
1919,"Independent","Massachusetts"
1920,"Independent","Massachusetts"
1921,"Independent","Massachusetts"
1922,"Independent","Massachusetts"
1923,"Independent","Massachusetts"
1924,"Independent","Massachusetts"
1925,"Independent","Massachusetts"
1926,"Independent","Massachusetts"
1927,"Independent","Massachusetts"
1928,"Independent","Massachusetts"
1929,"Independent","Massachusetts"
1930,"Independent","Massachusetts"
1931,"Independent","Massachusetts"
1932,"Independent","Massachusetts"
1933,"Independent","Massachusetts"
1934,"Independent","Massachusetts"
1935,"Independent","Massachusetts"
1936,"Independent","Massachusetts"
1937,"Independent","Massachusetts"
1938,"Independent","Massachusetts"
1939,"Independent","Massachusetts"
1940,"Independent","Massachusetts"
1941,"Independent","Massachusetts"
1942,"Independent","Massachusetts"
1943,"Independent","Massachusetts"
1944,"Independent","Massachusetts"
1945,"Independent","Massachusetts"
1946,"Independent","Massachusetts"
1947,"Yankee Conference","Massachusetts"
1948,"Yankee Conference","Massachusetts"
1949,"Yankee Conference","Massachusetts"
1950,"Yankee Conference","Massachusetts"
1951,"Yankee Conference","Massachusetts"
1952,"Yankee Conference","Massachusetts"
1953,"Yankee Conference","Massachusetts"
1954,"Yankee Conference","Massachusetts"
1955,"Yankee Conference","Massachusetts"
1956,"Yankee Conference","Massachusetts"
1957,"Yankee Conference","Massachusetts"
1958,"Yankee Conference","Massachusetts"
1959,"Yankee Conference","Massachusetts"
1960,"Yankee Conference","Massachusetts"
1961,"Yankee Conference","Massachusetts"
1962,"Yankee Conference","Massachusetts"
1963,"Yankee Conference","Massachusetts"
1964,"Yankee Conference","Massachusetts"
1965,"Yankee Conference","Massachusetts"
1966,"Yankee Conference","Massachusetts"
1967,"Yankee Conference","Massachusetts"
1968,"Yankee Conference","Massachusetts"
1969,"Yankee Conference","Massachusetts"
1970,"Yankee Conference","Massachusetts"
1971,"Yankee Conference","Massachusetts"
1972,"Yankee Conference","Massachusetts"
1973,"Yankee Conference","Massachusetts"
1974,"Yankee Conference","Massachusetts"
1975,"Yankee Conference","Massachusetts"
1976,"Yankee Conference","Massachusetts"
1977,"Yankee Conference","Massachusetts"
1978,"Yankee Conference","Massachusetts"
1979,"Yankee Conference","Massachusetts"
1980,"Yankee Conference","Massachusetts"
1981,"Yankee Conference","Massachusetts"
1982,"Yankee Conference","Massachusetts"
1983,"Yankee Conference","Massachusetts"
1984,"Yankee Conference","Massachusetts"
1985,"Yankee Conference","Massachusetts"
1986,"Yankee Conference","Massachusetts"
1987,"Yankee Conference","Massachusetts"
1988,"Yankee Conference","Massachusetts"
1989,"Yankee Conference","Massachusetts"
1990,"Yankee Conference","Massachusetts"
1991,"Yankee Conference","Massachusetts"
1992,"Yankee Conference","Massachusetts"
1993,"Yankee Conference","Massachusetts"
1994,"Yankee Conference","Massachusetts"
1995,"Yankee Conference","Massachusetts"
1996,"Yankee Conference","Massachusetts"
1997,"Atlantic 10 Conference","Massachusetts"
1998,"Atlantic 10 Conference","Massachusetts"
1999,"Atlantic 10 Conference","Massachusetts"
2000,"Atlantic 10 Conference","Massachusetts"
2001,"Atlantic 10 Conference","Massachusetts"
2002,"Atlantic 10 Conference","Massachusetts"
2003,"Atlantic 10 Conference","Massachusetts"
2004,"Atlantic 10 Conference","Massachusetts"
2005,"Atlantic 10 Conference","Massachusetts"
2006,"Atlantic 10 Conference","Massachusetts"
2007,"Colonial Athletic Association","Massachusetts"
2008,"Colonial Athletic Association","Massachusetts"
2009,"Colonial Athletic Association","Massachusetts"
2010,"Colonial Athletic Association","Massachusetts"
2011,"Colonial Athletic Association","Massachusetts"
2012,"Mid-American Conference","Massachusetts"
2013,"Mid-American Conference","Massachusetts"
1912,"Independent","Memphis (TN)"
1913,"Independent","Memphis (TN)"
1914,"Independent","Memphis (TN)"
1915,"Independent","Memphis (TN)"
1916,"Independent","Memphis (TN)"
1917,"Independent","Memphis (TN)"
1918,"Independent","Memphis (TN)"
1919,"Independent","Memphis (TN)"
1920,"Independent","Memphis (TN)"
1921,"Independent","Memphis (TN)"
1922,"Independent","Memphis (TN)"
1923,"Independent","Memphis (TN)"
1924,"Independent","Memphis (TN)"
1925,"Independent","Memphis (TN)"
1926,"Independent","Memphis (TN)"
1927,"Independent","Memphis (TN)"
1928,"Mississippi Valley Conference","Memphis (TN)"
1929,"Mississippi Valley Conference","Memphis (TN)"
1930,"Mississippi Valley Conference","Memphis (TN)"
1931,"Mississippi Valley Conference","Memphis (TN)"
1932,"Mississippi Valley Conference","Memphis (TN)"
1933,"Mississippi Valley Conference","Memphis (TN)"
1934,"Mississippi Valley Conference","Memphis (TN)"
1935,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1936,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1937,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1938,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1939,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1940,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1941,"Southern Intercollegiate Athletic Association","Memphis (TN)"
1942,"Independent","Memphis (TN)"
1943,"Independent","Memphis (TN)"
1944,"Independent","Memphis (TN)"
1945,"Independent","Memphis (TN)"
1946,"Independent","Memphis (TN)"
1947,"Independent","Memphis (TN)"
1948,"Independent","Memphis (TN)"
1949,"Independent","Memphis (TN)"
1950,"Independent","Memphis (TN)"
1951,"Independent","Memphis (TN)"
1952,"Independent","Memphis (TN)"
1953,"Independent","Memphis (TN)"
1954,"Independent","Memphis (TN)"
1955,"Independent","Memphis (TN)"
1956,"Independent","Memphis (TN)"
1957,"Independent","Memphis (TN)"
1958,"Independent","Memphis (TN)"
1959,"Independent","Memphis (TN)"
1960,"Independent","Memphis (TN)"
1961,"Independent","Memphis (TN)"
1962,"Independent","Memphis (TN)"
1963,"Independent","Memphis (TN)"
1964,"Independent","Memphis (TN)"
1965,"Independent","Memphis (TN)"
1966,"Independent","Memphis (TN)"
1967,"Independent","Memphis (TN)"
1968,"Missouri Valley Conference","Memphis (TN)"
1969,"Missouri Valley Conference","Memphis (TN)"
1970,"Missouri Valley Conference","Memphis (TN)"
1971,"Missouri Valley Conference","Memphis (TN)"
1972,"Missouri Valley Conference","Memphis (TN)"
1973,"Missouri Valley Conference","Memphis (TN)"
1974,"Division I Independent","Memphis (TN)"
1975,"Division I Independent","Memphis (TN)"
1976,"Division I Independent","Memphis (TN)"
1977,"Division I Independent","Memphis (TN)"
1978,"Division I-A Independent","Memphis (TN)"
1979,"Division I-A Independent","Memphis (TN)"
1980,"Division I-A Independent","Memphis (TN)"
1981,"Division I-A Independent","Memphis (TN)"
1982,"Division I-A Independent","Memphis (TN)"
1983,"Division I-A Independent","Memphis (TN)"
1984,"Division I-A Independent","Memphis (TN)"
1985,"Division I-A Independent","Memphis (TN)"
1986,"Division I-A Independent","Memphis (TN)"
1987,"Division I-A Independent","Memphis (TN)"
1988,"Division I-A Independent","Memphis (TN)"
1989,"Division I-A Independent","Memphis (TN)"
1990,"Division I-A Independent","Memphis (TN)"
1991,"Division I-A Independent","Memphis (TN)"
1992,"Division I-A Independent","Memphis (TN)"
1993,"Division I-A Independent","Memphis (TN)"
1994,"Division I-A Independent","Memphis (TN)"
1995,"Division I-A Independent","Memphis (TN)"
1996,"Conference USA","Memphis (TN)"
1997,"Conference USA","Memphis (TN)"
1998,"Conference USA","Memphis (TN)"
1999,"Conference USA","Memphis (TN)"
2000,"Conference USA","Memphis (TN)"
2001,"Conference USA","Memphis (TN)"
2002,"Conference USA","Memphis (TN)"
2003,"Conference USA","Memphis (TN)"
2004,"Conference USA","Memphis (TN)"
2005,"Conference USA","Memphis (TN)"
2006,"Conference USA","Memphis (TN)"
2007,"Conference USA","Memphis (TN)"
2008,"Conference USA","Memphis (TN)"
2009,"Conference USA","Memphis (TN)"
2010,"Conference USA","Memphis (TN)"
2011,"Conference USA","Memphis (TN)"
2012,"Conference USA","Memphis (TN)"
2013,"American Athletic Conference","Memphis (TN)"
1927,"Independent","Miami (FL)"
1928,"Independent","Miami (FL)"
1929,"Southern Intercollegiate Athletic Association","Miami (FL)"
1930,"Southern Intercollegiate Athletic Association","Miami (FL)"
1931,"Southern Intercollegiate Athletic Association","Miami (FL)"
1932,"Southern Intercollegiate Athletic Association","Miami (FL)"
1933,"Southern Intercollegiate Athletic Association","Miami (FL)"
1934,"Southern Intercollegiate Athletic Association","Miami (FL)"
1935,"Southern Intercollegiate Athletic Association","Miami (FL)"
1936,"Southern Intercollegiate Athletic Association","Miami (FL)"
1937,"Southern Intercollegiate Athletic Association","Miami (FL)"
1938,"Southern Intercollegiate Athletic Association","Miami (FL)"
1939,"Southern Intercollegiate Athletic Association","Miami (FL)"
1940,"Southern Intercollegiate Athletic Association","Miami (FL)"
1941,"Southern Intercollegiate Athletic Association","Miami (FL)"
1942,"Independent","Miami (FL)"
1943,"Independent","Miami (FL)"
1944,"Independent","Miami (FL)"
1945,"Independent","Miami (FL)"
1946,"Independent","Miami (FL)"
1947,"Independent","Miami (FL)"
1948,"Independent","Miami (FL)"
1949,"Independent","Miami (FL)"
1950,"Independent","Miami (FL)"
1951,"Independent","Miami (FL)"
1952,"Independent","Miami (FL)"
1953,"Independent","Miami (FL)"
1954,"Independent","Miami (FL)"
1955,"Independent","Miami (FL)"
1956,"Independent","Miami (FL)"
1957,"Independent","Miami (FL)"
1958,"Independent","Miami (FL)"
1959,"Independent","Miami (FL)"
1960,"Independent","Miami (FL)"
1961,"Independent","Miami (FL)"
1962,"Independent","Miami (FL)"
1963,"Independent","Miami (FL)"
1964,"Independent","Miami (FL)"
1965,"Independent","Miami (FL)"
1966,"Independent","Miami (FL)"
1967,"Independent","Miami (FL)"
1968,"Independent","Miami (FL)"
1969,"Independent","Miami (FL)"
1970,"Independent","Miami (FL)"
1971,"Independent","Miami (FL)"
1972,"Independent","Miami (FL)"
1973,"Division I Independent","Miami (FL)"
1974,"Division I Independent","Miami (FL)"
1975,"Division I Independent","Miami (FL)"
1976,"Division I Independent","Miami (FL)"
1977,"Division I Independent","Miami (FL)"
1978,"Division I-A Independent","Miami (FL)"
1979,"Division I-A Independent","Miami (FL)"
1980,"Division I-A Independent","Miami (FL)"
1981,"Division I-A Independent","Miami (FL)"
1982,"Division I-A Independent","Miami (FL)"
1983,"Division I-A Independent","Miami (FL)"
1984,"Division I-A Independent","Miami (FL)"
1985,"Division I-A Independent","Miami (FL)"
1986,"Division I-A Independent","Miami (FL)"
1987,"Division I-A Independent","Miami (FL)"
1988,"Division I-A Independent","Miami (FL)"
1989,"Division I-A Independent","Miami (FL)"
1990,"Division I-A Independent","Miami (FL)"
1991,"Big East Conference","Miami (FL)"
1992,"Big East Conference","Miami (FL)"
1993,"Big East Conference","Miami (FL)"
1994,"Big East Conference","Miami (FL)"
1995,"Big East Conference","Miami (FL)"
1996,"Big East Conference","Miami (FL)"
1997,"Big East Conference","Miami (FL)"
1998,"Big East Conference","Miami (FL)"
1999,"Big East Conference","Miami (FL)"
2000,"Big East Conference","Miami (FL)"
2001,"Big East Conference","Miami (FL)"
2002,"Big East Conference","Miami (FL)"
2003,"Big East Conference","Miami (FL)"
2004,"Atlantic Coast Conference","Miami (FL)"
2005,"Atlantic Coast Conference","Miami (FL)"
2006,"Atlantic Coast Conference","Miami (FL)"
2007,"Atlantic Coast Conference","Miami (FL)"
2008,"Atlantic Coast Conference","Miami (FL)"
2009,"Atlantic Coast Conference","Miami (FL)"
2010,"Atlantic Coast Conference","Miami (FL)"
2011,"Atlantic Coast Conference","Miami (FL)"
2012,"Atlantic Coast Conference","Miami (FL)"
2013,"Atlantic Coast Conference","Miami (FL)"
1888,"Independent","Miami (OH)"
1889,"Independent","Miami (OH)"
1890,"Independent","Miami (OH)"
1891,"Independent","Miami (OH)"
1892,"Independent","Miami (OH)"
1893,"Independent","Miami (OH)"
1894,"Independent","Miami (OH)"
1895,"Independent","Miami (OH)"
1896,"Independent","Miami (OH)"
1897,"Independent","Miami (OH)"
1898,"Independent","Miami (OH)"
1899,"Independent","Miami (OH)"
1900,"Independent","Miami (OH)"
1901,"Independent","Miami (OH)"
1902,"Independent","Miami (OH)"
1903,"Independent","Miami (OH)"
1904,"Independent","Miami (OH)"
1905,"Independent","Miami (OH)"
1906,"Independent","Miami (OH)"
1907,"Independent","Miami (OH)"
1908,"Independent","Miami (OH)"
1909,"Independent","Miami (OH)"
1910,"Ohio Athletic Conference","Miami (OH)"
1911,"Ohio Athletic Conference","Miami (OH)"
1912,"Ohio Athletic Conference","Miami (OH)"
1913,"Ohio Athletic Conference","Miami (OH)"
1914,"Ohio Athletic Conference","Miami (OH)"
1915,"Ohio Athletic Conference","Miami (OH)"
1916,"Ohio Athletic Conference","Miami (OH)"
1917,"Ohio Athletic Conference","Miami (OH)"
1918,"Ohio Athletic Conference","Miami (OH)"
1919,"Ohio Athletic Conference","Miami (OH)"
1920,"Ohio Athletic Conference","Miami (OH)"
1921,"Ohio Athletic Conference","Miami (OH)"
1922,"Ohio Athletic Conference","Miami (OH)"
1923,"Ohio Athletic Conference","Miami (OH)"
1924,"Ohio Athletic Conference","Miami (OH)"
1925,"Ohio Athletic Conference","Miami (OH)"
1926,"Ohio Athletic Conference","Miami (OH)"
1927,"Ohio Athletic Conference","Miami (OH)"
1925,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1926,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1927,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1928,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1929,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1930,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1931,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1932,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1933,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1934,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1935,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1936,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1937,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1938,"Buckeye Intercollegiate Athletic Association","Miami (OH)"
1939,"Independent","Miami (OH)"
1940,"Independent","Miami (OH)"
1941,"Independent","Miami (OH)"
1942,"Independent","Miami (OH)"
1943,"Independent","Miami (OH)"
1944,"Independent","Miami (OH)"
1945,"Independent","Miami (OH)"
1946,"Independent","Miami (OH)"
1947,"Independent","Miami (OH)"
1948,"Mid-American Conference","Miami (OH)"
1949,"Mid-American Conference","Miami (OH)"
1950,"Mid-American Conference","Miami (OH)"
1951,"Mid-American Conference","Miami (OH)"
1952,"Mid-American Conference","Miami (OH)"
1953,"Mid-American Conference","Miami (OH)"
1954,"Mid-American Conference","Miami (OH)"
1955,"Mid-American Conference","Miami (OH)"
1956,"Mid-American Conference","Miami (OH)"
1957,"Mid-American Conference","Miami (OH)"
1958,"Mid-American Conference","Miami (OH)"
1959,"Mid-American Conference","Miami (OH)"
1960,"Mid-American Conference","Miami (OH)"
1961,"Mid-American Conference","Miami (OH)"
1962,"Mid-American Conference","Miami (OH)"
1963,"Mid-American Conference","Miami (OH)"
1964,"Mid-American Conference","Miami (OH)"
1965,"Mid-American Conference","Miami (OH)"
1966,"Mid-American Conference","Miami (OH)"
1967,"Mid-American Conference","Miami (OH)"
1968,"Mid-American Conference","Miami (OH)"
1969,"Mid-American Conference","Miami (OH)"
1970,"Mid-American Conference","Miami (OH)"
1971,"Mid-American Conference","Miami (OH)"
1972,"Mid-American Conference","Miami (OH)"
1973,"Mid-American Conference","Miami (OH)"
1974,"Mid-American Conference","Miami (OH)"
1975,"Mid-American Conference","Miami (OH)"
1976,"Mid-American Conference","Miami (OH)"
1977,"Mid-American Conference","Miami (OH)"
1978,"Mid-American Conference","Miami (OH)"
1979,"Mid-American Conference","Miami (OH)"
1980,"Mid-American Conference","Miami (OH)"
1981,"Mid-American Conference","Miami (OH)"
1982,"Mid-American Conference","Miami (OH)"
1983,"Mid-American Conference","Miami (OH)"
1984,"Mid-American Conference","Miami (OH)"
1985,"Mid-American Conference","Miami (OH)"
1986,"Mid-American Conference","Miami (OH)"
1987,"Mid-American Conference","Miami (OH)"
1988,"Mid-American Conference","Miami (OH)"
1989,"Mid-American Conference","Miami (OH)"
1990,"Mid-American Conference","Miami (OH)"
1991,"Mid-American Conference","Miami (OH)"
1992,"Mid-American Conference","Miami (OH)"
1993,"Mid-American Conference","Miami (OH)"
1994,"Mid-American Conference","Miami (OH)"
1995,"Mid-American Conference","Miami (OH)"
1996,"Mid-American Conference","Miami (OH)"
1997,"Mid-American Conference","Miami (OH)"
1998,"Mid-American Conference","Miami (OH)"
1999,"Mid-American Conference","Miami (OH)"
2000,"Mid-American Conference","Miami (OH)"
2001,"Mid-American Conference","Miami (OH)"
2002,"Mid-American Conference","Miami (OH)"
2003,"Mid-American Conference","Miami (OH)"
2004,"Mid-American Conference","Miami (OH)"
2005,"Mid-American Conference","Miami (OH)"
2006,"Mid-American Conference","Miami (OH)"
2007,"Mid-American Conference","Miami (OH)"
2008,"Mid-American Conference","Miami (OH)"
2009,"Mid-American Conference","Miami (OH)"
2010,"Mid-American Conference","Miami (OH)"
2011,"Mid-American Conference","Miami (OH)"
2012,"Mid-American Conference","Miami (OH)"
2013,"Mid-American Conference","Miami (OH)"
1879,"Independent","Michigan"
1880,"Independent","Michigan"
1881,"Independent","Michigan"
1882,"Independent","Michigan"
1883,"Independent","Michigan"
1884,"Independent","Michigan"
1885,"Independent","Michigan"
1886,"Independent","Michigan"
1887,"Independent","Michigan"
1888,"Independent","Michigan"
1889,"Independent","Michigan"
1890,"Independent","Michigan"
1891,"Independent","Michigan"
1892,"Independent","Michigan"
1893,"Independent","Michigan"
1894,"Independent","Michigan"
1895,"Independent","Michigan"
1896,"Big Ten Conference","Michigan"
1897,"Big Ten Conference","Michigan"
1898,"Big Ten Conference","Michigan"
1899,"Big Ten Conference","Michigan"
1900,"Big Ten Conference","Michigan"
1901,"Big Ten Conference","Michigan"
1902,"Big Ten Conference","Michigan"
1903,"Big Ten Conference","Michigan"
1904,"Big Ten Conference","Michigan"
1905,"Big Ten Conference","Michigan"
1906,"Big Ten Conference","Michigan"
1907,"Independent","Michigan"
1908,"Independent","Michigan"
1909,"Independent","Michigan"
1910,"Independent","Michigan"
1911,"Independent","Michigan"
1912,"Independent","Michigan"
1913,"Independent","Michigan"
1914,"Independent","Michigan"
1915,"Independent","Michigan"
1916,"Independent","Michigan"
1917,"Big Ten Conference","Michigan"
1918,"Big Ten Conference","Michigan"
1919,"Big Ten Conference","Michigan"
1920,"Big Ten Conference","Michigan"
1921,"Big Ten Conference","Michigan"
1922,"Big Ten Conference","Michigan"
1923,"Big Ten Conference","Michigan"
1924,"Big Ten Conference","Michigan"
1925,"Big Ten Conference","Michigan"
1926,"Big Ten Conference","Michigan"
1927,"Big Ten Conference","Michigan"
1928,"Big Ten Conference","Michigan"
1929,"Big Ten Conference","Michigan"
1930,"Big Ten Conference","Michigan"
1931,"Big Ten Conference","Michigan"
1932,"Big Ten Conference","Michigan"
1933,"Big Ten Conference","Michigan"
1934,"Big Ten Conference","Michigan"
1935,"Big Ten Conference","Michigan"
1936,"Big Ten Conference","Michigan"
1937,"Big Ten Conference","Michigan"
1938,"Big Ten Conference","Michigan"
1939,"Big Ten Conference","Michigan"
1940,"Big Ten Conference","Michigan"
1941,"Big Ten Conference","Michigan"
1942,"Big Ten Conference","Michigan"
1943,"Big Ten Conference","Michigan"
1944,"Big Ten Conference","Michigan"
1945,"Big Ten Conference","Michigan"
1946,"Big Ten Conference","Michigan"
1947,"Big Ten Conference","Michigan"
1948,"Big Ten Conference","Michigan"
1949,"Big Ten Conference","Michigan"
1950,"Big Ten Conference","Michigan"
1951,"Big Ten Conference","Michigan"
1952,"Big Ten Conference","Michigan"
1953,"Big Ten Conference","Michigan"
1954,"Big Ten Conference","Michigan"
1955,"Big Ten Conference","Michigan"
1956,"Big Ten Conference","Michigan"
1957,"Big Ten Conference","Michigan"
1958,"Big Ten Conference","Michigan"
1959,"Big Ten Conference","Michigan"
1960,"Big Ten Conference","Michigan"
1961,"Big Ten Conference","Michigan"
1962,"Big Ten Conference","Michigan"
1963,"Big Ten Conference","Michigan"
1964,"Big Ten Conference","Michigan"
1965,"Big Ten Conference","Michigan"
1966,"Big Ten Conference","Michigan"
1967,"Big Ten Conference","Michigan"
1968,"Big Ten Conference","Michigan"
1969,"Big Ten Conference","Michigan"
1970,"Big Ten Conference","Michigan"
1971,"Big Ten Conference","Michigan"
1972,"Big Ten Conference","Michigan"
1973,"Big Ten Conference","Michigan"
1974,"Big Ten Conference","Michigan"
1975,"Big Ten Conference","Michigan"
1976,"Big Ten Conference","Michigan"
1977,"Big Ten Conference","Michigan"
1978,"Big Ten Conference","Michigan"
1979,"Big Ten Conference","Michigan"
1980,"Big Ten Conference","Michigan"
1981,"Big Ten Conference","Michigan"
1982,"Big Ten Conference","Michigan"
1983,"Big Ten Conference","Michigan"
1984,"Big Ten Conference","Michigan"
1985,"Big Ten Conference","Michigan"
1986,"Big Ten Conference","Michigan"
1987,"Big Ten Conference","Michigan"
1988,"Big Ten Conference","Michigan"
1989,"Big Ten Conference","Michigan"
1990,"Big Ten Conference","Michigan"
1991,"Big Ten Conference","Michigan"
1992,"Big Ten Conference","Michigan"
1993,"Big Ten Conference","Michigan"
1994,"Big Ten Conference","Michigan"
1995,"Big Ten Conference","Michigan"
1996,"Big Ten Conference","Michigan"
1997,"Big Ten Conference","Michigan"
1998,"Big Ten Conference","Michigan"
1999,"Big Ten Conference","Michigan"
2000,"Big Ten Conference","Michigan"
2001,"Big Ten Conference","Michigan"
2002,"Big Ten Conference","Michigan"
2003,"Big Ten Conference","Michigan"
2004,"Big Ten Conference","Michigan"
2005,"Big Ten Conference","Michigan"
2006,"Big Ten Conference","Michigan"
2007,"Big Ten Conference","Michigan"
