"No","Year","Record","APRank","CoachRank","Team","offName"
"19","2007","10-3-0","16","13","Arizona St.","Arizona State University"
"20","2013","10-4-0","21","20","Arizona St.","Arizona State University"
"1","1936","7-3-0","18","","Arkansas","University of Arkansas"
"2","1937","6-2-2","14","","Arkansas","University of Arkansas"
"3","1946","6-3-2","16","","Arkansas","University of Arkansas"
"4","1954","8-3-0","10","8","Arkansas","University of Arkansas"
"5","1959","9-2-0","9","9","Arkansas","University of Arkansas"
"6","1960","8-3-0","7","7","Arkansas","University of Arkansas"
"7","1961","8-3-0","9","8","Arkansas","University of Arkansas"
"8","1962","9-2-0","6","6","Arkansas","University of Arkansas"
"9","1964","11-0-0","2","2","Arkansas","University of Arkansas"
"10","1965","10-1-0","3","2","Arkansas","University of Arkansas"
"11","1966","8-2-0","","13","Arkansas","University of Arkansas"
"12","1968","10-1-0","6","9","Arkansas","University of Arkansas"
"13","1969","9-2-0","7","3","Arkansas","University of Arkansas"
"14","1970","9-2-0","11","12","Arkansas","University of Arkansas"
"15","1971","8-3-1","16","20","Arkansas","University of Arkansas"
"16","1975","10-2-0","7","6","Arkansas","University of Arkansas"
"17","1977","11-1-0","3","3","Arkansas","University of Arkansas"
"18","1978","9-2-1","11","10","Arkansas","University of Arkansas"
"19","1979","10-2-0","8","9","Arkansas","University of Arkansas"
"20","1981","8-4-0","","16","Arkansas","University of Arkansas"
"21","1982","9-2-1","9","8","Arkansas","University of Arkansas"
"22","1985","10-2-0","12","12","Arkansas","University of Arkansas"
"23","1986","9-3-0","15","16","Arkansas","University of Arkansas"
"24","1988","10-2-0","12","13","Arkansas","University of Arkansas"
"25","1989","10-2-0","13","13","Arkansas","University of Arkansas"
"26","1998","9-3-0","16","17","Arkansas","University of Arkansas"
"27","1999","8-4-0","17","19","Arkansas","University of Arkansas"
"28","2006","10-4-0","15","16","Arkansas","University of Arkansas"
"29","2010","10-3-0","12","12","Arkansas","University of Arkansas"
"30","2011","11-2-0","5","5","Arkansas","University of Arkansas"
"1","1943","7-2-1","11","","Army (NY)","United States Military Academy"
"2","1944","9-0-0","1","","Army (NY)","United States Military Academy"
"3","1945","9-0-0","1","","Army (NY)","United States Military Academy"
"4","1946","9-0-1","2","","Army (NY)","United States Military Academy"
"5","1947","5-2-2","11","","Army (NY)","United States Military Academy"
"6","1948","8-0-1","6","","Army (NY)","United States Military Academy"
"7","1949","9-0-0","4","","Army (NY)","United States Military Academy"
"8","1950","8-1-0","2","5","Army (NY)","United States Military Academy"
"9","1953","7-1-1","14","16","Army (NY)","United States Military Academy"
"10","1954","7-2-0","7","7","Army (NY)","United States Military Academy"
"11","1955","6-3-0","20","15","Army (NY)","United States Military Academy"
"12","1957","7-2-0","18","13","Army (NY)","United States Military Academy"
"13","1958","8-0-1","3","3","Army (NY)","United States Military Academy"
"14","1996","10-2-0","25","24","Army (NY)","United States Military Academy"
"1","1942","6-4-1","16","","Auburn (AL)","Auburn University"
"2","1953","7-3-1","17","","Auburn (AL)","Auburn University"
"3","1954","8-3-0","13","","Auburn (AL)","Auburn University"
"4","1955","8-2-1","8","8","Auburn (AL)","Auburn University"
"5","1957","10-0-0","1","2","Auburn (AL)","Auburn University"
"6","1958","9-0-1","4","4","Auburn (AL)","Auburn University"
"7","1959","7-3-0","","15","Auburn (AL)","Auburn University"
"8","1960","8-2-0","13","14","Auburn (AL)","Auburn University"
"9","1963","9-2-0","5","6","Auburn (AL)","Auburn University"
"10","1968","7-4-0","16","","Auburn (AL)","Auburn University"
"11","1969","8-3-0","20","15","Auburn (AL)","Auburn University"
"12","1970","9-2-0","10","9","Auburn (AL)","Auburn University"
"13","1971","9-2-0","12","5","Auburn (AL)","Auburn University"
"14","1972","10-1-0","5","7","Auburn (AL)","Auburn University"
"15","1974","10-2-0","8","6","Auburn (AL)","Auburn University"
"16","1979","8-3-0","16","","Auburn (AL)","Auburn University"
"17","1982","9-3-0","14","14","Auburn (AL)","Auburn University"
"18","1983","11-1-0","3","3","Auburn (AL)","Auburn University"
"19","1984","9-4-0","14","14","Auburn (AL)","Auburn University"
"20","1986","10-2-0","6","8","Auburn (AL)","Auburn University"
"21","1987","9-1-2","7","7","Auburn (AL)","Auburn University"
"22","1988","10-2-0","8","7","Auburn (AL)","Auburn University"
"23","1989","10-2-0","6","6","Auburn (AL)","Auburn University"
"24","1990","8-3-1","19","19","Auburn (AL)","Auburn University"
"25","1993","11-0-0","4","","Auburn (AL)","Auburn University"
"26","1994","9-1-1","9","","Auburn (AL)","Auburn University"
"27","1995","8-4-0","22","21","Auburn (AL)","Auburn University"
"28","1996","8-4-0","24","25","Auburn (AL)","Auburn University"
"29","1997","10-3-0","11","11","Auburn (AL)","Auburn University"
"30","2000","9-4-0","18","20","Auburn (AL)","Auburn University"
