"No","Year","Record","APRank","CoachRank","Team","offName"
"15","1966","7-4-0","","18","Southern California","University of Southern California"
"16","1967","10-1-0","1","1","Southern California","University of Southern California"
"17","1968","9-1-1","4","2","Southern California","University of Southern California"
"18","1969","10-0-1","3","4","Southern California","University of Southern California"
"19","1970","6-4-1","15","19","Southern California","University of Southern California"
"20","1971","6-4-1","20","","Southern California","University of Southern California"
"21","1972","12-0-0","1","1","Southern California","University of Southern California"
"22","1973","9-2-1","8","7","Southern California","University of Southern California"
"23","1974","10-1-1","2","1","Southern California","University of Southern California"
"24","1975","8-4-0","17","19","Southern California","University of Southern California"
"25","1976","11-1-0","2","2","Southern California","University of Southern California"
"26","1977","8-4-0","13","12","Southern California","University of Southern California"
"27","1978","12-1-0","2","1","Southern California","University of Southern California"
"28","1979","11-0-1","2","2","Southern California","University of Southern California"
"29","1980","8-2-1","11","12","Southern California","University of Southern California"
"30","1981","9-3-0","14","13","Southern California","University of Southern California"
"31","1982","8-3-0","15","","Southern California","University of Southern California"
"32","1984","9-3-0","10","9","Southern California","University of Southern California"
"33","1987","8-4-0","18","17","Southern California","University of Southern California"
"34","1988","10-2-0","7","9","Southern California","University of Southern California"
"35","1989","9-2-1","8","9","Southern California","University of Southern California"
"36","1990","8-4-1","20","22","Southern California","University of Southern California"
"37","1993","8-5-0","","25","Southern California","University of Southern California"
"38","1994","8-3-1","13","15","Southern California","University of Southern California"
"39","1995","9-2-1","12","11","Southern California","University of Southern California"
"40","2002","11-2-0","4","4","Southern California","University of Southern California"
"41","2003","12-1-0","1","2","Southern California","University of Southern California"
"42","2004","11-0-0","1","1","Southern California","University of Southern California"
"43","2005","0-1-0","2","2","Southern California","University of Southern California"
"44","2006","11-2-0","4","4","Southern California","University of Southern California"
"45","2007","11-2-0","3","2","Southern California","University of Southern California"
"46","2008","12-1-0","3","2","Southern California","University of Southern California"
"47","2009","9-4-0","22","20","Southern California","University of Southern California"
"48","2011","10-2-0","6","","Southern California","University of Southern California"
"49","2013","10-4-0","19","19","Southern California","University of Southern California"
"1","1940","8-1-1","16","","Southern Methodist (TX)","Southern Methodist University"
"2","1947","9-0-2","3","","Southern Methodist (TX)","Southern Methodist University"
"3","1948","9-1-1","10","","Southern Methodist (TX)","Southern Methodist University"
"4","1954","6-3-1","","17","Southern Methodist (TX)","Southern Methodist University"
"5","1958","6-4-0","18","18","Southern Methodist (TX)","Southern Methodist University"
"6","1966","8-3-0","10","9","Southern Methodist (TX)","Southern Methodist University"
"7","1968","8-3-0","14","16","Southern Methodist (TX)","Southern Methodist University"
"8","1980","8-4-0","20","20","Southern Methodist (TX)","Southern Methodist University"
"9","1981","10-1-0","5","","Southern Methodist (TX)","Southern Methodist University"
"10","1982","11-0-1","2","2","Southern Methodist (TX)","Southern Methodist University"
"11","1983","10-2-0","12","11","Southern Methodist (TX)","Southern Methodist University"
"12","1984","10-2-0","8","8","Southern Methodist (TX)","Southern Methodist University"
"1","1981","9-2-1","","19","Southern Mississippi","University of Southern Mississippi"
"2","1997","9-3-0","19","19","Southern Mississippi","University of Southern Mississippi"
"3","1999","9-3-0","14","13","Southern Mississippi","University of Southern Mississippi"
"4","2011","12-2-0","20","19","Southern Mississippi","University of Southern Mississippi"
"1","1940","10-0-0","2","","Stanford (CA)","Stanford University"
"2","1942","6-4-0","12","","Stanford (CA)","Stanford University"
"3","1951","9-2-0","7","7","Stanford (CA)","Stanford University"
"4","1953","6-3-1","19","17","Stanford (CA)","Stanford University"
"5","1955","6-3-1","16","20","Stanford (CA)","Stanford University"
"6","1968","6-3-1","","20","Stanford (CA)","Stanford University"
"7","1969","7-2-1","19","14","Stanford (CA)","Stanford University"
"8","1970","9-3-0","8","10","Stanford (CA)","Stanford University"
"9","1971","9-3-0","10","16","Stanford (CA)","Stanford University"
"10","1977","9-3-0","15","15","Stanford (CA)","Stanford University"
"11","1978","8-4-0","17","16","Stanford (CA)","Stanford University"
"12","1991","8-4-0","22","22","Stanford (CA)","Stanford University"
"13","1992","10-3-0","9","9","Stanford (CA)","Stanford University"
"14","1999","8-4-0","","24","Stanford (CA)","Stanford University"
"15","2001","9-3-0","16","17","Stanford (CA)","Stanford University"
"16","2010","12-1-0","4","4","Stanford (CA)","Stanford University"
"17","2011","11-2-0","7","7","Stanford (CA)","Stanford University"
"18","2012","12-2-0","7","6","Stanford (CA)","Stanford University"
"19","2013","11-3-0","11","10","Stanford (CA)","Stanford University"
"1","1952","7-3-0","14","","Syracuse (NY)","Syracuse University"
"2","1956","7-2-0","8","8","Syracuse (NY)","Syracuse University"
"3","1958","8-2-0","9","10","Syracuse (NY)","Syracuse University"
"4","1959","11-0-0","1","1","Syracuse (NY)","Syracuse University"
"5","1960","7-2-0","19","","Syracuse (NY)","Syracuse University"
"6","1961","8-3-0","14","16","Syracuse (NY)","Syracuse University"
"7","1963","8-2-0","","12","Syracuse (NY)","Syracuse University"
"8","1964","7-4-0","","12","Syracuse (NY)","Syracuse University"
"9","1965","7-3-0","","19","Syracuse (NY)","Syracuse University"
"10","1966","8-3-0","","16","Syracuse (NY)","Syracuse University"
"11","1967","8-2-0","","12","Syracuse (NY)","Syracuse University"
"12","1987","11-0-1","4","4","Syracuse (NY)","Syracuse University"
"13","1988","10-2-0","13","12","Syracuse (NY)","Syracuse University"
"14","1990","7-4-2","","21","Syracuse (NY)","Syracuse University"
"15","1991","10-2-0","11","11","Syracuse (NY)","Syracuse University"
"16","1992","10-2-0","6","7","Syracuse (NY)","Syracuse University"
"17","1995","9-3-0","19","16","Syracuse (NY)","Syracuse University"
"18","1996","9-3-0","21","19","Syracuse (NY)","Syracuse University"
"19","1997","9-4-0","21","20","Syracuse (NY)","Syracuse University"
"20","1998","8-4-0","25","24","Syracuse (NY)","Syracuse University"
"21","2001","10-3-0","14","14","Syracuse (NY)","Syracuse University"
"1","1979","10-2-0","17","17","Temple (PA)","Temple University"
"1","1936","6-2-2","17","","Tennessee","University of Tennessee: Knoxville"
"2","1938","11-0-0","2","","Tennessee","University of Tennessee: Knoxville"
"3","1939","10-1-0","2","","Tennessee","University of Tennessee: Knoxville"
"4","1940","10-1-0","4","","Tennessee","University of Tennessee: Knoxville"
"5","1941","8-2-0","18","","Tennessee","University of Tennessee: Knoxville"
"6","1942","9-1-1","7","","Tennessee","University of Tennessee: Knoxville"
"7","1944","7-1-1","12","","Tennessee","University of Tennessee: Knoxville"
"8","1945","8-1-0","14","","Tennessee","University of Tennessee: Knoxville"
"9","1946","9-2-0","7","","Tennessee","University of Tennessee: Knoxville"
"10","1949","7-2-1","17","","Tennessee","University of Tennessee: Knoxville"
"11","1950","11-1-0","4","3","Tennessee","University of Tennessee: Knoxville"
"12","1951","10-1-0","1","1","Tennessee","University of Tennessee: Knoxville"
"13","1952","8-2-1","8","8","Tennessee","University of Tennessee: Knoxville"
"14","1956","10-1-0","2","2","Tennessee","University of Tennessee: Knoxville"
"15","1957","8-3-0","13","16","Tennessee","University of Tennessee: Knoxville"
"16","1960","6-2-2","","19","Tennessee","University of Tennessee: Knoxville"
"17","1965","8-1-2","7","7","Tennessee","University of Tennessee: Knoxville"
"18","1966","8-3-0","","14","Tennessee","University of Tennessee: Knoxville"
"19","1967","9-2-0","2","2","Tennessee","University of Tennessee: Knoxville"
"20","1968","8-2-1","13","7","Tennessee","University of Tennessee: Knoxville"
"21","1969","9-2-0","15","11","Tennessee","University of Tennessee: Knoxville"
"22","1970","11-1-0","4","4","Tennessee","University of Tennessee: Knoxville"
"23","1971","10-2-0","9","9","Tennessee","University of Tennessee: Knoxville"
"24","1972","10-2-0","8","11","Tennessee","University of Tennessee: Knoxville"
"25","1973","8-4-0","19","","Tennessee","University of Tennessee: Knoxville"
"26","1974","7-3-2","20","15","Tennessee","University of Tennessee: Knoxville"
"27","1985","9-1-2","4","4","Tennessee","University of Tennessee: Knoxville"
"28","1987","10-2-1","14","13","Tennessee","University of Tennessee: Knoxville"
"29","1989","11-1-0","5","5","Tennessee","University of Tennessee: Knoxville"
"30","1990","9-2-2","8","7","Tennessee","University of Tennessee: Knoxville"
"31","1991","9-3-0","14","15","Tennessee","University of Tennessee: Knoxville"
"32","1992","9-3-0","12","12","Tennessee","University of Tennessee: Knoxville"
"33","1993","10-2-0","12","11","Tennessee","University of Tennessee: Knoxville"
"34","1994","8-4-0","22","18","Tennessee","University of Tennessee: Knoxville"
"35","1995","11-1-0","3","2","Tennessee","University of Tennessee: Knoxville"
"36","1996","10-2-0","9","9","Tennessee","University of Tennessee: Knoxville"
"37","1997","11-2-0","7","8","Tennessee","University of Tennessee: Knoxville"
"38","1998","13-0-0","1","1","Tennessee","University of Tennessee: Knoxville"
"39","1999","9-3-0","9","9","Tennessee","University of Tennessee: Knoxville"
"40","2000","8-4-0","","25","Tennessee","University of Tennessee: Knoxville"
"41","2001","11-2-0","4","4","Tennessee","University of Tennessee: Knoxville"
"42","2003","10-3-0","15","16","Tennessee","University of Tennessee: Knoxville"
"43","2004","10-3-0","13","15","Tennessee","University of Tennessee: Knoxville"
"44","2006","9-4-0","25","23","Tennessee","University of Tennessee: Knoxville"
"45","2007","10-4-0","12","12","Tennessee","University of Tennessee: Knoxville"
"1","1941","8-1-1","4","","Texas","The University of Texas at Austin"
"2","1942","9-2-0","11","","Texas","The University of Texas at Austin"
"3","1943","7-1-1","14","","Texas","The University of Texas at Austin"
"4","1945","10-1-0","10","","Texas","The University of Texas at Austin"
"5","1946","8-2-0","15","","Texas","The University of Texas at Austin"
"6","1947","10-1-0","5","","Texas","The University of Texas at Austin"
"7","1950","9-2-0","3","2","Texas","The University of Texas at Austin"
"8","1952","9-2-0","10","11","Texas","The University of Texas at Austin"
"9","1953","7-3-0","11","8","Texas","The University of Texas at Austin"
"10","1957","6-4-1","11","11","Texas","The University of Texas at Austin"
"11","1959","9-2-0","4","4","Texas","The University of Texas at Austin"
"12","1960","7-3-1","","17","Texas","The University of Texas at Austin"
"13","1961","10-1-0","3","4","Texas","The University of Texas at Austin"
"14","1962","9-1-1","4","4","Texas","The University of Texas at Austin"
"15","1963","11-0-0","1","1","Texas","The University of Texas at Austin"
"16","1964","10-1-0","5","5","Texas","The University of Texas at Austin"
"17","1968","9-1-1","3","5","Texas","The University of Texas at Austin"
"18","1969","11-0-0","1","1","Texas","The University of Texas at Austin"
"19","1970","10-1-0","3","1","Texas","The University of Texas at Austin"
"20","1971","8-3-0","18","12","Texas","The University of Texas at Austin"
"21","1972","10-1-0","3","5","Texas","The University of Texas at Austin"
"22","1973","8-3-0","14","8","Texas","The University of Texas at Austin"
"23","1974","8-4-0","17","","Texas","The University of Texas at Austin"
"24","1975","10-2-0","6","7","Texas","The University of Texas at Austin"
"25","1977","11-1-0","4","5","Texas","The University of Texas at Austin"
"26","1978","9-3-0","9","9","Texas","The University of Texas at Austin"
"27","1979","9-3-0","12","13","Texas","The University of Texas at Austin"
"28","1981","10-1-1","2","4","Texas","The University of Texas at Austin"
"29","1982","9-3-0","17","18","Texas","The University of Texas at Austin"
"30","1983","11-1-0","5","5","Texas","The University of Texas at Austin"
"31","1987","7-5-0","","19","Texas","The University of Texas at Austin"
"32","1990","10-2-0","12","11","Texas","The University of Texas at Austin"
"33","1994","8-4-0","25","23","Texas","The University of Texas at Austin"
"34","1995","10-2-1","14","14","Texas","The University of Texas at Austin"
"35","1996","8-5-0","23","23","Texas","The University of Texas at Austin"
"36","1998","9-3-0","15","16","Texas","The University of Texas at Austin"
"37","1999","9-5-0","21","23","Texas","The University of Texas at Austin"
"38","2000","9-3-0","12","12","Texas","The University of Texas at Austin"
"39","2001","11-2-0","5","5","Texas","The University of Texas at Austin"
"40","2002","11-2-0","6","7","Texas","The University of Texas at Austin"
"41","2003","10-3-0","12","11","Texas","The University of Texas at Austin"
"42","2004","11-1-0","5","4","Texas","The University of Texas at Austin"
"43","2005","13-0-0","1","1","Texas","The University of Texas at Austin"
"44","2006","10-3-0","13","13","Texas","The University of Texas at Austin"
"45","2007","10-3-0","10","10","Texas","The University of Texas at Austin"
"46","2008","12-1-0","4","3","Texas","The University of Texas at Austin"
"47","2009","13-1-0","2","2","Texas","The University of Texas at Austin"
"48","2012","9-4-0","19","18","Texas","The University of Texas at Austin"
"1","1939","11-0-0","1","","Texas A&M","Texas A&M University"
"2","1940","9-1-0","6","","Texas A&M","Texas A&M University"
"3","1941","9-2-0","9","","Texas A&M","Texas A&M University"
"4","1955","7-2-1","17","14","Texas A&M","Texas A&M University"
"5","1956","9-0-1","5","5","Texas A&M","Texas A&M University"
"6","1957","8-3-0","9","10","Texas A&M","Texas A&M University"
"7","1974","8-3-0","16","15","Texas A&M","Texas A&M University"
"8","1975","10-2-0","11","12","Texas A&M","Texas A&M University"
"9","1976","10-2-0","7","8","Texas A&M","Texas A&M University"
"10","1978","8-4-0","19","18","Texas A&M","Texas A&M University"
"11","1985","10-2-0","6","7","Texas A&M","Texas A&M University"
"12","1986","9-3-0","13","12","Texas A&M","Texas A&M University"
"13","1987","10-2-0","10","9","Texas A&M","Texas A&M University"
"14","1989","8-4-0","20","","Texas A&M","Texas A&M University"
"15","1990","9-3-1","15","13","Texas A&M","Texas A&M University"
"16","1991","10-2-0","12","13","Texas A&M","Texas A&M University"
"17","1992","12-1-0","7","6","Texas A&M","Texas A&M University"
"18","1993","10-2-0","9","8","Texas A&M","Texas A&M University"
"19","1994","10-0-1","8","","Texas A&M","Texas A&M University"
"20","1995","9-3-0","15","15","Texas A&M","Texas A&M University"
"21","1997","9-4-0","20","21","Texas A&M","Texas A&M University"
"22","1998","11-3-0","11","13","Texas A&M","Texas A&M University"
"23","1999","8-4-0","23","20","Texas A&M","Texas A&M University"
"24","2010","9-4-0","19","21","Texas A&M","Texas A&M University"
"25","2012","11-2-0","5","5","Texas A&M","Texas A&M University"
"26","2013","9-4-0","18","18","Texas A&M","Texas A&M University"
"1","1936","9-2-2","16","","Texas Christian","Texas Christian University"
"2","1937","4-4-2","16","","Texas Christian","Texas Christian University"
"3","1938","11-0-0","1","","Texas Christian","Texas Christian University"
"4","1951","6-5-0","11","10","Texas Christian","Texas Christian University"
"5","1955","9-2-0","6","6","Texas Christian","Texas Christian University"
"6","1956","8-3-0","14","14","Texas Christian","Texas Christian University"
"7","1958","8-2-1","10","9","Texas Christian","Texas Christian University"
"8","1959","8-3-0","7","8","Texas Christian","Texas Christian University"
"9","2000","10-2-0","21","18","Texas Christian","Texas Christian University"
"10","2002","10-2-0","23","22","Texas Christian","Texas Christian University"
"11","2003","11-2-0","25","24","Texas Christian","Texas Christian University"
"12","2005","11-1-0","11","9","Texas Christian","Texas Christian University"
"13","2006","11-2-0","22","21","Texas Christian","Texas Christian University"
"14","2008","11-2-0","7","7","Texas Christian","Texas Christian University"
"15","2009","12-1-0","6","6","Texas Christian","Texas Christian University"
"16","2010","13-0-0","2","2","Texas Christian","Texas Christian University"
"17","2011","11-2-0","14","13","Texas Christian","Texas Christian University"
"1","1938","10-1-0","11","","Texas Tech","Texas Tech University"
"2","1953","11-1-0","12","12","Texas Tech","Texas Tech University"
"3","1965","8-3-0","","10","Texas Tech","Texas Tech University"
"4","1973","11-1-0","11","11","Texas Tech","Texas Tech University"
"5","1976","10-2-0","13","13","Texas Tech","Texas Tech University"
"6","1989","9-3-0","19","16","Texas Tech","Texas Tech University"
"7","1995","9-3-0","23","20","Texas Tech","Texas Tech University"
"8","2004","8-4-0","18","17","Texas Tech","Texas Tech University"
"9","2005","9-3-0","20","19","Texas Tech","Texas Tech University"
"10","2007","9-4-0","22","23","Texas Tech","Texas Tech University"
"11","2008","11-2-0","12","12","Texas Tech","Texas Tech University"
"12","2009","9-4-0","21","23","Texas Tech","Texas Tech University"
"1","1970","12-0-0","12","17","Toledo (OH)","University of Toledo"
"2","1971","12-0-0","14","13","Toledo (OH)","University of Toledo"
"3","1995","11-0-1","24","24","Toledo (OH)","University of Toledo"
"4","2001","10-2-0","23","22","Toledo (OH)","University of Toledo"
"1","1938","7-2-1","19","","Tulane (LA)","Tulane University"
"2","1939","8-1-1","5","","Tulane (LA)","Tulane University"
"3","1948","9-1-0","13","","Tulane (LA)","Tulane University"
"4","1950","6-2-1","20","","Tulane (LA)","Tulane University"
"5","1970","8-4-0","17","","Tulane (LA)","Tulane University"
"6","1973","9-3-0","20","15","Tulane (LA)","Tulane University"
"7","1998","12-0-0","7","7","Tulane (LA)","Tulane University"
"1","1942","10-1-0","4","","Tulsa (OK)","University of Tulsa"
"2","1943","6-1-1","15","","Tulsa (OK)","University of Tulsa"
"3","1945","8-3-0","17","","Tulsa (OK)","University of Tulsa"
"4","1946","9-1-0","17","","Tulsa (OK)","University of Tulsa"
"5","1950","9-1-1","19","","Tulsa (OK)","University of Tulsa"
"6","1952","8-2-1","12","","Tulsa (OK)","University of Tulsa"
"7","1964","9-2-0","","18","Tulsa (OK)","University of Tulsa"
"8","1965","8-3-0","","16","Tulsa (OK)","University of Tulsa"
"9","1974","8-3-0","","19","Tulsa (OK)","University of Tulsa"
"10","1991","10-2-0","21","21","Tulsa (OK)","University of Tulsa"
"11","2010","10-3-0","24","","Tulsa (OK)","University of Tulsa"
"12","2012","11-3-0","","25","Tulsa (OK)","University of Tulsa"
"1","1939","6-0-4","7","","UCLA","University of California: Los Angeles"
"2","1942","7-4-0","13","","UCLA","University of California: Los Angeles"
"3","1946","10-1-0","4","","UCLA","University of California: Los Angeles"
"4","1951","5-3-1","17","17","UCLA","University of California: Los Angeles"
"5","1952","8-1-0","6","6","UCLA","University of California: Los Angeles"
"6","1953","8-2-0","5","4","UCLA","University of California: Los Angeles"
"7","1954","9-0-0","2","1","UCLA","University of California: Los Angeles"
"8","1955","9-2-0","4","4","UCLA","University of California: Los Angeles"
"9","1957","8-2-0","","18","UCLA","University of California: Los Angeles"
"10","1961","7-4-0","16","","UCLA","University of California: Los Angeles"
"11","1965","8-2-1","4","5","UCLA","University of California: Los Angeles"
"12","1966","9-1-0","5","5","UCLA","University of California: Los Angeles"
"13","1967","7-2-1","","10","UCLA","University of California: Los Angeles"
"14","1969","8-1-1","13","10","UCLA","University of California: Los Angeles"
"15","1972","8-3-0","15","17","UCLA","University of California: Los Angeles"
"16","1973","9-2-0","12","9","UCLA","University of California: Los Angeles"
"17","1975","9-2-1","5","5","UCLA","University of California: Los Angeles"
"18","1976","9-2-1","15","15","UCLA","University of California: Los Angeles"
"19","1978","8-3-1","14","12","UCLA","University of California: Los Angeles"
"20","1980","9-2-0","13","14","UCLA","University of California: Los Angeles"
"21","1982","10-1-1","5","5","UCLA","University of California: Los Angeles"
"22","1983","7-4-1","17","13","UCLA","University of California: Los Angeles"
"23","1984","9-3-0","9","10","UCLA","University of California: Los Angeles"
"24","1985","9-2-1","7","6","UCLA","University of California: Los Angeles"
"25","1986","8-3-1","14","14","UCLA","University of California: Los Angeles"
"26","1987","10-2-0","9","11","UCLA","University of California: Los Angeles"
"27","1988","10-2-0","6","6","UCLA","University of California: Los Angeles"
"28","1991","9-3-0","19","18","UCLA","University of California: Los Angeles"
"29","1993","8-4-0","18","17","UCLA","University of California: Los Angeles"
"30","1997","10-2-0","5","5","UCLA","University of California: Los Angeles"
"31","1998","10-2-0","8","8","UCLA","University of California: Los Angeles"
"32","2005","10-2-0","16","13","UCLA","University of California: Los Angeles"
"33","2013","10-3-0","16","16","UCLA","University of California: Los Angeles"
"1","1964","9-2-0","","14","Utah","University of Utah"
"2","1994","10-2-0","10","8","Utah","University of Utah"
"3","2003","10-2-0","21","21","Utah","University of Utah"
"4","2004","12-0-0","4","5","Utah","University of Utah"
"5","2008","13-0-0","2","4","Utah","University of Utah"
"6","2009","10-3-0","18","18","Utah","University of Utah"
"7","2010","10-3-0","","23","Utah","University of Utah"
"1","1961","9-1-1","10","10","Utah St.","Utah State University"
"2","1972","8-3-0","","19","Utah St.","Utah State University"
"3","2012","11-2-0","16","17","Utah St.","Utah State University"
"1","1948","8-2-1","12","","Vanderbilt (TN)","Vanderbilt University"
"2","2012","9-4-0","23","20","Vanderbilt (TN)","Vanderbilt University"
"3","2013","9-4-0","24","23","Vanderbilt (TN)","Vanderbilt University"
"1","1951","8-1-0","13","","Virginia","University of Virginia"
"2","1984","8-2-2","20","17","Virginia","University of Virginia"
"3","1989","10-3-0","18","15","Virginia","University of Virginia"
"4","1990","8-4-0","23","15","Virginia","University of Virginia"
"5","1994","9-3-0","15","13","Virginia","University of Virginia"
"6","1995","9-4-0","16","17","Virginia","University of Virginia"
"7","1998","9-3-0","18","18","Virginia","University of Virginia"
"8","2002","9-5-0","22","25","Virginia","University of Virginia"
"9","2004","8-4-0","23","23","Virginia","University of Virginia"
"1","1954","8-0-1","16","","Virginia Tech","Virginia Polytechnic Institute & State University"
"2","1966","8-2-1","","20","Virginia Tech","Virginia Polytechnic Institute & State University"
"3","1986","10-1-1","20","","Virginia Tech","Virginia Polytechnic Institute & State University"
"4","1990","6-5-0","","25","Virginia Tech","Virginia Polytechnic Institute & State University"
"5","1993","9-3-0","22","20","Virginia Tech","Virginia Polytechnic Institute & State University"
"6","1994","8-4-0","","24","Virginia Tech","Virginia Polytechnic Institute & State University"
"7","1995","10-2-0","10","9","Virginia Tech","Virginia Polytechnic Institute & State University"
"8","1996","10-2-0","13","12","Virginia Tech","Virginia Polytechnic Institute & State University"
"9","1998","9-3-0","23","19","Virginia Tech","Virginia Polytechnic Institute & State University"
"10","1999","11-1-0","2","3","Virginia Tech","Virginia Polytechnic Institute & State University"
"11","2000","11-1-0","6","6","Virginia Tech","Virginia Polytechnic Institute & State University"
"12","2001","8-4-0","18","18","Virginia Tech","Virginia Polytechnic Institute & State University"
"13","2002","10-4-0","18","14","Virginia Tech","Virginia Polytechnic Institute & State University"
"14","2004","10-3-0","10","10","Virginia Tech","Virginia Polytechnic Institute & State University"
"15","2005","11-2-0","7","7","Virginia Tech","Virginia Polytechnic Institute & State University"
"16","2006","10-3-0","19","18","Virginia Tech","Virginia Polytechnic Institute & State University"
"17","2007","11-3-0","9","9","Virginia Tech","Virginia Polytechnic Institute & State University"
"18","2008","10-4-0","15","14","Virginia Tech","Virginia Polytechnic Institute & State University"
"19","2009","10-3-0","10","10","Virginia Tech","Virginia Polytechnic Institute & State University"
"20","2010","11-3-0","16","15","Virginia Tech","Virginia Polytechnic Institute & State University"
"21","2011","11-3-0","21","17","Virginia Tech","Virginia Polytechnic Institute & State University"
"1","1945","5-3-1","19","","Wake Forest (NC)","Wake Forest University"
"2","1948","6-4-0","20","","Wake Forest (NC)","Wake Forest University"
"3","1992","8-4-0","25","25","Wake Forest (NC)","Wake Forest University"
"4","2006","11-3-0","18","17","Wake Forest (NC)","Wake Forest University"
"1","1936","7-2-1","5","","Washington","University of Washington"
"2","1940","7-2-0","10","","Washington","University of Washington"
"3","1943","4-1-0","12","","Washington","University of Washington"
"4","1950","8-2-0","11","15","Washington","University of Washington"
"5","1959","10-1-0","8","7","Washington","University of Washington"
"6","1960","10-1-0","6","5","Washington","University of Washington"
"7","1962","7-1-2","","14","Washington","University of Washington"
"8","1963","6-5-0","","15","Washington","University of Washington"
"9","1971","8-3-0","19","","Washington","University of Washington"
"10","1977","10-2-0","10","9","Washington","University of Washington"
"11","1979","10-2-0","11","11","Washington","University of Washington"
"12","1980","9-3-0","16","17","Washington","University of Washington"
"13","1981","10-2-0","10","7","Washington","University of Washington"
"14","1982","10-2-0","7","7","Washington","University of Washington"
"15","1984","11-1-0","2","2","Washington","University of Washington"
"16","1986","8-3-1","18","17","Washington","University of Washington"
"17","1989","8-4-0","23","20","Washington","University of Washington"
"18","1990","10-2-0","5","5","Washington","University of Washington"
"19","1991","12-0-0","2","1","Washington","University of Washington"
"20","1992","9-3-0","11","10","Washington","University of Washington"
"21","1996","9-3-0","16","15","Washington","University of Washington"
"22","1997","8-4-0","18","18","Washington","University of Washington"
"23","2000","11-1-0","3","3","Washington","University of Washington"
"24","2001","8-4-0","19","19","Washington","University of Washington"
"25","2013","9-4-0","25","","Washington","University of Washington"
"1","1941","6-4-0","19","","Washington St.","Washington State University"
"2","1942","6-2-2","17","","Washington St.","Washington State University"
"3","1951","7-3-0","18","14","Washington St.","Washington State University"
"4","1972","7-4-0","19","17","Washington St.","Washington State University"
"5","1988","9-3-0","16","16","Washington St.","Washington State University"
"6","1992","9-3-0","15","17","Washington St.","Washington State University"
"7","1994","8-4-0","21","19","Washington St.","Washington State University"
"8","1997","10-2-0","9","9","Washington St.","Washington State University"
"9","2001","10-2-0","10","11","Washington St.","Washington State University"
"10","2002","10-3-0","10","10","Washington St.","Washington State University"
"11","2003","10-3-0","9","9","Washington St.","Washington State University"
"1","1953","8-2-0","10","13","West Virginia","West Virginia University"
"2","1954","8-1-0","12","","West Virginia","West Virginia University"
"3","1955","8-2-0","19","17","West Virginia","West Virginia University"
"4","1969","10-1-0","17","18","West Virginia","West Virginia University"
"5","1975","9-3-0","20","17","West Virginia","West Virginia University"
"6","1981","9-3-0","17","18","West Virginia","West Virginia University"
"7","1982","9-3-0","19","19","West Virginia","West Virginia University"
"8","1983","9-3-0","16","16","West Virginia","West Virginia University"
"9","1984","8-4-0","","18","West Virginia","West Virginia University"
"10","1988","11-1-0","5","5","West Virginia","West Virginia University"
"11","1989","8-3-1","21","","West Virginia","West Virginia University"
"12","1993","11-1-0","7","6","West Virginia","West Virginia University"
"13","2002","9-4-0","25","20","West Virginia","West Virginia University"
"14","2005","11-1-0","5","6","West Virginia","West Virginia University"
"15","2006","11-2-0","10","10","West Virginia","West Virginia University"
"16","2007","11-2-0","6","6","West Virginia","West Virginia University"
"17","2008","9-4-0","23","","West Virginia","West Virginia University"
"18","2009","9-4-0","25","22","West Virginia","West Virginia University"
"19","2011","10-3-0","17","18","West Virginia","West Virginia University"
"1","1942","8-1-1","3","","Wisconsin","University of Wisconsin-Madison"
"2","1950","6-3-0","","20","Wisconsin","University of Wisconsin-Madison"
"3","1951","7-1-1","8","8","Wisconsin","University of Wisconsin-Madison"
"4","1952","6-3-1","11","10","Wisconsin","University of Wisconsin-Madison"
"5","1953","6-2-1","15","14","Wisconsin","University of Wisconsin-Madison"
"6","1954","7-2-0","9","10","Wisconsin","University of Wisconsin-Madison"
"7","1957","6-3-0","19","14","Wisconsin","University of Wisconsin-Madison"
"8","1958","7-1-1","7","6","Wisconsin","University of Wisconsin-Madison"
"9","1959","7-3-0","6","6","Wisconsin","University of Wisconsin-Madison"
"10","1961","6-3-0","","18","Wisconsin","University of Wisconsin-Madison"
"11","1962","8-2-0","2","2","Wisconsin","University of Wisconsin-Madison"
"12","1993","10-1-1","6","5","Wisconsin","University of Wisconsin-Madison"
"13","1998","11-1-0","6","5","Wisconsin","University of Wisconsin-Madison"
"14","1999","10-2-0","4","4","Wisconsin","University of Wisconsin-Madison"
"15","2000","9-4-0","23","24","Wisconsin","University of Wisconsin-Madison"
"16","2004","9-3-0","17","18","Wisconsin","University of Wisconsin-Madison"
"17","2005","10-3-0","15","15","Wisconsin","University of Wisconsin-Madison"
"18","2006","12-1-0","7","5","Wisconsin","University of Wisconsin-Madison"
"19","2007","9-4-0","24","21","Wisconsin","University of Wisconsin-Madison"
"20","2009","10-3-0","16","16","Wisconsin","University of Wisconsin-Madison"
"21","2010","11-2-0","7","8","Wisconsin","University of Wisconsin-Madison"
"22","2011","11-3-0","10","11","Wisconsin","University of Wisconsin-Madison"
"23","2013","9-4-0","22","21","Wisconsin","University of Wisconsin-Madison"
"1","1950","10-0-0","12","14","Wyoming","University of Wyoming"
"2","1956","10-0-0","","16","Wyoming","University of Wyoming"
"3","1959","9-1-0","16","","Wyoming","University of Wyoming"
"4","1961","6-1-2","","17","Wyoming","University of Wyoming"
"5","1966","10-1-0","","15","Wyoming","University of Wyoming"
"6","1967","10-1-0","6","5","Wyoming","University of Wyoming"
