name,position,team,year,poy,team1,team2,team3
Wendell Davis,WR,Louisiana State,1987,,1,,
Keith Jackson,TE,Oklahoma,1987,,1,,
Dave Cadigan,L,Southern California,1987,,1,,
John Elliott,L,Michigan,1987,,1,,
Mark Hutson,L,Oklahoma,1987,,1,,
Randall McDaniel,L,Arizona State,1987,,1,,
Nacho Albergamo,C,Louisiana State,1987,,1,,
Don McPherson,QB,Syracuse,1987,,1,,
Gaston Green,B,UCLA,1987,,1,,
Craig Heyward,B,Pittsburgh,1987,,1,,
Bobby Humphrey,B,Alabama,1987,,1,,
Lorenzo White,B,Michigan State,1987,,1,,
David Treadwell,PK,Clemson,1987,,1,,
Chad Hennings,L,Air Force,1987,,1,,
Tracy Rocker,L,Auburn,1987,,1,,
Daniel Stubbs,L,Miami,1987,,1,,
Ted Gregory,L,Syracuse,1987,,1,,
Broderick Thomas,L,Nebraska,1987,,1,,
John Roper,L,Texas A&M,1987,,1,,
Aundray Bruce,LB,Auburn,1987,,1,,
Ken Norton,LB,Jr. UCLA,1987,,1,,
Dante Jones,LB,Oklahoma,1987,,1,,
Chris Spielman,LB,Ohio State,1987,,1,,
Bennie Blades,B,Miami FL,1987,,1,,
Chuck Cecil,B,Arizona,1987,,1,,
Ricky Dixon,B,Oklahoma,1987,,1,,
Deion Sanders,B,Florida State,1987,,1,,
Jarvis Williams,B,Florida,1987,,1,,
Tom Tupa,P,Ohio State,1987,,1,,
Cris Carter,WR,Ohio State,1986,,1,,
Keith Jackson,TE,Oklahoma,1986,,1,,
John Clay,L,Missouri,1986,,1,,
Danny Villa,L,Arizona State,1986,,1,,
Randy Dixon,L,Pittsburgh,1986,,1,,
Jeff Bregel,L,Southern California,1986,,1,,
Jeff Zimmerman,L,Florida,1986,,1,,
Ben Tamburello,C,Auburn,1986,,1,,
Vinny Testaverde,QB,Miami FL,1986,,1,,
D. J. Dozier,B,Penn State,1986,,1,,
Brent Fullwood,B,Auburn,1986,,1,,
Paul Palmer,B,Temple,1986,,1,,
Terrence Flagler,B,Clemson,1986,,1,,
Brad Muster,B,Stanford,1986,,1,,
Jeff Jaeger,PK,Washington,1986,,1,,
Jerome Brown,L,Miami FL,1986,,1,,
Tim Johnson,L,Penn State,1986,,1,,
Danny Noonan,L,Nebraska,1986,,1,,
Reggie Rogers,L,Washington,1986,,1,,
Tony Woods,L,Pittsburgh,1986,,1,,
Jason Buck,L,Brigham Young,1986,,1,,
Cornelius Bennett,LB,Alabama,1986,,1,,
Brian Bosworth,LB,Oklahoma,1986,,1,,
Shane Conlan,LB,Penn State,1986,,1,,
Chris Spielman,LB,Ohio State,1986,,1,,
Thomas Everett,B,Baylor,1986,,1,,
John Little,B,Georgia,1986,,1,,
Bennie Blades,B,Miami FL,1986,,1,,
Tim McDonald,B,Southern California,1986,,1,,
Garland Rivers,B,Michigan,1986,,1,,
Rod Woodson,B,Purdue,1986,,1,,
Bill Smith,P,Mississippi,1986,,1,,
Barry Helton,P,Colorado,1986,,1,,
David Williams,WR,Illinois,1985,,1,,
Tim McGee,WR,Tennessee,1985,,1,,
Willie Smith,TE,Miami FL,1985,,1,,
Jim Dombrowski,L,Virginia,1985,,1,,
Jeff Bregel,L,Southern California,1985,,1,,
Brian Jozwiak,L,West Virginia,1985,,1,,
John Rienstra,L,Temple,1985,,1,,
J. D. Maarleveld,L,Maryland,1985,,1,,
Jamie Dukes,L,Florida State,1985,,1,,
Jeff Zimmerman,L,Florida,1985,,1,,
Gene Chilton,C,Texas,1985,,1,,
Pete Anderson,C,Georgia,1985,,1,,
Chuck Long,QB,Iowa,1985,,1,,
Bo Jackson,B,Auburn,1985,,1,,
Lorenzo White,B,Michigan State,1985,,1,,
Thurman Thomas,B,Oklahoma State,1985,,1,,
Napoleon McCallum,B,Navy,1985,,1,,
Reggie Dupard,B,Southern Methodist,1985,,1,,
John Lee,PK,UCLA,1985,,1,,
Tony Casillas,L,Oklahoma,1985,,1,,
Mike Ruth,L,Boston College,1985,,1,,
Leslie O'Neal,L,Oklahoma State,1985,,1,,
Tim Green,L,Syracuse,1985,,1,,
Mike Hammerstein,L,Michigan,1985,,1,,
Larry Station,LB,Iowa,1985,,1,,
Cornelius Bennett,LB,Alabama,1985,,1,,
Brian Bosworth,LB,Oklahoma,1985,,1,,
John Holland,LB,Texas A&M,1985,,1,,
Brad Cochran,B,Michigan,1985,,1,,
Scott Thomas,B,Air Force,1985,,1,,
Allen Durden,B,Arizona,1985,,1,,
David Fulcher,B,Arizona State,1985,,1,,
Barry Helton,P,Colorado,1985,,1,,
David Williams,WR,Illinois,1984,,1,,
Eddie Brown,WR,Miami FL,1984,,1,,
Bob Bennett,TE,West Virginia,1984,,1,,
Jay Novacek,TE,Wyoming,1984,,1,,
Will Fralic,L,Pittsburgh,1984,,1,,
Lomas Brown,L,Florida,1984,,1,,
Bill Mayo,L,Tennessee,1984,,1,,
Jim Lachey,L,Ohio State,1984,,1,,
Del Wilkes,L,South Carolina,1984,,1,,
Mark Traynowicz,C,Nebraska,1984,,1,,
Doug Flutie,QB,Boston College,1984,,1,,
Keith Byars,B,Ohio State,1984,,1,,
Greg Allen,B,Florida State,1984,,1,,
Ken Davis,B,Texas Christian,1984,,1,,
Reuben Mayes,B,Washington State,1984,,1,,
Kevin Butler,PK,Georgia,1984,,1,,
William Perry,L,Clemson,1984,,1,,
Tony Degrate,L,Texas,1984,,1,,
Bruce Smith,L,Virginia Tech,1984,,1,,
Ron Holmes,L,Washington,1984,,1,,
Tony Casillas,L,Oklahoma,1984,,1,,
Jack Del Rio,LB,Southern California,1984,,1,,
Larry Station,LB,Iowa,1984,,1,,
Gregg Carr,LB,Auburn,1984,,1,,
Jeff Sanchez,B,Georgia,1984,,1,,
Jerry Gray,B,Texas,1984,,1,,
David Fulcher,B,Arizona State,1984,,1,,
Tony Thurman,B,Boston College,1984,,1,,
Rod Brown,B,Oklahoma State,1984,,1,,
Ricky Anderson,P,Vanderbilt,1984,,1,,
Irving Fryar,WR,Nebraska,1983,,1,,
Gordon Hudson,TE,Brigham Young,1983,,1,,
Bill Fralic,L,Pittsburgh,1983,,1,,
Terry Long,L,East Carolina,1983,,1,,
Dean Steinkuhler,L,Nebraska,1983,,1,,
Doug Dawson,L,Texas,1983,,1,,
Tony Slaton,C,Southern California,1983,,1,,
Steve Young,QB,Brigham Young,1983,,1,,
Mike Rozier,B,Nebraska,1983,,1,,
Bo Jackson,B,Auburn,1983,,1,,
Greg Allen,B,Florida State,1983,,1,,
Napoleon McCallum,B,Navy,1983,,1,,
Luis Zendejas,PK,Arizona State,1983,,1,,
Rick Bryan,L,Oklahoma,1983,,1,,
William Fuller,L,North Carolina,1983,,1,,
Reggie White,L,Tennessee,1983,,1,,
William Perry,L,Clemson,1983,,1,,
Jeff Leiding,LB,Texas,1983,,1,,
