OvrRank,Team,Division,Rating,W,L,SchScore,SchRank,Wtop10,Ltop10,Wtop30,Ltop30,Year
  44,South Florida,A,74.43 ,8,5,69.23,71,0,0,0,1,2010
  45,BYU,A,74.35 ,7,6,71.12,55,0,1,1,4,2010
  46,Northern Illinois,A,74.02 ,11,3,60.09,126,0,0,0,0,2010
  47,Hawaii,A,73.74 ,10,4,65.9,87,0,1,1,2,2010
  48,Syracuse,A,73.68 ,8,5,68.86,73,0,0,0,1,2010
  49,Boston College,A,73.10 ,7,6,73.03,31,0,0,0,5,2010
  50,Penn State,A,73.05 ,7,6,72.41,41,0,2,0,4,2010
  51,Louisville,A,73.02 ,7,6,68.43,75,0,0,0,1,2010
  52,Delaware,AA,72.88 ,12,3,59.86,129,0,0,0,0,2010
  53,Clemson,A,72.82 ,6,7,73.63,27,0,1,1,3,2010
  54,Georgia,A,72.77 ,6,7,72.66,36,0,2,0,5,2010
  55,Navy,A,72.71 ,9,4,68.29,77,0,0,1,0,2010
  56,Connecticut,A,72.68 ,8,5,69.98,65,0,1,0,1,2010
  57,Villanova,AA,72.42 ,9,5,63.39,100,0,0,0,0,2010
  58,Eastern Washington,AA,72.40 ,13,2,59.37,135,0,0,0,1,2010
  59,Kansas State,A,72.15 ,7,6,70.58,61,0,0,0,3,2010
  60,Michigan,A,71.91 ,7,6,74.61,23,0,1,1,4,2010
  61,Baylor,A,71.49 ,7,6,72.13,46,0,2,0,4,2010
  62,UCLA,A,71.41 ,4,8,79.2,4,0,2,1,6,2010
  63,Tennessee,A,70.71 ,6,7,72.21,43,0,3,0,5,2010
  64,Texas,A,70.52 ,5,7,72,47,0,1,1,3,2010
  65,Iowa State,A,69.25 ,5,7,74,24,0,1,0,5,2010
  66,Temple,A,69.08 ,8,4,62.63,102,0,0,0,0,2010
  67,Cincinnati,A,68.96 ,4,8,72.75,35,0,1,0,2,2010
  68,Colorado,A,68.82 ,5,7,72.93,33,0,1,0,3,2010
  69,Southern Miss,A,68.58 ,8,5,63.91,97,0,0,0,1,2010
  70,Georgia Tech,A,68.32 ,6,7,69.5,69,0,0,0,2,2010
  71,Northwestern,A,68.08 ,7,6,68.48,74,0,0,1,1,2010
  72,Georgia Southern,AA,67.84 ,10,5,58.68,141,0,0,0,0,2010
  73,Army,A,67.64 ,7,6,64.12,95,0,0,0,1,2010
  74,Kentucky,A,67.62 ,6,7,70.31,63,0,1,1,3,2010
  75,Appalachian State,AA,67.62 ,10,3,57.91,146,0,0,0,1,2010
  76,William & Mary,AA,67.28 ,8,4,61.87,113,0,0,0,0,2010
  77,Miami-Ohio,A,67.24 ,10,4,60.77,117,0,0,0,2,2010
  78,Fresno State,A,67.07 ,8,5,67.07,83,0,1,0,2,2010
  79,Washington State,A,66.73 ,2,10,80.1,2,0,2,1,7,2010
  80,Troy,A,66.63 ,8,5,59.53,134,0,0,0,2,2010
  81,New Hampshire,AA,66.24 ,8,5,60.42,123,0,0,0,0,2010
  82,Houston,A,66.01 ,5,7,66.15,86,0,0,0,1,2010
  83,SMU,A,65.90 ,7,7,67.67,80,0,1,0,1,2010
  84,Mississippi,A,65.85 ,4,8,72.92,34,0,4,0,5,2010
  85,East Carolina,A,65.82 ,6,7,70.55,62,0,0,1,1,2010
  86,Wofford,AA,65.51 ,10,3,57.81,149,0,0,0,0,2010
  87,Virginia,A,65.00 ,4,8,70.88,59,0,0,0,3,2010
  88,Fla. International,A,64.99 ,7,6,62.18,110,0,0,0,1,2010
  89,Idaho,A,64.81 ,6,7,65.38,89,0,1,0,3,2010
  90,Rutgers,A,64.47 ,4,8,69.72,67,0,0,0,0,2010
  91,Louisiana Tech,A,64.40 ,5,7,67.21,82,0,1,0,3,2010
  92,Toledo,A,63.75 ,8,5,62.53,103,0,1,0,2,2010
  93,Minnesota,A,63.74 ,3,9,73.79,25,0,1,1,3,2010
  94,North Dakota State,AA,63.66 ,9,5,55.9,158,0,0,0,0,2010
  95,Duke,A,63.61 ,3,9,72.64,37,0,1,0,2,2010
  96,Purdue,A,63.19 ,4,8,71.21,52,0,1,0,3,2010
  97,James Madison,AA,62.84 ,6,5,60.75,118,0,0,1,0,2010
  98,Indiana,A,62.79 ,5,7,67.83,78,0,1,0,3,2010
  99,Western Michigan,A,62.67 ,6,6,59.28,136,0,0,0,1,2010
 100,Sacramento State,AA,62.63 ,6,5,58.35,144,0,1,0,1,2010
